actual,error,expected,path,requirement,sha256,status
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/terminal.json,Middle/C/terminal,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/controller.json,C/controller,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/terminal.json,C/Continue/terminal,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/endpoint.pt,C/Continue/endpoint-bytes,9df3420e0069b8a87a0efd22dd022c8db17301f01a1dca9c0fe0b0c5d98daa14,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-001.json,C/Continue/step1,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-002.json,C/Continue/step2,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-003.json,C/Continue/step3,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-004.json,C/Continue/step4,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-005.json,C/Continue/step5,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-006.json,C/Continue/step6,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-007.json,C/Continue/step7,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/step-008.json,C/Continue/step8,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/C/Middle/run-v1/Continue/snapshot-000.pt,C/Continue/snapshot0,5fc39fd94cb29a51b0bfb479d927e4d4dc3c813b4bc53001eec2902a62d00b2a,PASS
