arm,batch,targets,file_sha256,tensor_hash_order,status,arm_display_label
MEMIT_ORIGINAL,1,200,c232fabac3e58247f02eb51fde66249fae4d55ea0c1df3a6e6ebccc26b8a4cb8,3e8689f30d8ab64c8495fc58d77fb46fcbbf268c1434cc7eacd5eef1a7fde80b,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,2,200,3bd9e21d21a6b3c887dc5bf453e93edaf9069eeb1fea86086a1408bc666055ab,4fefc68e6b1a0c0432d339d6088db725660822c4389093f46dd7b51219204f15,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,3,200,762fbd4b538d9f5130a98fae4554eb139da5309f2912d8bdf8c617567f6bb6b8,3968650480e6735e63ef9852c7df40832b970a78d731aa2300f55427b3fb2cac,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,4,200,6e784f0c52e0487d4b2aaeebe2b58330a533f2d8c343378f7f12e16fe782d50e,c4f3bd5fb0d9f9906fcbb630538da3ef6279cce3d9ed965a75e60d78ef855721,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,5,200,17e7e03dcc79713bbeec0013a3c0a5f7f7321fcab79f933724e8df20c90af9cf,faf0c7b596f30e83e1e22e60e78d47450dc62f3041fb07b16af11db6807b9e46,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,6,200,16ff593b8fc8607d3b28e753c71ff062f70fe0974a8280c2841af8395d42bba3,bec8542f694a63a42c995546d660147c9721f8defc8f3e4d029a864bd81476ec,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,7,200,cb6087996c48ac243bac9dabde73c2c2fd095bf1618e3468aec8e8124706c0d7,0ec2a4229480c98a04efca41ba2ec3dd05a769d176d502e190969f4bc779efdb,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,8,200,1e1ad6a4726aeaf1a6ecbfaa6e39cbf8aa4883985d970c271b950d3434772808,6b16df8c84ae08a43d32bf45268d3cc077252c4b678d688c810f4c350044a552,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,9,200,9a7ef85f5fab6a34a7a1295197706c913927a04124c3a506bd93c629a43fc7a6,a7172f727c68053f70795c5077b17ff8e9ced3872082f13a0c43964d76557b47,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,10,200,15bca59e3a512d911b53588ddf00a63147304284c8a238407ff419316a4aa0b4,02488013746a7d049f6d6a02dfd6863a3a77bb66e62d68a567ed6a76e8362387,CPU_HASH_FINITE_PASS,MEMIT_BLUE (L4+L8)
