reference,raw_arm_id,scope,sample_root,order_hash,status,RS_num,RS_den,RS_rate,PS_num,PS_den,PS_rate,NS_num,NS_den,NS_rate,rewrite_acc_numerator,rewrite_acc_denominator,rephrase_acc_numerator,rephrase_acc_denominator
Base MEMIT (historical),LM,HISTORICAL_DIFFERENT_STREAM_NOT_PAIRED,2951b86dfa829ef38b2fb03551a81dc9ce4f11c779af3f0f0c027224ed65cf7d,f86dfc97f50614d8fe3d7ed929326485ea0b1237151f93d7ed7339bae8979c43,SEALED_PUBLICATION_REHASHED,6021,10000,0.6021,10981,20000,0.54905,49895,100000,0.49895,357,10000,335,20000
Official AlphaEdit (historical),LA,HISTORICAL_DIFFERENT_STREAM_NOT_PAIRED,2951b86dfa829ef38b2fb03551a81dc9ce4f11c779af3f0f0c027224ed65cf7d,f86dfc97f50614d8fe3d7ed929326485ea0b1237151f93d7ed7339bae8979c43,SEALED_PUBLICATION_REHASHED,6785,10000,0.6785,12285,20000,0.61425,50918,100000,0.50918,2013,10000,1727,20000
