reference,scope,status,raw_arm_id,RS_num,RS_den,RS_rate,PS_num,PS_den,PS_rate,NS_num,NS_den,NS_rate
Pre-edit W0 (1k),1k matched-prefix reference; not final10k,SEALED_PUBLICATION_REHASHED,PRE_EDIT_ORIGINAL_W0,71,1000,0.071,227,2000,0.1135,8820,10000,0.882
Official AlphaEdit (1k),1k matched-prefix reference; not final10k,SEALED_PUBLICATION_REHASHED,O_NATIVE,1000,1000,1.0,1910,2000,0.955,7584,10000,0.7584
MEMIT_BLUE (L4+L8),Lifelong W10 on first1000,V1_SEALED_AGGREGATE_REHASHED,MEMIT_ORIGINAL,995,1000,0.995,1899,2000,0.9495,8507,10000,0.8507
MEMIT_BLUE_L4_ONLY,Lifelong W10 on first1000,V1_SEALED_AGGREGATE_REHASHED,MEMIT_L4_ONLY,968,1000,0.968,1812,2000,0.906,8582,10000,0.8582
MEMIT_BLUE_L8_ONLY,Lifelong W10 on first1000,V1_SEALED_AGGREGATE_REHASHED,MEMIT_L8_ONLY,937,1000,0.937,1458,2000,0.729,7692,10000,0.7692
AlphaEdit_BLUE (L4+L8),Lifelong W10 on first1000,V1_SEALED_AGGREGATE_REHASHED,AlphaEdit_ORIGINAL,997,1000,0.997,1939,2000,0.9695,8057,10000,0.8057
AlphaEdit_BLUE_L4_ONLY,Lifelong W10 on first1000,V1_SEALED_AGGREGATE_REHASHED,AlphaEdit_L4_ONLY,998,1000,0.998,1943,2000,0.9715,8072,10000,0.8072
AlphaEdit_BLUE_L8_ONLY,Lifelong W10 on first1000,V1_SEALED_AGGREGATE_REHASHED,AlphaEdit_L8_ONLY,996,1000,0.996,1837,2000,0.9185,6936,10000,0.6936
