comparison,conditional_loss_den,conditional_recovery_den,delta_pp,denominator,failed_both,gained,left_success,lost,metric,new_nll_delta_max,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_min,new_nll_delta_n,new_nll_delta_p05,new_nll_delta_p25,new_nll_delta_p75,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,population,retained,right_success,status,true_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_min,true_nll_delta_n,true_nll_delta_p05,true_nll_delta_p25,true_nll_delta_p75,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,2,0,0.0,2,0,0,2,0,PS,-0.11863115429878235,-0.8688578754663467,-0.8688578754663467,-1.6190845966339111,2,-1.5440619245171547,-1.243971236050129,-0.49374451488256454,-0.26867649853229514,-0.19365382641553897,-0.13363568872213372,SUPERSEDED_CANDIDATE_LATER_BATCH,2,2,MEASURED_EXACT_ITEM_PAIRING,-1.3539934158325195,-1.5482368469238281,-1.5482368469238281,-1.7424802780151367,2,-1.723055934906006,-1.6453585624694824,-1.4511151313781738,-1.3928421020507813,-1.3734177589416503,-1.3578782844543458
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,6,4,-30.0,10,4,0,6,3,NS,1.3995704650878906,-2.4064870834350587,-2.1904873847961426,-5.671244502067566,10,-5.337508124113083,-4.356462478637695,-1.1081641614437103,0.3970482826232906,0.8983093738555896,1.2993182468414308,SUPERSEDED_CANDIDATE_LATER_BATCH,3,3,MEASURED_EXACT_ITEM_PAIRING,2.2780632972717285,0.4160259008407593,0.7784414291381836,-2.08573055267334,10,-1.9644419193267821,-0.05387580394744873,1.093944013118744,2.0512509822845457,2.164657139778137,2.25538206577301
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,,,,0,,,,,RS,,,,,,,,,,,,WITHIN_BATCH_TARGET_CONFLICT,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,,,,0,,,,,PS,,,,,,,,,,,,WITHIN_BATCH_TARGET_CONFLICT,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,,,,0,,,,,NS,,,,,,,,,,,,WITHIN_BATCH_TARGET_CONFLICT,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,,,,0,,,,,RS,,,,,,,,,,,,UNRESOLVED_MISSING_RELATION,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,,,,0,,,,,PS,,,,,,,,,,,,UNRESOLVED_MISSING_RELATION,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,,,,0,,,,,NS,,,,,,,,,,,,UNRESOLVED_MISSING_RELATION,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
N4_W10_TO_SL_ZFLOW_W10,998,2,0.2,1000,0,2,998,0,RS,5.1212315880693495,0.0018285346735974599,0.0020672300888691097,-6.697685774881393,1000,-0.0036787761506275273,6.22157494944986e-05,0.006159712182125077,0.014631299860775472,0.04297195668332274,0.4395633573461963,,998,1000,MEASURED_EXACT_ITEM_PAIRING,14.307531356811523,-2.2092493607401846,-2.261216640472412,-15.125741004943848,1000,-8.240842461585999,-4.43242335319519,0.003087639808654785,2.3811016559600833,3.8828022003173803,8.04144052505493
N4_W10_TO_SL_ZFLOW_W10,1943,57,-2.95,2000,30,27,1943,86,PS,14.377142667770386,-0.262031967961947,-0.0004923366941511631,-11.95545345544815,2000,-4.528537824749947,-0.6646504867821932,0.34192040702328086,1.6928774114698186,3.2640782453236152,6.253231771048158,,1857,1884,MEASURED_EXACT_ITEM_PAIRING,12.494555473327637,-1.434726841664873,-1.3350920677185059,-15.139234781265259,2000,-8.00054144859314,-3.9017648696899414,1.0601132214069366,3.2815928459167494,4.862992858886718,8.320694532394409
N4_W10_TO_SL_ZFLOW_W10,8072,1928,-8.42,10000,1518,410,8072,1252,NS,12.15765380859375,-1.6513796608795084,-1.382662296295166,-15.146870851516724,10000,-7.218756705522537,-3.423614740371704,0.26577115058898926,1.9214476384222507,3.014482283592219,5.563826155662539,,6820,7230,MEASURED_EXACT_ITEM_PAIRING,18.589794635772705,-0.608290432563852,-0.4536685161292553,-15.05834874510765,10000,-6.127281373739242,-2.347018152475357,1.0937954783439636,3.1492387473583223,4.696822249889369,9.007049446105961
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,997,2,0.2002002002002002,999,0,2,997,0,RS,5.1212315880693495,0.0016984921188107531,0.002054020209470764,-6.697685774881393,999,-0.0036820997222093864,6.173513975227252e-05,0.006152250920422375,0.014612266537733377,0.03999515438917995,0.43969913074834016,ACTIVE_NO_LATER_DIFFERENT_TARGET,997,999,MEASURED_EXACT_ITEM_PAIRING,14.307531356811523,-2.2151446129466676,-2.264698028564453,-15.125741004943848,999,-8.241334676742554,-4.437711238861084,0.000789642333984375,2.3582542419433605,3.885539436340327,8.041915969848631
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,1943,55,-3.053053053053053,1998,30,25,1943,86,PS,14.377142667770386,-0.2571760186861862,-0.00042691436829045415,-11.95545345544815,1998,-4.50050044953823,-0.6610231101512909,0.34422966511920094,1.6951415006071324,3.268188679998269,6.253438490647822,ACTIVE_NO_LATER_DIFFERENT_TARGET,1857,1882,MEASURED_EXACT_ITEM_PAIRING,12.494555473327637,-1.439969455134366,-1.3350920677185059,-15.139234781265259,1998,-8.00573468208313,-3.905519485473633,1.0568947792053223,3.255520057678221,4.854211044311522,8.163308668136592
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,8065,1925,-8.388388388388389,9990,1515,410,8065,1248,NS,12.15765380859375,-1.6522517142819848,-1.382662296295166,-15.146870851516724,9990,-7.218786805868149,-3.423477292060852,0.26551949977874756,1.91989011541009,3.0093060255050634,5.553105211257941,ACTIVE_NO_LATER_DIFFERENT_TARGET,6817,7227,MEASURED_EXACT_ITEM_PAIRING,18.589794635772705,-0.6111312257549771,-0.4549905890598893,-15.05834874510765,9990,-6.127695685625076,-2.350374549627304,1.0882947742938995,3.1407479763031017,4.681143307685838,9.009110622406018
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,1,0,0.0,1,0,0,1,0,RS,0.13174104690551758,0.13174104690551758,0.13174104690551758,0.13174104690551758,1,0.13174104690551758,0.13174104690551758,0.13174104690551758,0.13174104690551758,0.13174104690551758,0.13174104690551758,SUPERSEDED_CANDIDATE_LATER_BATCH,1,1,MEASURED_EXACT_ITEM_PAIRING,3.680107593536377,3.680107593536377,3.680107593536377,3.680107593536377,1,3.680107593536377,3.680107593536377,3.680107593536377,3.680107593536377,3.680107593536377,3.680107593536377
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,0,2,100.0,2,0,2,0,0,PS,-4.505020081996918,-5.113125294446945,-5.113125294446945,-5.721230506896973,2,-5.66041998565197,-5.417177900671959,-4.8090726882219315,-4.626641124486923,-4.5658306032419205,-4.517182186245918,SUPERSEDED_CANDIDATE_LATER_BATCH,0,2,MEASURED_EXACT_ITEM_PAIRING,9.34998083114624,3.8026440143585205,3.8026440143585205,-1.7446928024291992,2,-1.1899591207504272,1.0289756059646606,6.57631242275238,8.240513467788697,8.795247149467468,9.239034094810485
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,7,3,-40.0,10,3,0,7,4,NS,6.011417388916016,-0.7801983118057251,-1.5069835186004639,-5.234618425369263,10,-5.131816273927688,-4.0878684520721436,1.2180028855800629,5.426824569702148,5.719120979309081,5.952958106994629,SUPERSEDED_CANDIDATE_LATER_BATCH,3,3,MEASURED_EXACT_ITEM_PAIRING,6.844788551330566,2.229661965370178,1.2145326137542725,-1.9353890419006348,10,-1.0516190886497498,0.17488640546798706,4.544402778148651,6.1851634025573725,6.514975976943969,6.778826036453247
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,,,,0,,,,,RS,,,,,,,,,,,,WITHIN_BATCH_TARGET_CONFLICT,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,,,,0,,,,,PS,,,,,,,,,,,,WITHIN_BATCH_TARGET_CONFLICT,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,,,,0,,,,,NS,,,,,,,,,,,,WITHIN_BATCH_TARGET_CONFLICT,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,,,,0,,,,,RS,,,,,,,,,,,,UNRESOLVED_MISSING_RELATION,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,,,,0,,,,,PS,,,,,,,,,,,,UNRESOLVED_MISSING_RELATION,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
N4_W10_TO_SL_ZFLOW_W10_BY_INPUT_POPULATION,,,,0,,,,,NS,,,,,,,,,,,,UNRESOLVED_MISSING_RELATION,,,EMPTY_INPUT_POPULATION,,,,,,,,,,,
