batch,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
1,CURRENT100,RS,97,100,97.0,100,0,92,100,92,1,93,101,92,0.41210237457649784,0.03385765105485916,0.7011217892169963,3.296595931053161,4.2875365304947195,0.0021346656139940023,10.091282844543457,8.763399964570999,8.140425682067871,14.269229316711426,15.451098823547362,16.538516826629643,0.8979214429855347,17.484148025512695,8.351297589994502,8.004112257855013,14.26291309739463,15.410752541571854,16.531367930797863,-5.387979507446289,17.475966161116958
1,CURRENT100,PS,148,200,74.0,100,0,76,200,76,14,78,202,23,3.743970803312259,2.965806722640991,9.019971656799315,10.826091241836545,12.586924219131463,0.003567998530343175,14.428958892822266,6.334428609497845,6.27043342590332,11.089271640777588,11.952662754058828,13.395260591506947,0.0776105597615242,15.934550285339355,2.5904578061855865,2.4288993179798126,8.651371201872825,10.017034937813873,12.020504510272291,-9.580290675163269,13.11261610686779
1,CURRENT100,NS,875,1000,87.5,100,0,166,1000,4,166,195,1030,0,11.258132532835006,11.341866970062256,16.0884521484375,17.63530931472778,20.356130065917966,0.47280240058898926,23.922645568847656,5.329613436992746,5.069370746612549,10.396754932403566,11.822714233398438,14.255203113555908,0.0009078433504328132,18.485517501831055,5.928519095842261,5.843500137329102,12.514578250050546,14.075762003660202,16.84661111838184,-8.552120208740234,20.12828079611063
2,CURRENT100,RS,95,100,95.0,100,0,92,100,92,1,94,102,92,0.49592226429347647,0.018489091657102108,0.5607541084289553,1.8668824434280311,10.63193367004395,0.00032264748006127775,11.402961730957031,8.870422099977732,8.628349304199219,14.463659191131596,16.360036754608153,19.527642650604253,0.15652991831302643,20.506847381591797,8.374499835684254,8.466333171818405,14.461602161068008,16.35811515642563,19.52493321034243,-8.821123600006104,20.506135836127214
2,CURRENT100,PS,153,200,76.5,100,0,94,200,94,11,98,204,32,3.313398030125536,1.453753113746643,9.07983341217041,10.409631156921382,13.35988010406494,0.0050088874995708466,15.493675231933594,6.510682331714779,6.357704401016235,11.22116413116455,12.995207691192617,16.69734064102173,0.011275026947259903,17.545272827148438,3.197284301589243,3.346568062901497,9.808684954047202,11.084384909272194,14.213137805461871,-11.737804174423218,16.4037703871727
2,CURRENT100,NS,886,1000,88.6,100,0,200,1000,5,200,210,1010,1,10.708354065671562,10.650924682617188,15.454606628417968,16.59447088241577,18.282935791015625,0.23376183211803436,21.665481567382812,4.662702323686331,4.220992803573608,9.795466232299805,11.22831492424011,13.646579551696776,0.0011126763420179486,17.015365600585938,6.045651741985232,6.4663227796554565,12.16390109062195,13.434280106425284,16.34612993176095,-10.047474324703217,18.4878910779953
3,CURRENT100,RS,98,100,98.0,100,0,98,100,98,1,100,102,98,0.1880750818902743,0.013033488299697638,0.22539042085409244,0.34934239536523776,1.9995687472820693,0.00019834458362311125,9.948090553283691,9.994711857438087,9.507232189178467,15.82354793548584,16.46002941131592,19.430010299682646,0.5410575270652771,24.76122283935547,9.806636775547814,9.48377675935626,15.819810404418968,16.448172296478877,19.428716366417966,-3.6641602516174316,24.7572023733519
3,CURRENT100,PS,152,200,76.0,100,0,93,200,93,13,97,204,31,3.093668795719277,1.7455374002456665,8.635037326812743,9.934640264511106,15.44687065124511,0.0016847953666001558,19.121389389038086,7.024220084475819,6.7279956340789795,11.265007019042967,13.291304445266723,17.309473896026574,0.004095145035535097,26.285552978515625,3.9305512887565417,4.22355043888092,10.391321426443755,12.030746804922817,15.585933119915374,-15.397865056991577,26.27738459315151
3,CURRENT100,NS,869,1000,86.9,100,0,178,1000,8,178,208,1030,1,9.965250087201595,10.070851802825928,14.682054328918458,16.43260326385498,19.5191513633728,0.3056483268737793,24.846242904663086,4.884116403597523,4.459747791290283,9.692217540740966,11.441413497924803,13.779492988586425,0.0005055579822510481,18.832551956176758,5.0811336836040715,5.1496447920799255,11.057900258898735,12.472727559204213,14.017322854995728,-8.649643898010254,18.48817764571868
4,CURRENT100,RS,99,100,99.0,100,0,98,100,98,1,99,101,98,0.10174808623676654,0.014517324976623058,0.15434797257185,0.39312897622585224,1.419454189538964,0.0006155265145935118,3.0253350734710693,10.031418502926826,9.8388352394104,16.446648025512697,17.54111967086792,22.178983173370362,0.8029133677482605,22.216697692871094,9.92967041669006,9.688956804573536,16.444737555540634,17.536096624075434,22.13722306214273,-2.222421705722809,22.206257317215204
