raw_arm_id,display_label,physical_layers,blue_style,job,source_head,model_revision,sample_root,seed,hparam_sha256
MEMIT_ORIGINAL,MEMIT_BLUE(L4+L8),"[4, 8]",True,39307,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,d6fe2d318b5ce5d5ac7040d2dbc9196dfeae3a596ad4c3886e10990e56eddf7b
AlphaEdit_ORIGINAL,AlphaEdit_BLUE(L4+L8),"[4, 8]",True,39283_1,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,588603990aa1234e62dd9c47f8449be60ba396358d9c0930c2ea3453606b24c4
MEMIT_L4_ONLY,MEMIT_BLUE(L4-only),[4],True,39283_2,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,15908e0ff7233e9895376d87eddc36dcd116749b1800a399aa9b65e2b1f07a7f
AlphaEdit_L4_ONLY,AlphaEdit_BLUE(L4-only),[4],True,39283_3,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,2392ab8392476ed019985e4292a8c0aa2a3957f36a06a704eb7590e8e8c99c5d
MEMIT_L8_ONLY,MEMIT_BLUE(L8-only),[8],True,39283_4,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,9007d4ffdb14376dab8ef4388e2b6bdaf35053cbc9f55725641fb10c33a0f1d1
AlphaEdit_L8_ONLY,AlphaEdit_BLUE(L8-only),[8],True,39283_5,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,753a762b333edaf770585b6ebbeea7ca71f4bc881683ac7aa00950fe7a23f55d
MEMIT_L5_ONLY,MEMIT_BLUE(L5-only),[5],True,40441,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,b038d880ef6770ee4f5f4e53e7dcb4233a40fba0b5e16025185498b457de0ea6
AlphaEdit_L5_ONLY,AlphaEdit_BLUE(L5-only),[5],True,40442,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,217d45bf068ed8956a99d0310dfa0cc26c9dff9507900509cd5bc102f3e9939d
MEMIT_L6_ONLY,MEMIT_BLUE(L6-only),[6],True,40443,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,7c5b5a21cde1a31dac3764c6a1f3d7139978099c2a35d9ff3f510c9da8dd2456
AlphaEdit_L6_ONLY,AlphaEdit_BLUE(L6-only),[6],True,40444,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,e30485e28cbbf69e79de3d3c8596b5d88d683cedb0871dd77fdd70e6081bbcf9
MEMIT_L7_ONLY,MEMIT_BLUE(L7-only),[7],True,40445,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,07b41700402f5d5ebfd589dc9b929e68df76b976280985ece1e97b32c86e6f67
AlphaEdit_L7_ONLY,AlphaEdit_BLUE(L7-only),[7],True,40446,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,57b64e8044c3cbc725f385b2fa5a8f8810fc0ef5d75c3f157c6e474f2ba64edf
BASE_ALPHAEDIT,BASE_ALPHAEDIT_NATIVE,"[4, 5, 6, 7, 8]",False,42657,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,2bd0ac166625497ed7851870c802ce5cae7b06fbd5370c252baa8957e361d2d5
BASE_MEMIT,BASE_MEMIT_NATIVE,"[4, 5, 6, 7, 8]",False,42658,1075540b45c29269e690ac63aae44758d8d63174,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,20260907,1d701acd9d2f3ca7bbd91f0b646cda376e57996148a2baebbe853a9631c99b15
CAKE_NATIVE,CAKE_NATIVE,"[4, 5, 6, 7, 8]",NATIVE_CAKE,48101,,,,,
PRE_EDIT_W0,W0,[],NOT_EDITED,42673,,,,,
