comparison,family,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max,source_comparison
MEMIT_BLUE(L4+L8)_TO_CAKE,MEMIT,NS,100000,53287,62935,9.648,40340,12947,22595,24118,53287,46713,4478,11034,5969,12525,-2.3973096772947065,-2.3079452514648438,3.3442568302154556,5.11415159702301,8.42125621318816,-33.78673481941223,16.81517505645752,-1.1857214025300766,-1.012162446975708,4.137552976608279,5.731980180740351,8.82601778689072,-28.055423974990845,24.158239603042603,MEMIT_BLUE(L4+L8)_TO_CAKE
MEMIT_BLUE(L4-only)_TO_CAKE,MEMIT,RS,10000,7722,9840,21.18,7682,40,2158,120,7722,2278,62,4967,4265,9170,-2.901393518261134,-1.8524146745330654,0.007295986358076337,0.04641409112373361,0.8888274559378684,-21.13948628306389,8.466585755348206,2.4488181435500738,2.515129327774048,7.93885612487793,9.552219390869139,12.917669558525091,-14.6753568649292,22.38940693438053,MEMIT_L4_ONLY_TO_CAKE
MEMIT_BLUE(L4-only)_TO_CAKE,MEMIT,PS,20000,14966,17755,13.945,13942,1024,3813,1221,14966,5034,1426,6563,7129,12266,-1.8216874994162484,-1.130252329108771,1.6078971594572073,3.1447506129741627,6.464557918012128,-17.638423286378384,15.218241152353585,0.5376929584571859,0.5247626304626465,5.476386499404911,7.036688858270644,10.281889634132355,-17.61405086517334,24.477015733718872,MEMIT_L4_ONLY_TO_CAKE
MEMIT_BLUE(L4-only)_TO_CAKE,MEMIT,NS,100000,57848,62935,5.087,45366,12482,17569,24583,57848,42152,6327,9336,9516,12525,-0.27421727719848454,-0.2725445628166199,4.253940320014956,5.667993128299713,8.476680410653339,-21.311601638793945,17.695832014083862,0.5112674491669374,0.4496471881866455,4.80986536741257,6.1477227330207675,8.84641191482542,-22.952807426452637,21.89830732345581,MEMIT_L4_ONLY_TO_CAKE
MEMIT_BLUE(L8-only)_TO_CAKE,MEMIT,RS,10000,8177,9840,16.63,8121,56,1719,104,8177,1823,48,4770,4448,9170,-2.8343129821928184,-1.8619901952333748,0.0011152384744491507,0.029914211004506756,0.9214667816832665,-20.667578637599945,10.509952902793884,2.359726577873598,2.4632980823516846,7.890555000305176,9.466523861885069,12.398652353286751,-21.557106733322144,20.913792610168457,MEMIT_L8_ONLY_TO_CAKE
MEMIT_BLUE(L8-only)_TO_CAKE,MEMIT,PS,20000,14460,17755,16.475,13384,1076,4371,1169,14460,5540,941,8348,4859,12266,-3.438902894323207,-2.9974047522991896,0.7378438949585,2.214051136374472,5.29559025287628,-22.703775893896818,14.439305573701859,-0.30781850722761595,-0.19695937633514404,5.341007113456728,6.946898770332335,10.150002428889263,-20.907119035720825,19.789477825164795,MEMIT_L8_ONLY_TO_CAKE
MEMIT_BLUE(L8-only)_TO_CAKE,MEMIT,NS,100000,48425,62935,14.51,37707,10718,25228,26347,48425,51575,2685,11236,3974,12525,-1.2461325654578064,-1.2548547983169556,3.813775873184204,5.369241380691517,8.41497089624405,-23.00484848022461,17.36945104598999,0.5509373153542113,0.4763915538787842,5.331856513023378,6.7720897436141865,9.532414577007293,-24.283763468265533,23.007686138153076,MEMIT_L8_ONLY_TO_CAKE
MEMIT_BLUE(L5-only)_TO_CAKE,MEMIT,RS,10000,8084,9840,17.56,8035,49,1805,111,8084,1916,67,4090,5147,9170,-2.2511286956651135,-1.1161226597614586,0.014020568272098927,0.0626053236424921,1.3022803290374598,-16.852181375026703,8.65678921341896,2.7514353957454443,2.7489805221557617,8.010808944702152,9.648784475028513,13.12437090754509,-17.227088928222656,20.48868203163147,MEMIT_L5_ONLY_TO_CAKE
MEMIT_BLUE(L5-only)_TO_CAKE,MEMIT,PS,20000,15008,17755,13.735,13918,1090,3837,1155,15008,4992,1702,6293,7675,12266,-1.5263647332445773,-0.9656008929014206,1.9013557314872753,3.46470622718334,6.676631947755808,-19.19201409816742,15.433008134365082,1.2447887165751774,1.211115300655365,6.118473196029664,7.731966018676754,10.794933111667621,-21.89714765548706,22.212677478790283,MEMIT_L5_ONLY_TO_CAKE
MEMIT_BLUE(L5-only)_TO_CAKE,MEMIT,NS,100000,54285,62935,8.65,43539,10746,19396,26319,54285,45715,5398,9619,8304,12525,0.08817755560429359,0.018549799919128418,4.331524658203127,5.735224461555481,8.412778854370117,-15.88078260421753,18.38433563709259,1.3020334531093578,1.1325440406799316,5.519926810264588,6.874800300598139,9.575758254528035,-16.162537574768066,20.898956775665283,MEMIT_L5_ONLY_TO_CAKE
MEMIT_BLUE(L6-only)_TO_CAKE,MEMIT,RS,10000,8277,9840,15.63,8229,48,1611,112,8277,1723,62,4141,5091,9170,-2.493784825588588,-1.2631782696116716,0.009911930118687478,0.0458402046002447,1.016154915019872,-23.22907636547461,11.25539755821228,2.4001749857806076,2.489875078201294,7.715321636199952,9.38038836121559,12.538399523794663,-18.657288074493408,20.222637176513672,MEMIT_L6_ONLY_TO_CAKE
MEMIT_BLUE(L6-only)_TO_CAKE,MEMIT,PS,20000,14761,17755,14.97,13633,1128,4122,1117,14761,5239,1354,7414,6206,12266,-2.9970039019304844,-2.2711531966924667,1.1866476535797141,2.8386790262535184,6.1263319614529195,-31.706842184066772,15.283567428588867,-0.2192358688475666,-0.008635520935058594,5.545717978477478,7.137008190155029,10.323264772891918,-36.623295307159424,20.425393104553223,MEMIT_L6_ONLY_TO_CAKE
MEMIT_BLUE(L6-only)_TO_CAKE,MEMIT,NS,100000,50488,62935,12.447,39439,11049,23496,26016,50488,49512,2878,11249,4154,12525,-0.8502121001912322,-0.8548321723937988,4.033428430557251,5.51568177938461,8.345970947742435,-34.07315754890442,18.144275903701782,0.7610086524190477,0.6774733066558838,5.391629981994629,6.8188074707984905,9.75176415264603,-26.47975444793701,22.46424102783203,MEMIT_L6_ONLY_TO_CAKE
MEMIT_BLUE(L7-only)_TO_CAKE,MEMIT,RS,10000,8444,9840,13.96,8385,59,1455,101,8444,1556,68,4048,5190,9170,-2.3509307908236594,-1.1781767627689987,0.0017101101577281963,0.03681070040911432,1.083295949697495,-24.43982023000717,11.163609504699707,2.4772994618248894,2.490840196609497,7.694162178039551,9.261603188514705,12.625634412765505,-16.427614450454712,19.544475317001343,MEMIT_L7_ONLY_TO_CAKE
MEMIT_BLUE(L7-only)_TO_CAKE,MEMIT,PS,20000,14941,17755,14.07,13774,1167,3981,1078,14941,5059,1273,7250,6289,12266,-2.720880920952065,-2.009809635579586,1.1615714460611353,2.8034006416797617,5.830744845867156,-24.30287253856659,14.58979120850563,-0.15215440166585614,-0.04140925407409668,5.401017761230474,6.926194012165069,10.03495627760886,-23.174490213394165,19.832790851593018,MEMIT_L7_ONLY_TO_CAKE
MEMIT_BLUE(L7-only)_TO_CAKE,MEMIT,NS,100000,48547,62935,14.388,37962,10585,24973,26480,48547,51453,2791,11485,3831,12525,-0.8750270162331726,-0.895390510559082,4.005977153778078,5.609789562225342,8.486984772682177,-22.452688455581665,16.37603259086609,0.871922759287294,0.7335937023162842,5.486897420883181,6.884499645233146,9.726573195457446,-21.35124158859253,25.67484164237976,MEMIT_L7_ONLY_TO_CAKE
BASE_MEMIT_NATIVE_TO_CAKE,MEMIT,RS,10000,6453,9840,33.87,6388,65,3452,95,6453,3547,21,8098,1093,9170,-8.847948343781558,-9.498841244727373,-2.152701782993972,-0.4053281529922987,0.02683154901489619,-21.46513135614805,6.011446952819824,-1.0208455724438623,-1.1849229335784912,4.880166101455689,6.835162949562069,10.244317501783371,-17.83290660381317,20.301598072052002,BASE_MEMIT_NATIVE_TO_CAKE
BASE_MEMIT_NATIVE_TO_CAKE,MEMIT,PS,20000,11407,17755,31.74,10285,1122,7470,1123,11407,8593,282,11687,861,12266,-8.725255120271054,-9.32171781733632,-2.7301512977108353,-0.5736575558781631,2.94775050640104,-20.300804138183594,13.422093391418457,-3.6631698511439086,-3.77824068069458,1.912794303894044,3.7140519142150876,6.942722713947294,-17.463063955307007,18.87849235534668,BASE_MEMIT_NATIVE_TO_CAKE
BASE_MEMIT_NATIVE_TO_CAKE,MEMIT,NS,100000,49838,62935,13.097,35439,14399,27496,22666,49838,50162,1998,11893,2630,12525,-5.275044816238023,-5.421694278717041,0.6794332504272462,2.458643913269043,6.140018622875213,-22.68596014380455,17.225916981697083,-3.6326492967128554,-3.6421337127685547,2.0781557083129885,3.72400722503662,6.958850031909523,-19.48211121559143,17.319644451141357,BASE_MEMIT_NATIVE_TO_CAKE
