batch,compute_z,solve_calls,history_append_passes,layer_history_updates,edit_seconds,target_seconds,key_seconds,solve_seconds,evaluation_seconds,peak_gpu_allocated_bytes,key_calls,actual_Adam,loss_evaluations,purewriter,checkpoint_IO
1,100,5,1,5,197.41302224528044,144.70072554145008,41.834741313010454,0.6273872274905443,33.31017540860921,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
2,100,5,1,5,187.81161224842072,142.78531760256737,35.64020353835076,0.5983792701736093,43.324432575143874,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
3,100,5,1,5,168.67876608204097,122.91118066385388,36.120014446787536,0.598126576282084,46.0856472235173,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
4,100,5,1,5,165.31634393148124,119.32055447530001,36.31194842606783,0.598479550331831,47.21189260017127,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
5,100,5,1,5,169.34757791180164,122.54928804654628,37.06273420434445,0.598465871065855,110.36129955481738,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
6,100,5,1,5,163.7699965685606,116.3862144080922,37.72947593871504,0.5981438644230366,53.59253962431103,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
7,100,5,1,5,157.7665439788252,110.46798954252154,37.462800537236035,0.5982126770541072,55.11251502856612,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
8,100,5,1,5,167.20367360394448,118.93494882527739,38.22791638132185,0.5986545449122787,56.311921005137265,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
9,100,5,1,5,135.57268262840807,91.44766589067876,34.51950697787106,0.5987141197547317,57.03421736974269,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
10,100,5,1,5,153.29156218003482,105.95729287154973,37.37012089509517,0.5981665831059217,181.57880869228393,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
11,100,5,1,5,143.81485271826386,98.77119994070381,35.67941305786371,0.5982878832146525,53.52264908142388,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
12,100,5,1,5,149.4571404568851,103.89428584650159,35.97684556059539,0.5981685053557158,54.90488313231617,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
13,100,5,1,5,137.6392701640725,91.53192198649049,36.74487750791013,0.5983007866889238,55.892261487431824,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
14,100,5,1,5,138.3443537708372,90.23366839531809,38.274707132950425,0.5982505325227976,56.77913482300937,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
15,100,5,1,5,142.6307605393231,96.67577757313848,36.50587800145149,0.5980182532221079,57.77984671946615,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
16,100,5,1,5,133.23940924555063,88.06023136898875,35.69605161063373,0.5980719244107604,58.092301681637764,37612267520,10,NOT_RECORDED,NOT_RECORDED,NOT_SEPARATED,NO_TENSOR_CP_USER_DIRECTED
