cohort,requests,atwrite_success,final_success,ever_failed,loss_events,recovery_events,first_observed_failure_min,first_observed_failure_max,observation
1,100,97,91,19,29,23,1,96,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
2,100,95,84,22,35,24,2,98,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
3,100,98,93,13,24,19,3,99,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
4,100,99,97,6,11,9,4,70,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
5,100,98,97,6,8,7,5,95,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
6,100,98,92,11,17,11,6,97,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
7,100,99,94,7,22,17,7,84,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
8,100,100,97,3,3,0,24,85,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
9,100,100,98,2,5,3,49,66,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
10,100,99,94,6,10,5,10,80,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
11,100,100,99,4,10,9,60,86,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
12,100,100,92,8,10,2,28,97,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
13,100,100,98,4,5,3,46,93,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
14,100,100,99,2,2,1,19,76,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
15,100,99,97,4,10,8,15,89,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
16,100,100,98,2,2,0,28,93,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
17,100,100,95,7,11,6,55,95,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
18,100,99,96,5,12,9,18,80,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
19,100,100,95,5,5,0,53,99,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
20,100,100,97,4,8,5,64,99,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
21,100,100,98,4,7,5,59,86,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
22,100,100,98,2,2,0,82,84,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
23,100,100,99,1,4,3,63,63,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
24,100,99,99,1,4,4,24,24,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
25,100,100,97,4,8,5,47,79,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
26,100,100,100,1,2,2,27,27,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
27,100,100,95,6,11,6,32,99,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
28,100,100,98,2,2,0,44,97,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
29,100,98,99,3,3,4,29,89,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
30,100,100,98,2,2,0,72,98,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
31,100,100,98,2,2,0,41,68,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
32,100,100,99,1,1,0,95,95,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
33,100,99,96,4,10,7,33,89,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
34,100,100,99,1,1,0,95,95,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
35,100,100,98,2,3,1,40,77,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
36,100,100,98,2,3,1,74,84,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
37,100,100,99,1,1,0,77,77,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
38,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
39,100,100,99,1,1,0,88,88,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
40,100,100,98,2,2,0,86,99,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
41,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
42,100,100,99,1,1,0,95,95,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
43,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
44,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
45,100,100,97,3,3,0,49,97,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
46,100,100,99,3,5,4,64,91,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
47,100,99,99,1,3,3,47,47,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
48,100,100,98,2,2,0,77,97,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
49,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
50,100,100,99,2,2,1,89,96,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
51,100,99,99,1,0,0,51,51,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
52,100,100,98,2,2,0,94,100,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
53,100,100,99,1,5,4,55,55,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
54,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
55,100,100,98,2,2,0,84,97,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
56,100,99,100,1,2,3,56,56,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
57,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
58,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
59,100,100,100,1,2,2,62,62,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
60,100,100,100,1,1,1,91,91,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
61,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
62,100,100,99,1,1,0,87,87,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
63,100,99,98,2,2,1,63,95,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
64,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
65,100,98,99,2,3,4,65,65,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
66,100,100,99,1,4,3,83,83,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
67,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
68,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
69,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
70,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
71,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
72,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
73,100,99,99,1,0,0,73,73,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
74,100,100,99,1,1,0,89,89,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
75,100,100,100,1,1,1,78,78,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
76,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
77,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
78,100,99,99,1,0,0,78,78,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
79,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
80,100,99,100,2,1,2,80,89,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
81,100,99,99,1,1,1,81,81,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
82,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
83,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
84,100,99,100,1,0,1,84,84,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
85,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
86,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
87,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
88,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
89,100,98,99,2,1,2,89,89,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
90,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
91,100,100,100,1,1,1,93,93,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
92,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
93,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
94,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
95,100,99,98,2,1,0,95,100,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
96,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
97,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
98,100,99,99,1,0,0,98,98,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
99,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
100,100,100,100,0,0,0,,,POST_COMMIT_INTEGER_BATCH_ENDPOINTS_ONLY_RS
