batch,layer,norm,relative_norm
1,model.layers.4.mlp.down_proj.weight,1.1469810133772032,0.014814639422929678
1,model.layers.5.mlp.down_proj.weight,1.3626104059630482,0.01752172614671682
1,model.layers.6.mlp.down_proj.weight,1.6603974845537819,0.021361222468226523
1,model.layers.7.mlp.down_proj.weight,1.9920843049660082,0.025264814966691505
1,model.layers.8.mlp.down_proj.weight,3.1253285199937597,0.039765573454610216
2,model.layers.4.mlp.down_proj.weight,1.1551453499278697,0.014918799772634895
2,model.layers.5.mlp.down_proj.weight,1.367851881390248,0.01758791799250847
2,model.layers.6.mlp.down_proj.weight,1.6688031312549148,0.021467679622441234
2,model.layers.7.mlp.down_proj.weight,1.9948472824462138,0.025297894932494448
2,model.layers.8.mlp.down_proj.weight,3.137738522344585,0.03991676240234451
3,model.layers.4.mlp.down_proj.weight,1.1653943197656231,0.0150497027692853
3,model.layers.5.mlp.down_proj.weight,1.3835057493590546,0.017787763150472344
3,model.layers.6.mlp.down_proj.weight,1.685885854457041,0.02168565461612599
3,model.layers.7.mlp.down_proj.weight,1.9925013203944846,0.02526599299633946
3,model.layers.8.mlp.down_proj.weight,3.1027150091642737,0.03946403495699063
4,model.layers.4.mlp.down_proj.weight,1.1803468731605398,0.015241277265495809
4,model.layers.5.mlp.down_proj.weight,1.3968006905853645,0.017957098509201606
4,model.layers.6.mlp.down_proj.weight,1.6964210333860839,0.021819172282551088
4,model.layers.7.mlp.down_proj.weight,2.007119910404275,0.025449343902655835
4,model.layers.8.mlp.down_proj.weight,3.119892377471088,0.03967397220969632
5,model.layers.4.mlp.down_proj.weight,1.2111486446984263,0.015637385686805817
5,model.layers.5.mlp.down_proj.weight,1.4327287909564412,0.01841734399466902
5,model.layers.6.mlp.down_proj.weight,1.7409043726858995,0.02238927157196681
5,model.layers.7.mlp.down_proj.weight,2.058665722365257,0.026100526443118652
5,model.layers.8.mlp.down_proj.weight,3.210121843365724,0.04081220211191412
6,model.layers.4.mlp.down_proj.weight,1.2173943216197063,0.01571620275239158
6,model.layers.5.mlp.down_proj.weight,1.440373087099114,0.018513781983406755
6,model.layers.6.mlp.down_proj.weight,1.7436700905657354,0.022422540449354066
6,model.layers.7.mlp.down_proj.weight,2.0467076709847976,0.025946448073220725
6,model.layers.8.mlp.down_proj.weight,3.1789677855848613,0.04040610648744889
7,model.layers.4.mlp.down_proj.weight,1.2116305590605463,0.015640085320200975
7,model.layers.5.mlp.down_proj.weight,1.4395265294241402,0.01850105901372929
7,model.layers.6.mlp.down_proj.weight,1.7529579081674744,0.022539578512030586
7,model.layers.7.mlp.down_proj.weight,2.065154402244243,0.026178074877457415
7,model.layers.8.mlp.down_proj.weight,3.232227282737115,0.041072207508129704
8,model.layers.4.mlp.down_proj.weight,1.2386462442851578,0.015987073371643734
8,model.layers.5.mlp.down_proj.weight,1.4670731095454286,0.018853279163419712
8,model.layers.6.mlp.down_proj.weight,1.7767324811726166,0.022842874292369697
8,model.layers.7.mlp.down_proj.weight,2.088283289611569,0.02646869893694265
8,model.layers.8.mlp.down_proj.weight,3.2472473937846513,0.041252588033301944
9,model.layers.4.mlp.down_proj.weight,1.247933118616444,0.016105100495134184
9,model.layers.5.mlp.down_proj.weight,1.470282745051393,0.018892416760334624
9,model.layers.6.mlp.down_proj.weight,1.7767570784494024,0.022840775717389235
9,model.layers.7.mlp.down_proj.weight,2.0810342684448986,0.02637446052165336
9,model.layers.8.mlp.down_proj.weight,3.240275819482635,0.04115418607105178
10,model.layers.4.mlp.down_proj.weight,1.2164431962953328,0.01569687950978049
10,model.layers.5.mlp.down_proj.weight,1.4424523815553136,0.018532878851759887
10,model.layers.6.mlp.down_proj.weight,1.741532898453586,0.022385471595547827
10,model.layers.7.mlp.down_proj.weight,2.0408834979578527,0.025862732665253147
10,model.layers.8.mlp.down_proj.weight,3.177653603373775,0.04034629440674771
11,model.layers.4.mlp.down_proj.weight,1.2248522913458981,0.01580364859230866
11,model.layers.5.mlp.down_proj.weight,1.4563225036668614,0.018709166580247537
11,model.layers.6.mlp.down_proj.weight,1.766705664713881,0.022706836089635165
11,model.layers.7.mlp.down_proj.weight,2.0765786067399183,0.026312571945143127
11,model.layers.8.mlp.down_proj.weight,3.2511826232109526,0.041268138329824164
12,model.layers.4.mlp.down_proj.weight,1.2577626103800665,0.016226399430335364
12,model.layers.5.mlp.down_proj.weight,1.4812379083405447,0.019027154414607044
12,model.layers.6.mlp.down_proj.weight,1.784250622382457,0.02292985230464221
12,model.layers.7.mlp.down_proj.weight,2.084421175857505,0.026409082289441388
12,model.layers.8.mlp.down_proj.weight,3.2475031225664246,0.04120929946148296
13,model.layers.4.mlp.down_proj.weight,1.2727711584968397,0.01641807817371916
13,model.layers.5.mlp.down_proj.weight,1.5045574397354098,0.019324437921389315
13,model.layers.6.mlp.down_proj.weight,1.8117831760814969,0.0232810527667278
13,model.layers.7.mlp.down_proj.weight,2.1106441906491167,0.02673872879648773
13,model.layers.8.mlp.down_proj.weight,3.2855710430250022,0.041680060243112015
14,model.layers.4.mlp.down_proj.weight,1.246286341668334,0.016074455050070015
14,model.layers.5.mlp.down_proj.weight,1.4754776060279984,0.018948678322563615
14,model.layers.6.mlp.down_proj.weight,1.778016965358044,0.022844502446765346
14,model.layers.7.mlp.down_proj.weight,2.0783028826734573,0.02632585719653683
14,model.layers.8.mlp.down_proj.weight,3.2440162633427536,0.04114001262901729
15,model.layers.4.mlp.down_proj.weight,1.2546524638480272,0.016180407812835255
15,model.layers.5.mlp.down_proj.weight,1.4847806680982134,0.01906599252478713
15,model.layers.6.mlp.down_proj.weight,1.790951278113867,0.023008262193700973
15,model.layers.7.mlp.down_proj.weight,2.0882053327051344,0.02644881212806452
15,model.layers.8.mlp.down_proj.weight,3.261359383417047,0.04134767975045278
16,model.layers.4.mlp.down_proj.weight,1.271714311668855,0.01639839568687645
16,model.layers.5.mlp.down_proj.weight,1.4990903939333649,0.019247712865835404
16,model.layers.6.mlp.down_proj.weight,1.80708721864319,0.023213076791352403
16,model.layers.7.mlp.down_proj.weight,2.105712923718815,0.026667699807046693
16,model.layers.8.mlp.down_proj.weight,3.288603831425441,0.041680038248831396
17,model.layers.4.mlp.down_proj.weight,1.2773536850928606,0.01646907519054399
17,model.layers.5.mlp.down_proj.weight,1.5062401784746193,0.01933727226335789
17,model.layers.6.mlp.down_proj.weight,1.8133580998552188,0.023291009889230052
17,model.layers.7.mlp.down_proj.weight,2.1028436933822396,0.026628558389078558
