entry,arm,step,panel,metric,numerator,denominator,evaluation_resolution,evaluation_total_pairs,percent,new_nll_mean,new_nll_median,new_nll_p90,true_nll_mean,true_nll_median,true_nll_p90,margin_mean,margin_median,margin_p90,new_strict_numerator,new_token_numerator,new_token_denominator,true_strict_numerator,true_token_numerator,true_token_denominator
Early,W0,0,Current100,NS,181,200,Curve1100,1100,90.5,10.748440265823156,10.698997020721436,15.751773357391357,5.099584405799396,4.570005416870117,10.677766799926758,-5.648855860023759,-5.447856426239014,-0.3411847114562992,1,1,202,40,46,206
Early,W0,0,Current100,PS,22,200,Curve1100,1100,11.0,9.887660593390464,9.942129135131836,13.412011909484862,4.715172799034044,4.300474643707275,10.039195156097412,-5.172487794356421,-4.600456118583679,0.19130105972290018,0,0,202,50,56,206
Early,W0,0,Current100,RS,10,100,Curve1100,1100,10.0,10.954056465625763,11.173062324523926,15.084982013702396,4.872373762074858,4.284566402435303,10.396711444854741,-6.081682703550905,-5.787683844566345,0.02331266403198528,0,0,101,24,27,103
Early,W0,0,Fixed100,NS,177,200,Curve1100,1100,88.5,11.868003116846085,11.858561038970947,16.651049995422362,5.507496660820907,5.566099405288696,10.96179609298706,-6.360506456025178,-6.1569753885269165,0.24890451431274274,0,0,202,40,46,206
Early,W0,0,Fixed100,RS,5,100,Curve1100,1100,5.0,11.743397884368896,11.794819831848145,16.157978439331057,4.899287044950761,4.411773681640625,9.811371326446537,-6.844110839418136,-6.767681121826172,-1.4714265823364252,0,0,101,21,24,103
Early,W0,0,Past100,NS,173,200,Curve1100,1100,86.5,11.064389080852271,11.304136753082275,15.437557697296143,5.662415650207549,4.645588159561157,12.258532238006591,-5.401973430644721,-5.314720273017883,0.5929010391235352,2,8,206,35,37,202
Early,W0,0,Past100,RS,9,100,Curve1100,1100,9.0,11.18613894701004,10.85815954208374,15.481520748138427,4.842690099687024,4.590666055679321,10.067614555358888,-6.343448847323016,-6.7316060066223145,-0.5028900146484329,0,2,103,21,22,101
Early,ENTRY,0,Current100,NS,171,200,Curve1100,1100,85.5,9.236890434324742,9.10421085357666,13.510801315307617,4.905553613919765,4.590732574462891,10.124041557312012,-4.331336820404976,-4.391153931617737,0.785673141479492,2,2,202,42,48,206
Early,ENTRY,0,Current100,PS,33,200,Curve1100,1100,16.5,9.0451666867733,8.999003887176514,13.184486007690428,4.529855436086654,4.265218019485474,8.873763275146484,-4.515311250686645,-4.433933973312378,0.8379080772399902,3,3,202,45,51,206
Early,ENTRY,0,Current100,RS,19,100,Curve1100,1100,19.0,9.359708572179079,9.374644756317139,14.595693397521977,4.649037086945027,4.097961187362671,9.070108032226564,-4.710671485234052,-4.870846331119537,1.2184820652008115,4,4,101,18,21,103
Early,ENTRY,0,Fixed100,NS,167,200,Curve1100,1100,83.5,9.988947121521925,9.908407211303711,15.286847686767578,5.655117414417328,5.239199638366699,10.65164041519165,-4.333829707104596,-4.078973054885864,1.8550421714782692,5,5,202,28,34,206
Early,ENTRY,0,Fixed100,RS,100,100,Curve1100,1100,100.0,0.06445581707055681,0.0021354372147470713,0.008002477791160355,14.116589832305909,14.406755924224854,19.599307823181153,14.052134015235351,14.405786127696047,19.59332904294133,99,100,101,0,3,103
Early,ENTRY,0,Past100,NS,161,200,Curve1100,1100,80.5,9.336211902424694,9.503958702087402,13.725641345977781,5.538581700082869,4.778326988220215,11.368354129791259,-3.797630202341825,-3.906189441680908,2.076441550254821,2,8,206,35,37,202
Early,ENTRY,0,Past100,RS,100,100,Curve1100,1100,100.0,0.0023728010553531933,0.0011332167778164148,0.0050924236420542,14.611158213615418,14.434603691101074,19.05439033508301,14.608785412560064,14.433960740578186,19.054042554981425,100,103,103,0,1,101
Early,N,0,Current100,NS,161,200,Curve1100,1100,80.5,8.837451189085842,8.686202049255371,13.165928173065186,5.212705959482118,4.6826276779174805,9.998744010925293,-3.6247452296037226,-3.562101125717163,1.798913288116455,2,2,202,41,47,206
Early,N,0,Current100,PS,195,200,Curve1100,1100,97.5,1.6271922386353252,0.18515890836715698,5.218408918380736,10.351426459550858,10.034245491027832,15.281836891174317,8.724234220915532,8.206544559448957,14.665179138060193,138,140,202,0,6,206
Early,N,0,Current100,RS,100,100,Curve1100,1100,100.0,0.001548703510852647,0.0010872529237531126,0.003223023423925043,14.559245595932007,14.748457908630371,19.03678359985352,14.557696892421154,14.746450440317858,19.03548175156466,100,101,101,0,3,103
Early,N,0,Fixed100,NS,165,200,Curve1100,1100,82.5,9.892100935196504,9.732211589813232,15.147741985321044,5.774396654019947,5.249011993408203,10.726967144012452,-4.1177042811765565,-4.082687616348267,2.313044500350952,5,5,202,28,34,206
Early,N,0,Fixed100,RS,100,100,Curve1100,1100,100.0,0.05602934896647639,0.0020922564435750246,0.009111484792083511,14.059178404808044,14.390233993530273,19.425039863586427,14.003149055841568,14.384545257838909,19.423729784146417,99,100,101,0,3,103
Early,N,0,Past100,NS,160,200,Curve1100,1100,80.0,9.21943532422185,9.554835319519043,13.621002864837646,5.6126882676407694,4.9419779777526855,11.837671852111816,-3.6067470565810797,-3.5779284238815308,2.722292232513427,1,7,206,34,36,202
Early,N,0,Past100,RS,100,100,Curve1100,1100,100.0,0.0023336228293192106,0.0011732246493920684,0.004440304823219777,14.641474175453187,14.500941753387451,19.084987258911134,14.639140552623866,14.499656966596376,19.084644924715395,100,103,103,0,1,101
Late,W0,0,Current100,NS,175,200,Curve1100,1100,87.5,10.672383353710174,10.267251014709473,16.15048294067383,5.3960557594057175,5.076620578765869,10.618465995788574,-5.276327594304457,-5.054991602897644,0.3041643142700189,3,6,204,33,33,200
Late,W0,0,Current100,PS,18,200,Curve1100,1100,9.0,10.17623871922493,10.010432243347168,14.152703666687012,4.941470510880463,4.441301345825195,9.528411960601806,-5.234768208344467,-4.9480414390563965,-0.19438848495483402,0,2,204,36,36,200
Late,W0,0,Current100,RS,6,100,Curve1100,1100,6.0,11.04663575410843,11.2156662940979,14.953576278686525,4.595472247293219,4.200867652893066,8.838274192810063,-6.45116350681521,-6.589446544647217,-1.6691298365592928,0,2,102,19,19,100
Late,W0,0,Fixed100,NS,177,200,Curve1100,1100,88.5,11.868003116846085,11.858561038970947,16.651049995422362,5.507496660820907,5.566099405288696,10.96179609298706,-6.360506456025178,-6.1569753885269165,0.24890451431274274,0,0,202,40,46,206
Late,W0,0,Fixed100,RS,5,100,Curve1100,1100,5.0,11.743397884368896,11.794819831848145,16.157978439331057,4.899287044950761,4.411773681640625,9.811371326446537,-6.844110839418136,-6.767681121826172,-1.4714265823364252,0,0,101,21,24,103
Late,W0,0,Past100,NS,175,200,Curve1100,1100,87.5,11.020696494579315,10.90984582901001,15.893124294281005,5.200946441353299,4.540730953216553,10.838130474090576,-5.8197500532260165,-5.377930045127869,0.4662336349487303,2,4,202,32,34,202
Late,W0,0,Past100,RS,7,100,Curve1100,1100,7.0,10.861145832538604,11.134346008300781,15.166269302368166,5.0407942300033755,4.929927587509155,9.805398368835453,-5.820351602535229,-5.1512064933776855,-0.8407910585403433,0,1,101,19,20,101
Late,ENTRY,0,Current100,NS,121,200,Curve1100,1100,60.5,8.21463795594871,8.03113079071045,13.545801258087158,6.946304115653038,6.6135101318359375,11.71897850036621,-1.2683338402956723,-0.9955019950866699,3.666990804672241,10,13,204,13,13,200
Late,ENTRY,0,Current100,PS,59,200,Curve1100,1100,29.5,8.15477718444774,8.00083041191101,12.888767910003661,5.945163484122604,5.552064657211304,10.453239154815673,-2.2096137003251353,-2.3301936388015747,3.945780587196349,6,10,204,15,15,200
Late,ENTRY,0,Current100,RS,27,100,Curve1100,1100,27.0,8.40504054253921,8.173588275909424,12.750155448913578,5.864682346470654,5.490672588348389,9.80592164993287,-2.540358196068555,-2.4149155616760254,2.2186812877655067,4,5,102,10,10,100
Late,ENTRY,0,Fixed100,NS,135,200,Curve1100,1100,67.5,8.41417947451817,8.163550853729248,14.219944190979003,6.665640488176141,6.386987924575806,10.917216777801514,-1.7485389863420278,-1.5627994537353516,4.214355373382568,11,11,202,13,19,206
Late,ENTRY,0,Fixed100,RS,99,100,Curve1100,1100,99.0,0.6867840732092736,0.026785396970808506,2.1728268623352056,11.059432895183564,10.825389385223389,16.351788711547854,10.37264882197429,10.486890278290957,16.351074781984792,89,90,101,0,3,103
Late,ENTRY,0,Past100,NS,143,200,Curve1100,1100,71.5,8.330702930747066,7.894697189331055,13.614787578582764,6.233713030358777,5.693659782409668,11.105500507354735,-2.096989900388289,-2.3119940757751465,3.3468258380889866,9,11,202,18,20,202
Late,ENTRY,0,Past100,RS,100,100,Curve1100,1100,100.0,0.14411509746845697,0.004364183405414224,0.06556629166007041,12.950369758605957,13.076548099517822,17.99263782501221,12.8062546611375,13.074155287235044,17.97796068778262,97,98,101,0,1,101
