entry,arm,step,time,pre_objective,post_objective,pre_edit_nll,post_edit_nll,essence_kl,action,risk_pre,risk_post,risk_actual_fp32,risk_rounding_difference,risk_linear,risk_quadratic,actual_step_norm,actual_step_energy,materialization_off_support_norm,q,q_all,q_fraction,slack,e,epsilon,factor,rank,correction_native_norm,nominal_native_norm,leakage_max,nominal_edit_derivative_mean,nominal_edit_derivative_positive,reduced_cap_exceeded,actual_fp32_cap_exceeded,prediction_error_mean,prediction_error_abs_p90,request_worsened,request_improved
Middle,H,1,0.125,0.15806329909669634,0.13632907796557067,0.04746834650709692,0.025771544611852732,0.16667865309864283,1.0014011753505276,0.0,1.420469386124427e-07,1.4204786912753328e-07,9.305150905938905e-13,9.111298327230796e-08,5.0933955340134736e-08,0.10744016609836189,0.011543389291243591,2.579262952634071e-06,3.640381454181971e-08,3.6445085629821946e-08,0.9988675815329005,7.28903861581453e-07,7.28903861581453e-07,3.645146384937146e-09,0.0,1,0.0,0.6029891087200859,0.0,-0.3630002512859901,False,True,True,0.023678227818242713,2.293559075010275e-06,14,86
Middle,H,2,0.25,0.13632907796557067,0.13274038268705002,0.025771544611852732,0.022302228095953374,0.1644840860972181,1.001578992100205,1.420469386124427e-07,5.699311745142827e-08,5.699305944128616e-08,-5.801014210644903e-14,-9.043740392116968e-08,5.383582760155242e-09,0.036162606976444966,0.0013077341433328261,3.647668277093153e-06,3.6260786164093616e-08,3.645639672988879e-08,0.9946343966123562,0.0,-4.3940536193879086e-07,3.645146384937146e-09,0.0,1,0.0,0.1753832623268986,0.0,-0.02969920659250155,False,True,True,0.0002430843378799162,1.0641647929350584e-06,6,94
Middle,H,3,0.375,0.13274038268705002,0.13000351211561811,0.022302228095953374,0.01966182773207038,0.16283421870321035,1.001645457145971,5.699311745142827e-08,-6.262850780375107e-08,-6.262848209963626e-08,2.570411480987776e-14,-1.2363365446843142e-07,4.0120292132521e-09,0.03119038589105239,0.00097284017203276,3.6470540799049333e-06,3.6251083816893875e-08,3.6457528209652655e-08,0.994337400177774,0.0,-8.750829951338373e-07,3.645146384937146e-09,0.0,1,0.0,0.1525875452599128,0.0,-0.022450677238780067,False,False,False,0.00016593431354183354,9.91941178998378e-07,5,95
Middle,H,4,0.5,0.13000351211561811,0.1278443697364604,0.01966182773207038,0.017588281627589217,0.1615021323086694,1.0016220483957934,-6.262850780375107e-08,-2.1041050571785608e-07,-2.1041098409447897e-07,-4.783766228901889e-13,-1.5086533375064127e-07,3.08333583653633e-09,0.02731174742542373,0.0007459315474301397,3.64872517023386e-06,3.624156004953039e-08,3.645682475924483e-08,0.9940953522108409,0.0,-1.332179685691713e-06,3.645146384937146e-09,0.0,1,0.0,0.13496589263843467,0.0,-0.017490726964587238,False,False,False,0.00011279477883540703,9.451461456799578e-07,5,95
Middle,H,5,0.625,0.1278443697364604,0.12608617999563482,0.017588281627589217,0.015909670243648484,0.16038291167933494,1.0015257777202788,-2.1041050571785608e-07,-3.8068883030345193e-07,-3.8068875264862117e-07,7.765483075704836e-14,-1.7273482158396715e-07,2.4564969983711786e-09,0.02435419544396739,0.0005931268357229619,3.6485697239712974e-06,3.623213073269863e-08,3.645461838339744e-08,0.993896859696654,0.0,-1.8026995764909107e-06,3.645146384937146e-09,0.0,1,0.0,0.12139729354575053,0.0,-0.014071107962418845,False,False,False,8.027711783366698e-05,8.573969493133308e-07,5,95
Middle,H,6,0.75,0.12608617999563482,0.1246201758485099,0.015909670243648484,0.01451961097490615,0.15941868105437607,1.0013689730770523,-3.8068883030345193e-07,-5.693237556563808e-07,-5.693226037593278e-07,1.1518970530416064e-12,-1.906481004669083e-07,2.0131751139795045e-09,0.022030431423564777,0.0004853399087083904,3.6479468372415e-06,3.622241485411854e-08,3.64512151068809e-08,0.9937231104068416,0.0,-2.2865624591280245e-06,3.645146384937146e-09,0.0,1,0.0,0.11059315294363484,0.0,-0.01160038050889757,False,False,False,5.998830132084832e-05,6.720930972059141e-07,4,96
Middle,H,7,0.875,0.1246201758485099,0.12337704937659266,0.01451961097490615,0.013350238728132052,0.158572131767869,1.001160524129688,-5.693237556563808e-07,-7.733892202364861e-07,-7.733896569050025e-07,-4.366685164059771e-13,-2.0574873596140994e-07,1.6832713813047271e-09,0.020131949302842695,0.00040529538273222847,3.6480130589410305e-06,3.6212190246545094e-08,3.6446840391730355e-08,0.9935618522027357,0.0,-2.7846374293727687e-06,3.645146384937146e-09,0.0,1,0.0,0.1016694059643489,0.0,-0.009728395398081964,False,False,False,4.66771754160728e-05,6.438749274130273e-07,3,97
Middle,H,8,1.0,0.12337704937659266,0.12230933687322279,0.013350238728132052,0.012355052291810959,0.15781718934886158,1.0009071024710798,-7.733892202364861e-07,-9.90745936956899e-07,-9.9074597756909e-07,-4.0612191090145426e-14,-2.1878472406247439e-07,1.4280073420616032e-09,0.018532471112594623,0.0003434524855391542,3.649003434440902e-06,3.620140181933257e-08,3.6441653261599e-08,0.9934072298931728,0.0,-3.297056232638016e-06,3.645146384937146e-09,0.0,1,0.0,0.0940954750328515,0.0,-0.00825901519052214,False,False,False,3.7190463091334446e-05,6.20162152359729e-07,4,96
Middle,R,1,0.125,0.15806329909669634,0.13632698559382572,0.04746834650709692,0.02577664312278406,0.16668259294237942,1.0013268041214294,0.0,5.92095682875861e-08,5.921040798931528e-08,8.397017291760685e-13,8.284316112605165e-09,5.092525217498092e-08,0.10742955446900074,0.011541109173407997,2.5792071528549835e-06,3.6445085629821946e-08,3.6445085629821946e-08,1.0,6.627452979150151e-08,7.28903861581453e-07,3.645146384937146e-09,18.181582518981415,1,0.0034709724682625382,0.6029891087200859,7.055885330418022e-05,-0.3630002512859901,False,True,True,0.023674506472352686,1.9983712778201728e-06,14,86
Middle,R,2,0.25,0.13632698559382572,0.13273704037387374,0.02577664312278406,0.022306101717877027,0.1644872105680406,1.0015048799549415,5.92095682875861e-08,-2.571036961753358e-08,-2.5710701438717292e-08,-3.3182118371156487e-13,-9.030574757975511e-08,5.38580967463545e-09,0.03617016079436004,0.0013082805318898605,3.647414816145476e-06,3.6453268651097235e-08,3.6453268651097235e-08,1.0,0.0,-6.04026842697192e-07,3.645146384937146e-09,0.0,1,0.0,0.17541559639237286,0.0,-0.02971035942242075,False,False,False,0.0002432535163103499,1.1302055476475638e-06,6,94
