entry,contrast,panel,metric,field,delta,ci_low,ci_high,bootstrap,requests,prompts,success_to_failure,failure_to_success,unit,paired,imputation
Early,H−N,Fixed100,RS,true_nll,0.00597315788269043,0.0029480122327804567,0.009816307783126827,2000,100,100,0,0,NLL,True,0
Early,H−N,Past100,NS,success,0.1,0.0,0.30000000000000004,2000,100,1000,0,1,pp,True,0
Early,H−N,Past100,NS,new_nll,0.003082856769673526,0.0012724210670217871,0.004852092527621426,2000,100,1000,0,1,NLL,True,0
Early,H−N,Past100,NS,true_nll,-0.0030764256070251583,-0.00525451181234821,-0.0009635376419828414,2000,100,1000,0,1,NLL,True,0
Early,H−N,Past100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,H−N,Past100,PS,new_nll,-0.00036521637593978085,-0.0010928970136701538,0.0003764006660712764,2000,100,200,0,0,NLL,True,0
Early,H−N,Past100,PS,true_nll,0.004508032202720642,0.0028222754299640656,0.006217309057712554,2000,100,200,0,0,NLL,True,0
Early,H−N,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,H−N,Past100,RS,new_nll,-1.1682984622893855e-05,-2.4652123986015794e-05,-3.339085531479214e-06,2000,100,100,0,0,NLL,True,0
Early,H−N,Past100,RS,true_nll,0.0032534408569335938,0.0015100779533386232,0.005056944847106933,2000,100,100,0,0,NLL,True,0
Early,R−N,Current100,NS,success,0.2,0.0,0.5,2000,100,1000,0,2,pp,True,0
Early,R−N,Current100,NS,new_nll,0.0117139575551264,0.006601828990189824,0.01806110775856068,2000,100,1000,0,2,NLL,True,0
Early,R−N,Current100,NS,true_nll,-0.0055511449933983385,-0.01127310319924727,-0.0008851100688450994,2000,100,1000,0,2,NLL,True,0
Early,R−N,Current100,PS,success,0.5,0.0,1.5,2000,100,200,0,1,pp,True,0
Early,R−N,Current100,PS,new_nll,-0.003035206757776905,-0.02190388298282778,0.013843430100758248,2000,100,200,0,1,NLL,True,0
