entry,observer,stage,rank,free_energy_fraction,native_nominal_norm,spectrum_cpu_gpu_min_difference,spectrum_cpu_gpu_max_difference,later_node_free_fraction
Early,J1,entry_pre0_only,1,0.17047036917102756,0.2898655516652187,1.5959455978986625e-16,-2.7755575615628914e-15,NOT_RECORDED
Early,J4,entry_pre0_only,4,0.16962635184759112,0.2898655516652187,1.5959455978986625e-16,-2.7755575615628914e-15,NOT_RECORDED
Middle,J1,entry_pre0_only,1,0.0068812808152450685,0.6029891087200824,6.38378239159465e-16,6.8833827526759706e-15,NOT_RECORDED
Middle,J4,entry_pre0_only,4,0.006869152199854327,0.6029891087200824,6.38378239159465e-16,6.8833827526759706e-15,NOT_RECORDED
Late,J1,entry_pre0_only,1,0.0569765064437097,0.3771559514522926,4.163336342344337e-16,-9.43689570931383e-16,NOT_RECORDED
Late,J4,entry_pre0_only,4,0.05696104707144592,0.3771559514522926,4.163336342344337e-16,-9.43689570931383e-16,NOT_RECORDED
