kind,entry,contrast,panel,metric,field,delta,ci_low,ci_high,bootstrap,requests,prompts,success_to_failure,failure_to_success,unit,paired,imputation
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Fixed100,NS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Fixed100,NS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Fixed100,RS,new_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Fixed100,RS,true_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Past100,NS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Past100,NS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Past100,NS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Past100,RS,new_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Late,EP1−MATCHED_RISK_PROBE,Past100,RS,true_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
