entry,arm,phase,ledger,name,value
Middle,H,shared_entry_or_interarm_setup,counts,actual_model_forward_invocations,1054
Middle,H,shared_entry_or_interarm_setup,counts,actual_model_forward_sequences,3704
Middle,H,shared_entry_or_interarm_setup,counts,actual_model_forward_tokens,46173
Middle,H,shared_entry_or_interarm_setup,counts,analytic_action_gradient,1
Middle,H,shared_entry_or_interarm_setup,counts,coefficient_gradient_pullback,4
Middle,H,shared_entry_or_interarm_setup,counts,edit_backward,312
Middle,H,shared_entry_or_interarm_setup,counts,essence_backward,50
Middle,H,shared_entry_or_interarm_setup,counts,evaluation_candidate_sequences,2200
Middle,H,shared_entry_or_interarm_setup,counts,evaluation_input_tokens,24358
Middle,H,shared_entry_or_interarm_setup,counts,evaluation_materialization,2
Middle,H,shared_entry_or_interarm_setup,counts,evaluation_model_forwards,278
Middle,H,shared_entry_or_interarm_setup,counts,evaluation_restore,2
Middle,H,shared_entry_or_interarm_setup,counts,gradient_sweeps,1
Middle,H,shared_entry_or_interarm_setup,counts,request_gradient_observer_bmm,312
Middle,H,shared_entry_or_interarm_setup,counts,teacher_forward,50
Middle,H,shared_entry_or_interarm_setup,counts,teacher_sequences,100
Middle,H,shared_entry_or_interarm_setup,counts,teacher_tokens,693
Middle,H,shared_entry_or_interarm_setup,counts,training_forward,725
Middle,H,shared_entry_or_interarm_setup,counts,training_sequences,1402
Middle,H,shared_entry_or_interarm_setup,counts,training_tokens,21111
Middle,H,shared_entry_or_interarm_setup,seconds,actual_weight_gate,0.13712548930197954
Middle,H,shared_entry_or_interarm_setup,seconds,curve_evaluation,41.58514202106744
Middle,H,shared_entry_or_interarm_setup,seconds,essence_teacher,3.140119679272175
Middle,H,shared_entry_or_interarm_setup,seconds,geometry,6.72378458827734
Middle,H,shared_entry_or_interarm_setup,seconds,grouped_objective,65.05584870185703
Middle,H,shared_entry_or_interarm_setup,seconds,model_load,23.755662228912115
Middle,H,arm_increment,counts,actual_model_forward_invocations,6628
Middle,H,arm_increment,counts,actual_model_forward_sequences,21920
Middle,H,arm_increment,counts,actual_model_forward_tokens,301332
Middle,H,arm_increment,counts,analytic_action_gradient,7
Middle,H,arm_increment,counts,coefficient_gradient_pullback,28
Middle,H,arm_increment,counts,edit_backward,2184
Middle,H,arm_increment,counts,essence_backward,350
Middle,H,arm_increment,counts,evaluation_candidate_sequences,14400
Middle,H,arm_increment,counts,evaluation_input_tokens,156964
Middle,H,arm_increment,counts,evaluation_materialization,5
Middle,H,arm_increment,counts,evaluation_model_forwards,1812
Middle,H,arm_increment,counts,evaluation_restore,5
Middle,H,arm_increment,counts,generation_output_tokens,1920
Middle,H,arm_increment,counts,generation_sequences,60
Middle,H,arm_increment,counts,gradient_sweeps,7
Middle,H,arm_increment,counts,request_gradient_observer_bmm,2184
Middle,H,arm_increment,counts,training_forward,2896
Middle,H,arm_increment,counts,training_sequences,5600
Middle,H,arm_increment,counts,training_tokens,84400
Middle,H,arm_increment,seconds,curve_evaluation,125.33966368436813
Middle,H,arm_increment,seconds,full_evaluation,147.3963975692168
Middle,H,arm_increment,seconds,generation,90.27344079036266
Middle,H,arm_increment,seconds,grouped_objective,316.9888959582895
Middle,R,arm_increment,counts,actual_model_forward_invocations,6628
Middle,R,arm_increment,counts,actual_model_forward_sequences,21920
Middle,R,arm_increment,counts,actual_model_forward_tokens,301332
Middle,R,arm_increment,counts,analytic_action_gradient,7
Middle,R,arm_increment,counts,coefficient_gradient_pullback,28
Middle,R,arm_increment,counts,edit_backward,2184
Middle,R,arm_increment,counts,essence_backward,350
Middle,R,arm_increment,counts,evaluation_candidate_sequences,14400
Middle,R,arm_increment,counts,evaluation_input_tokens,156964
Middle,R,arm_increment,counts,evaluation_materialization,5
Middle,R,arm_increment,counts,evaluation_model_forwards,1812
Middle,R,arm_increment,counts,evaluation_restore,5
Middle,R,arm_increment,counts,generation_output_tokens,1920
Middle,R,arm_increment,counts,generation_sequences,60
Middle,R,arm_increment,counts,gradient_sweeps,7
Middle,R,arm_increment,counts,request_gradient_observer_bmm,2184
Middle,R,arm_increment,counts,training_forward,2896
Middle,R,arm_increment,counts,training_sequences,5600
Middle,R,arm_increment,counts,training_tokens,84400
