entry,index,H_N_eigenvalue,B_eigenvalue,backend,prepared_sha
Early,0,3.2680121704585483,0.04578186862640625,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,1,3.463457924040984,0.04851988530057438,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,2,3.980171297018976,0.05575856818340662,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,3,4.097831950683669,0.057406886582360976,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,4,4.181002821384524,0.05857203459202597,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,5,4.305823226102357,0.06032065457035519,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,6,4.429517897254273,0.06205350404859583,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,7,4.572401922957535,0.06405517887486824,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,8,4.980274888734935,0.06976910696371734,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,9,5.043750561382998,0.07065834321944962,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,10,5.149875450126778,0.07214505607761448,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,11,5.351215934426898,0.07496565255051928,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,12,5.496952290711488,0.07700728592564095,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,13,5.508564150651397,0.07716995748821433,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,14,5.561804276984378,0.07791580307944666,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,15,5.646999777831443,0.07910931431009605,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,16,5.706054031754428,0.07993661052379186,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,17,5.785424279445431,0.08104851527294847,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,18,5.81341674800957,0.08144066421594125,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,19,5.829786547941956,0.08166999017645007,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,20,5.917118710022186,0.08289343408138987,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,21,5.965509902347553,0.08357135053156155,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,22,6.05497147928796,0.08482462559571835,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,23,6.083904921435405,0.08522995672002652,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,24,6.100967051042034,0.08546898158755865,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,25,6.13702122499383,0.0859740676671688,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,26,6.170181346019301,0.08643861070594527,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,27,6.204220649542971,0.08691547028931591,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
Early,28,6.228400731012023,0.08725421116770031,CPU_FP64_reconstruction,f0eef23489ea6499bef3e961714095c5029cac3e2be9a6a63282d11b725c1307
