contrast,before,after,population,metric,request_denominator,prompt_denominator,paired_identity_sha256,status,preference_delta_pp,desired_target_nll_mean_delta,actual_resamples,preference_delta_pp_ci95_low,preference_delta_pp_ci95_high,preference_delta_pp_ci95_confidence,preference_delta_pp_ci95_includes_zero,desired_target_nll_mean_delta_ci95_low,desired_target_nll_mean_delta_ci95_high,desired_target_nll_mean_delta_ci95_confidence,desired_target_nll_mean_delta_ci95_includes_zero,bootstrap_seed,CI_zero_is_gate
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,suffix,RS,1000,1000,9a88165d0817857d1a969797662bf896d3fe4ab406f57d94774bdf1bdeb1f491,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,-0.1,0.014582953790282772,1000,-0.4,0.0,0.95,True,0.00324549274129422,0.028592678139270262,0.95,False,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,suffix,PS,1000,2000,7f708103ac78bc37c6a7158350c26b4f6023fad62292790a92063b673b2330c6,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,-0.4,0.12906479982487146,1000,-1.05,0.2,0.95,True,0.06391522853315264,0.18686676148119138,0.95,False,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,suffix,NS,1000,10000,a408f97bcdf4e820bbfcf632ee8a20ecca0a35c2402645409510b29c06c07d6c,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,1.05,-0.07041459574532928,1000,0.57,1.53,0.95,False,-0.09134988288737252,-0.04852473423901276,0.95,False,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,entry_old,RS,5000,5000,681e6ea5be85b8839b375b86ccda53416c3635d7757c35c9faa2b715df3a123b,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,-0.02,0.008890529235888244,1000,-0.16,0.12,0.95,True,-0.0014549007420926682,0.020402811440957857,0.95,True,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,entry_old,PS,5000,10000,65aaff769a86ea333dc4b80af36d5241c56c088c9a5eeab16849f722df5cb8e1,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,0.0,-0.009132141694460734,1000,-0.18024999999999997,0.19,0.95,True,-0.019169470991641357,0.0013542414513244504,0.95,True,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,entry_old,NS,5000,50000,de1d4f73b5a8d48f087536a9f2c83454ec2e3fe5ca2f68ebe508c42840767fa8,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,0.66,-0.07339343392210547,1000,0.43995,0.878,0.95,False,-0.08245606255235226,-0.06464803374783572,0.95,False,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,fullseen,RS,6000,6000,dd04a48f9ca716c282410c9f89be643490e05ee5360caef1faf0e635264ba58c,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,-0.03333333333333333,0.009839266661620666,1000,-0.16666666666666666,0.08333333333333333,0.95,True,0.0008871626649089119,0.019243822031038235,0.95,False,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,fullseen,PS,6000,12000,3c1401b8dc5085f9af1fb6718c83b8c4fc863d5ea363fd8a49e5f48e511599f9,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,-0.06666666666666667,0.013900681892094629,1000,-0.25833333333333336,0.125,0.95,True,0.0007738363178397321,0.0262845602120214,0.95,False,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,REFIT4,fullseen,NS,6000,60000,9ee8275d8847653296d99fb7fa065235732d752e21838253d61a29dc0fd64b38,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,0.725,-0.07289696089264278,1000,0.5316249999999999,0.92,0.95,False,-0.08055923767136668,-0.06501885397526266,0.95,False,20260914,False
TERMINAL_CROSS_POLICY_DIFFERENT_TRAJECTORIES,FROZEN2,I2,suffix,RS,1000,1000,9a88165d0817857d1a969797662bf896d3fe4ab406f57d94774bdf1bdeb1f491,OBSERVED_REQUEST_CLUSTER_CI_NOT_ORDER_GENERALIZATION,0.0,0.0004615485692938819,1000,0.0,0.0,0.95,True,-0.003255547537547409,0.004504154911843124,0.95,True,20260914,False
