policy,batch,population,metric,group,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy,two_P_request_strict_n,two_P_request_strict_d
I2,60,fullseen,RS,SUPERSEDED,96,96,87,0.90625,0,87,df40db7d2c9ebb858c8fac1745ae21b51bcd8cab903247634abe1d7d2256b4a4,ee31e5b20a28673941412b6e6a882ccf53eee3d7f86e086abc3a7989bfda5b69,35,0.3645833333333333,35,0.3645833333333333,36,97,0.3711340206185567,2,0.020833333333333332,2,0.020833333333333332,3,97,0.030927835051546393,,
I2,60,fullseen,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,,
I2,60,fullseen,PS,ALL,12000,6000,11613,0.96775,0,5688,3939b89fb37ed1bde52fb1b30d176cdee7b2d712e457d595dca0f003eefbaf7c,537b50b8079396d8207962f00091d4822419e98bd198104a8f551b8e795179b8,8283,0.69025,3234,0.539,8450,12170,0.6943303204601479,61,0.005083333333333333,8,0.0013333333333333333,190,12146,0.01564301004445908,3234,6000
I2,60,fullseen,PS,ACTIVE_TARGET,11808,5904,11473,0.971629403794038,0,5631,d8cbb164ea5f029b004881e2c14792811822c7e9292fcb9d0d9832ab00ed2e1d,d20a5a861d99f97f5a0b67c2e5c235266503c61e6a946d6bfd7462c229103a1a,8269,0.7002879403794038,3232,0.5474254742547425,8434,11976,0.7042418169672678,55,0.004657859078590786,6,0.0010162601626016261,182,11952,0.015227576974564927,3232,5904
I2,60,fullseen,PS,SUPERSEDED,192,96,140,0.7291666666666666,0,57,b5b41e3294b39cf569dd02122354d98d47c66187c201539323b89ca1b5a9f545,d57ddfad4a93e72161137c9a8fe8fac643b2aef9254cfd5d5366323201d4db4f,14,0.07291666666666667,2,0.020833333333333332,16,194,0.08247422680412371,6,0.03125,2,0.020833333333333332,8,194,0.041237113402061855,2,96
I2,60,fullseen,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,0,0
I2,60,fullseen,NS,ALL,60000,6000,41595,0.69325,0,1484,c25dff7e0856c2a54d4b7f25265d1692cbc9b1bc9add31061d81982c0f9c8aac,3cc839a4ab64b752ac073b71152ad2a309b38871878ecb70263af96ad057cced,2737,0.045616666666666666,0,0.0,3521,60850,0.05786359901396877,6110,0.10183333333333333,0,0.0,6781,60730,0.11165815906471266,,
I2,60,fullseen,NS,ACTIVE_TARGET,59040,5904,40970,0.6939363143631436,0,1468,0c20a1be25bb754c30ea9b68235d2537e9e34670be9c470133490b6cfeff7b5b,86ec45515b21f6c6eb3713ebbd0bad7d62d3b4b3980236ca6d001503e4436056,2718,0.04603658536585366,0,0.0,3492,59880,0.058316633266533066,6057,0.10259146341463414,0,0.0,6718,59760,0.11241633199464525,,
I2,60,fullseen,NS,SUPERSEDED,960,96,625,0.6510416666666666,0,16,6e6abaa6c01ff340ff582a7d53bb9b71911ce064390f0d71723297a71c55fc85,b210c42cde1f40ec033bb172d6cffb7709a944950e7a3f87feb666be7cb06389,19,0.019791666666666666,0,0.0,29,970,0.029896907216494847,53,0.05520833333333333,0,0.0,63,970,0.06494845360824743,,
I2,60,fullseen,NS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,,
