policy,cohort_batch,metric,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,20,RS,100,100,100,1.0,0,100,e8bdf3b0e6189eea3df7e815e09a5c8e4347a0a90b1e8d562ebf6aab12f9e5c3,90fdfee03bcded07d8959a314838a998f3348fc1076a0d55831f2fcc239a9ebd,98,0.98,98,0.98,98,100,0.98,0,0.0,0,0.0,2,102,0.0196078431372549
N4,21,RS,100,100,100,1.0,0,100,494c5c00bcc78ff59ebc2ac15abd1629b5e5fa6029980aa78696a312b6602714,b22a6ea18e05dffbf7fc9164216e9ed153785e5044e8cf27227a540adf4c4aad,95,0.95,95,0.95,97,102,0.9509803921568627,0,0.0,0,0.0,2,102,0.0196078431372549
N4,22,RS,100,100,100,1.0,0,100,340c41ff3e654e63a642aed125f032cd2f0456fd1e1f334530cd824e8315f471,ae7cddb692b17888dac71156c1ebb6454a48b865089c90a83e92b28132127cc6,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,1,101,0.009900990099009901
N4,23,RS,100,100,100,1.0,0,100,5e632dd58c2c76900b8ba605ad9a2d775d0cf9b72e7b72c68c1bf7e12cf71045,93d05e6ddea7334ddc4a0c6700373f7c349355bbcea828cddf087764041d178a,99,0.99,99,0.99,99,100,0.99,0,0.0,0,0.0,0,101,0.0
N4,24,RS,100,100,100,1.0,0,100,0941c595e98b3779fdeab6642f34844cff5913b0d1de65aac1e57ec18e637522,563fee8f8e531f815eb205a6e0b85abe4e57b8495a42e8867ed75adf65c1fd83,96,0.96,96,0.96,99,103,0.9611650485436893,0,0.0,0,0.0,2,102,0.0196078431372549
N4,25,RS,100,100,99,0.99,0,99,8a3bb3c9cf71912cc33d90e55c7967f35b51d80e54c598e632c95dcdf97fbaeb,8e9606e90ed64b71bb438648f0e44bab6b16fe08accfcf8ebbecd5a982cd1f21,98,0.98,98,0.98,99,101,0.9801980198019802,0,0.0,0,0.0,1,102,0.00980392156862745
N4,26,RS,100,100,100,1.0,0,100,45bb94f4169d41280601e3cc571dd371405371ababc827c6ca0b9b6905235556,b66bd9b79f1c96f5e6c9c7c0b71d9279d02e60a3ab614bcc261db0d66bcfea0b,98,0.98,98,0.98,101,103,0.9805825242718447,0,0.0,0,0.0,0,100,0.0
N4,27,RS,100,100,100,1.0,0,100,63d9f75eb9934394cb52c13f7578b0d4ef25daadb27a0e593772d212ed21ec45,2dea14dcecae19b8c3a71c57c262c43f8997772dd06737540a5bea4c29c0892f,97,0.97,97,0.97,98,101,0.9702970297029703,0,0.0,0,0.0,0,100,0.0
N4,28,RS,100,100,99,0.99,0,99,20dc56ae4fe5a942ff87629cdca03f81a19cd6d5e74cc6d3179df1a93a900d37,8ee57c77507033cd2a74d8f6b5d32f37736e6972d1bb16ab38a398fa29f97b16,96,0.96,96,0.96,99,103,0.9611650485436893,1,0.01,1,0.01,1,100,0.01
N4,29,RS,100,100,100,1.0,0,100,badb224e335199d88149376ad1b9b7898b5603478de6fc29027a2f26effed903,3f488cfa4785197fd1c4e07b9fec103ccae2aad2e375412ed8f35d35a110f7fb,100,1.0,100,1.0,101,101,1.0,0,0.0,0,0.0,1,102,0.00980392156862745
N4,30,RS,100,100,100,1.0,0,100,5b744814c7896ce978118ff29f4bb0814ba449a73ca594b6e93daf72233579f0,313395eb627c563fe9d5ae4ed65e2dffbb74954b095bb8552cd9523c0d7e1412,97,0.97,97,0.97,98,101,0.9702970297029703,0,0.0,0,0.0,1,102,0.00980392156862745
N4,31,RS,100,100,100,1.0,0,100,d358fd52414ae5e6d68e1f71e701f14df2e557a5e321397e76df77eca4fb0c4b,5dbf44bb286e3e98e24d01cb44fe25f1776fa6c5726120c541b5f913b9b63139,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,0,100,0.0
N4,32,RS,100,100,100,1.0,0,100,2a7668bfb9196317c5f445b4453aa01394736fa19dff5003e2a6685b97d4153c,c4d865bc62d406a4c3a63e0d31d0a7bd6f098c5576146c4142d4580e80279ad0,96,0.96,96,0.96,97,101,0.9603960396039604,0,0.0,0,0.0,0,100,0.0
N4,33,RS,100,100,100,1.0,0,100,6422013d8a87a1fb57006adfd32e4e97c940bef322533c1ae00f698b0a7a4f17,2737d2fa54197ad8c5ab33e4e2dd871ec2908ff88a0d88c88ee5761e50d65130,96,0.96,96,0.96,98,102,0.9607843137254902,0,0.0,0,0.0,1,101,0.009900990099009901
N4,34,RS,100,100,100,1.0,0,100,6ff2acb20aa40203d23e754c61018effc0207d987bd6c795ba24cebbec84c75e,905ac763f5557b621cb9bc8c9f3aa87bb675e79681e13c87ccf13c0c629616c4,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,1,101,0.009900990099009901
N4,35,RS,100,100,100,1.0,0,100,350184c9708394b62ef66698e4625034af71453186e24f3420de56e65a15ddea,51be4fef533ae41f0f9d4fdb900e20776b6daef0ca0a45d2b1846ee756f37fd4,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,1,101,0.009900990099009901
N4,36,RS,100,100,100,1.0,0,100,4e7d474b37801b2178d69c91654a5eea960841eb66f93a98f997f3fcde31196f,44d1626d4bda2ad38e8bff3a0e50ec827197f5c1dd5e5af9dc25e28b2bc04ebe,98,0.98,98,0.98,100,102,0.9803921568627451,0,0.0,0,0.0,1,101,0.009900990099009901
N4,37,RS,100,100,99,0.99,0,99,6796bc98e363932dbc4b4e1aee7d98263f6e7d9b217dfa54d611fbae8ae8cba6,a26b0fdbe4d38f6dea0d4f62fd1ff04e8005bc202abd06b9d7040b695c921399,97,0.97,97,0.97,99,102,0.9705882352941176,0,0.0,0,0.0,1,101,0.009900990099009901
N4,38,RS,100,100,100,1.0,0,100,16110a7152577615a9936c5d65bef1bb4496a9aea54c34f0913766384ffcb257,bae16045214b18b4d8007dc8ed93143737e41c5be47936747b65e921835d60e6,97,0.97,97,0.97,97,100,0.97,0,0.0,0,0.0,0,100,0.0
N4,39,RS,100,100,100,1.0,0,100,014ad9cf8c752efd04aea63f0841f54ad18f5ecdf47dee5bd303c7a53c82175c,fa09696dce711a699e92c4ca6e33cb2dba727aa8c922bc24f428fd471326ea8f,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,2,102,0.0196078431372549
N4,40,RS,100,100,100,1.0,0,100,2af823d3006a1ac25c7aa12f15f8ef89ab8bf30ab846afa0dd1b56531a881b03,02b3a81241d5192c2935b8186effdfa478179dabd4a6be879f87534cb890ddf6,99,0.99,99,0.99,99,100,0.99,0,0.0,0,0.0,1,101,0.009900990099009901
