policy,batch,tensor,raw_sha256,state_sha256,dtype,shape,source
ALL_SIX_COMMON_ENTRY,50,W4,8d6417f7b8b5f0b9843735ec73c4f1556f79d1a4ac98b94d5c7a1c1e8d482cf4,af3297032de5f1bda6a9a5303907b2d1500c06a0683eb3eaa0b9c40d125ab262,torch.float32,"[4096, 14336]",CPU_PREPARED_OR_PHYSICAL_P4_SLICE
ALL_SIX_COMMON_ENTRY,50,M4,3605231a47420a42109f5584fe51f8677592ca58579284390ccb4d3b1509c4b8,af76a0d9f02aa6ed0b7275725d1baa1994473bd08f6da35cdac5979509cfe270,torch.float32,"[1, 14336, 14336]",CPU_PREPARED_OR_PHYSICAL_P4_SLICE
ALL_SIX_COMMON_ENTRY,50,P4,24a654cc0f8cc56f7f0a6b1bc93e0e4c27b072bd68c58127659d87751eee292c,8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,torch.float32,"[1, 14336, 14336]",CPU_PREPARED_OR_PHYSICAL_P4_SLICE
FROZEN2,51,W4,8a76ee3a101675cc61e3aec1fe83e14496c486b4aba660fdc04f75df827f0888,ebd68e7228d63a252e4614f47b6c3de13579edc29f8aa1c7706aa1adf0756871,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN2,51,M4,902fed612a4b2e2e2b8b9edabdbaef9d8e45edf9d748bcae3a35e91eafe94c05,0a4cd42cf4a40adcec21d339279249a9cbce18431eaf155523421369274cb788,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN2,55,W4,c07c8ab0d6185e1c27d99b157f32c5eb6aea494108c996b6573f1be8d79ded8b,61790bbd1c12693d1412b2eb4a0024e6637dacb5ab920cbb0da3be404f759a57,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN2,55,M4,49f7f8f93d98a9206d0cafabbd33e4f2039b5efa5828eb4755591ac4670bfae6,51b2e58922586df1aac1728b4e8152cd1e9a03a50d4086990ed057a1b21a1ea5,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN2,60,W4,ca12b4392d0fbd37475aae683abcb40168639937cba4422aec97f63859c4577c,d583df5452bb26a327f7ca16f20ac7b71df6ed40401e3c688f02627f541d118d,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN2,60,M4,10af59dbd1e84ab3f73a6448d26e19a7e19b0008bd4bc5cab40c7dcff7ae8dc6,6b86b57fb7a57cbdd37728da53d336f24639da5ad8c78e9e62dff442fd6129af,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I2,51,W4,72d4f12987605a41a3a0fb92e77f96c7c1e59718674ff7168528c955234d9dd2,e3f8478b4d148bda04bc44fb1c1b94449506198430f3713957e8e7d02e200060,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I2,51,M4,902fed612a4b2e2e2b8b9edabdbaef9d8e45edf9d748bcae3a35e91eafe94c05,0a4cd42cf4a40adcec21d339279249a9cbce18431eaf155523421369274cb788,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I2,55,W4,69ff97a64ed38153492d3ce71bf336b024f8c35c7a41d1beeecc69503209e539,b64b16650029f10cede28020d929f6b00541b8f1cd9bd90b2c97951d110cdfe6,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I2,55,M4,49f7f8f93d98a9206d0cafabbd33e4f2039b5efa5828eb4755591ac4670bfae6,51b2e58922586df1aac1728b4e8152cd1e9a03a50d4086990ed057a1b21a1ea5,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I2,60,W4,5abfe9242448f12be597d489ed2a083f58567593ef4d3db9e229445cff542331,80e8f773ba298387803a461982c13570003d6d73182536c6a1d0cda451d48a76,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
