policy,reused,online_seconds,evaluation_seconds,Adam,loss,recorded_request_chunks,zero_Adam_chunks,frozen_reuse_chunks,allocated_GPU_seconds,new_allocation_charge,online_ratio_N4,program_wall_seconds,load_seconds,peak_GPU_allocated_bytes,peak_GPU_reserved_bytes,host_batch_MaxRSS,terminal_scalar_telemetry
N4,True,3048.9109355434775,1667.1237003495917,REFERENCE_LOG_RECONSTRUCTION_24000,REFERENCE_LOG_RECONSTRUCTION_25000,0,NOT_RECORDED_STRUCTURED,NOT_APPLICABLE,5237,0,1.0,,,,,,
REFIT4,True,3727.52581872046,1694.2562718959525,REFERENCE_LOG_RECONSTRUCTION_27525,REFERENCE_LOG_RECONSTRUCTION_29525,0,NOT_RECORDED_STRUCTURED,NOT_APPLICABLE,6027,0,1.2225761583475108,,,,,,
FROZEN2,False,3254.333564837463,1376.203738739714,24000,25000,2000,1000,1000,5178,,1.0673757396122063,5112.5896340748295,13.131150630302727,35770822656,39298531328,33519920K,"{""M8_setup"": 0, ""actual_adam_updates"": 24000, ""audit_executed"": false, ""fit_solve_total"": 20, ""fullseen_requests"": 6000, ""futureN_executed"": false, ""mmlu68_executed"": false, ""model_seconds"": 13.131150630302727, ""peak_allocated_bytes"": 35770822656, ""peak_reserved_bytes"": 39298531328, ""request_target_chunks"": 1000, ""scientific_promotion"": false, ""seconds"": 5112.5896340748295, ""suffix_unique_requests"": 1000, ""target_loss_evaluations"": 25000}"
I2,False,3480.963488657959,1384.3905565161258,24000,26000,2000,0,0,5444,,1.1417071742167721,5382.144452076405,16.31167613901198,35770822656,39254491136,34114100K,"{""M8_setup"": 0, ""actual_adam_updates"": 24000, ""audit_executed"": false, ""fit_solve_total"": 20, ""fullseen_requests"": 6000, ""futureN_executed"": false, ""mmlu68_executed"": false, ""model_seconds"": 16.31167613901198, ""peak_allocated_bytes"": 35770822656, ""peak_reserved_bytes"": 39254491136, ""request_target_chunks"": 2000, ""scientific_promotion"": false, ""seconds"": 5382.144452076405, ""suffix_unique_requests"": 1000, ""target_loss_evaluations"": 26000}"
FROZEN4,False,3636.1753174467012,1378.8844836298376,24000,25000,4000,3000,3000,5813,,1.1926144758959782,5751.6439860844985,14.62578375916928,35770822656,39298531328,38599892K,"{""M8_setup"": 0, ""actual_adam_updates"": 24000, ""audit_executed"": false, ""fit_solve_total"": 40, ""fullseen_requests"": 6000, ""futureN_executed"": false, ""mmlu68_executed"": false, ""model_seconds"": 14.62578375916928, ""peak_allocated_bytes"": 35770822656, ""peak_reserved_bytes"": 39298531328, ""request_target_chunks"": 1000, ""scientific_promotion"": false, ""seconds"": 5751.6439860844985, ""suffix_unique_requests"": 1000, ""target_loss_evaluations"": 25000}"
I4,False,3891.8415133673698,1395.5275497669354,24000,28000,4000,0,0,6065,,1.2764694002691939,6007.421680117957,14.476625954732299,35770822656,39252393984,33522500K,"{""M8_setup"": 0, ""actual_adam_updates"": 24000, ""audit_executed"": false, ""fit_solve_total"": 40, ""fullseen_requests"": 6000, ""futureN_executed"": false, ""mmlu68_executed"": false, ""model_seconds"": 14.476625954732299, ""peak_allocated_bytes"": 35770822656, ""peak_reserved_bytes"": 39252393984, ""request_target_chunks"": 4000, ""scientific_promotion"": false, ""seconds"": 6007.421680117957, ""suffix_unique_requests"": 1000, ""target_loss_evaluations"": 28000}"
