policy,status,requests,result_reuse,evaluation_sha256,RS_n,RS_d,RS_percent,PS_n,PS_d,PS_percent,NS_n,NS_d,NS_percent,RS_delta_n_N4,RS_delta_pp_N4,PS_delta_n_N4,PS_delta_pp_N4,NS_delta_n_N4,NS_delta_pp_N4
N4,TERMINAL_METRICS_VERIFIED_STATE_AUDIT_SEPARATE,6000,True,65b4dee5e4584713906a02566b1a081818d447dd8e232335928c95f882e34248,5984,6000,99.73333333333333,11596,12000,96.63333333333334,41621,60000,69.36833333333333,0,0.0,0,0.0,0,0.0
REFIT4,TERMINAL_METRICS_VERIFIED_STATE_AUDIT_SEPARATE,6000,True,be4500da46b2791cc96cc41c4c924787d9e2dc99ae16acabc256d36efb580342,5979,6000,99.65,11599,12000,96.65833333333333,41901,60000,69.83500000000001,-5,-0.0833333333333286,3,0.024999999999991473,280,0.4666666666666828
FROZEN2,TERMINAL_METRICS_VERIFIED_STATE_AUDIT_SEPARATE,6000,False,f58224ffdb2305c990e8621f0446491ff63cf7e9b686d0746c3231a95bd6704a,5981,6000,99.68333333333334,11607,12000,96.72500000000001,41466,60000,69.11,-3,-0.04999999999999716,11,0.09166666666666856,-155,-0.25833333333332575
I2,TERMINAL_METRICS_VERIFIED_STATE_AUDIT_SEPARATE,6000,False,b10392ef42846edb48fc8c2e5d5619b1f32c8eb8e4262cb98efac5d7df827ec6,5981,6000,99.68333333333334,11613,12000,96.775,41595,60000,69.325,-3,-0.04999999999999716,17,0.14166666666666572,-26,-0.043333333333322344
FROZEN4,TERMINAL_METRICS_VERIFIED_STATE_AUDIT_SEPARATE,6000,False,36c2957d3e0d3a992fff34900c7ce27672e20b2f59e0f9e0d05f14bd85342236,5977,6000,99.61666666666666,11613,12000,96.775,41431,60000,69.05166666666666,-7,-0.11666666666667425,17,0.14166666666666572,-190,-0.3166666666666629
I4,TERMINAL_METRICS_VERIFIED_STATE_AUDIT_SEPARATE,6000,False,8108f66e19e9850740439955f2e94a0305959d5fbc3215f1e3fd7231540a638e,5975,6000,99.58333333333333,11612,12000,96.76666666666667,41473,60000,69.12166666666667,-9,-0.15000000000000568,16,0.13333333333332575,-148,-0.2466666666666555
