before,after,population,group,metric,d,delta,delta_pp,lost,gained,strict_delta,desired_NLL_mean,desired_NLL_p95,desired_NLL_p99,competing_NLL_mean
FROZEN2,I2,suffix,ALL,RS,1000,0,0.0,0,0,0,0.0004615485692938819,0.0020161122083663923,0.013497504480183093,-0.036034699201583864
FROZEN2,I2,suffix,ACTIVE_TARGET,RS,994,0,0.0,0,0,0,0.001522532558571494,0.0019750691368244535,0.013233851031400248,-0.0368748176505628
FROZEN2,I2,suffix,SUPERSEDED,RS,6,0,0.0,0,0,0,-0.1753081323210305,0.1069892105733743,0.1355301510746358,0.10314492384592693
FROZEN2,I2,suffix,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN2,I2,suffix,ALL,PS,2000,3,0.15,5,8,-11,-0.015635209700772975,0.5632550477981566,1.372012205123901,-0.012894051909446716
FROZEN2,I2,suffix,ACTIVE_TARGET,PS,1988,3,0.15090543259557343,5,8,-11,-0.016443498798728924,0.5575398445129383,1.3776663875579778,-0.01592358404122128
FROZEN2,I2,suffix,SUPERSEDED,PS,12,0,0.0,0,0,0,0.1182713508605957,0.7348191261291503,0.7602839851379395,0.4889984379212062
FROZEN2,I2,suffix,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN2,I2,suffix,ALL,NS,10000,16,0.16,96,112,-6,-0.024819039438583424,0.49627996683120634,0.934579210281372,-0.0031258495767491697
FROZEN2,I2,suffix,ACTIVE_TARGET,NS,9940,17,0.1710261569416499,95,112,-6,-0.02517644788619455,0.49627996683120634,0.9345980930328369,-0.003219967944559041
FROZEN2,I2,suffix,SUPERSEDED,NS,60,-1,-1.6666666666666667,1,0,0,0.034391626715660095,0.4014820337295528,0.5958504676818844,0.012466426690419514
FROZEN2,I2,suffix,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
FROZEN2,I2,entry_old,ALL,RS,5000,0,0.0,1,1,3,-0.001285602050946909,0.008717234805226346,0.1620483735203763,0.023353139385581017
FROZEN2,I2,entry_old,ACTIVE_TARGET,RS,4910,0,0.0,1,1,2,-0.0020387567406397666,0.006622302252799301,0.09669391021132441,0.022333073795084556
FROZEN2,I2,entry_old,SUPERSEDED,RS,90,0,0.0,0,0,1,0.039803170464519,0.42515292167663554,0.9784169912338256,0.0790033843782213
FROZEN2,I2,entry_old,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN2,I2,entry_old,ALL,PS,10000,3,0.03,21,24,5,0.000115366666270711,0.2585818827152251,0.5690238428115845,0.0012133347793482244
FROZEN2,I2,entry_old,ACTIVE_TARGET,PS,9820,0,0.0,20,20,3,-0.0007663806852295519,0.24798855781555124,0.556202175617217,-0.0005115568146579984
FROZEN2,I2,entry_old,SUPERSEDED,PS,180,3,1.6666666666666667,1,4,2,0.048219583287007275,0.6420576453208914,0.9863136053085347,0.09531575396346549
FROZEN2,I2,entry_old,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN2,I2,entry_old,ALL,NS,50000,113,0.226,486,599,-25,-0.013176223620728124,0.5254875540733333,0.946247577667238,0.0005308795788917632
FROZEN2,I2,entry_old,ACTIVE_TARGET,NS,49100,112,0.22810590631364563,474,586,-27,-0.01419305496418786,0.5234824180603027,0.9397606849670415,0.0003367736741394891
FROZEN2,I2,entry_old,SUPERSEDED,NS,900,1,0.1111111111111111,12,13,2,0.04229757522801972,0.6013988971710201,1.1840701961517333,0.01112043504926583
FROZEN2,I2,entry_old,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
FROZEN2,I2,fullseen,ALL,RS,6000,0,0.0,1,1,3,-0.0009944102809067773,0.007008344773203144,0.12533738732337993,0.013455166287720203
FROZEN2,I2,fullseen,ACTIVE_TARGET,RS,5904,0,0.0,1,1,2,-0.0014391765300340769,0.005537206120789033,0.08352013945579535,0.012364807518496907
FROZEN2,I2,fullseen,SUPERSEDED,RS,96,0,0.0,0,0,1,0.026358714040422154,0.4016430377960205,0.9717231988906857,0.0805122305949529
FROZEN2,I2,fullseen,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN2,I2,fullseen,ALL,PS,12000,6,0.05,26,32,-6,-0.002509729394903237,0.2951487064361571,0.7420050555467611,-0.0011378963354509324
FROZEN2,I2,fullseen,ACTIVE_TARGET,PS,11808,3,0.02540650406504065,25,28,-8,-0.003405787088484697,0.2818783402442932,0.7271157121658358,-0.0031063324012440253
FROZEN2,I2,fullseen,SUPERSEDED,PS,192,3,1.5625,1,4,2,0.05259781876035655,0.6997085213661192,0.9553770780563363,0.11992092171082429
FROZEN2,I2,fullseen,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN2,I2,fullseen,ALL,NS,60000,129,0.215,582,711,-31,-0.015116692923704007,0.5209503650665277,0.9430223751068134,-7.857528038172555e-05
FROZEN2,I2,fullseen,ACTIVE_TARGET,NS,59040,129,0.2184959349593496,569,698,-33,-0.016042223758983704,0.5192070960998535,0.9397571849822998,-0.0002620408870031835
FROZEN2,I2,fullseen,SUPERSEDED,NS,960,0,0.0,13,13,2,0.04180345344599724,0.5946367740631102,1.1838936519622802,0.011204559526837935
FROZEN2,I2,fullseen,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
FROZEN4,I4,suffix,ALL,RS,1000,0,0.0,0,0,1,0.00018932499006587024,0.0018914491345640252,0.00793710027122869,-0.10560474646091461
FROZEN4,I4,suffix,ACTIVE_TARGET,RS,994,0,0.0,0,0,1,-0.0010587111935314777,0.0018481731443898695,0.007921677345875651,-0.10824499379701058
FROZEN4,I4,suffix,SUPERSEDED,RS,6,0,0.0,0,0,0,0.2069473194060265,1.2809113113034982,1.6222413748095281,0.33179622888565063
FROZEN4,I4,suffix,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN4,I4,suffix,ALL,PS,2000,-3,-0.15,7,4,2,-0.017324626264908147,0.7228709287941456,1.8555274033546445,-0.02002499861270189
FROZEN4,I4,suffix,ACTIVE_TARGET,PS,1988,-3,-0.15090543259557343,7,4,2,-0.018978962923777487,0.6933639854192732,1.8435016784071907,-0.021609851352165883
FROZEN4,I4,suffix,SUPERSEDED,PS,12,0,0.0,0,0,0,0.2567438135544459,1.5049847126007072,1.9287526798248296,0.24253227189183235
FROZEN4,I4,suffix,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN4,I4,suffix,ALL,NS,10000,0,0.0,140,140,-4,-0.01056010238721501,0.7042887210845914,1.2090623378753673,-0.006626621236294159
FROZEN4,I4,suffix,ACTIVE_TARGET,NS,9940,-1,-0.01006036217303823,139,138,-4,-0.00985244947794349,0.7087891817092895,1.2119662761688261,-0.006701477122708234
FROZEN4,I4,suffix,SUPERSEDED,NS,60,1,1.6666666666666667,1,2,0,-0.12779460102319717,0.4893052101135253,0.7083667945861812,0.005774503946304322
FROZEN4,I4,suffix,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
FROZEN4,I4,entry_old,ALL,RS,5000,-2,-0.04,3,1,-5,0.0040730615026805025,0.01998351905494931,0.2436111430078747,-0.03986244288682938
FROZEN4,I4,entry_old,ACTIVE_TARGET,RS,4910,-1,-0.020366598778004074,2,1,-6,0.004078073281552324,0.015500563988462095,0.18720377773046443,-0.04127356924131786
FROZEN4,I4,entry_old,SUPERSEDED,RS,90,-1,-1.1111111111111112,1,0,1,0.0037996411220067076,0.7643608570098875,0.9311628317832945,0.037122339341375564
FROZEN4,I4,entry_old,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN4,I4,entry_old,ALL,PS,10000,2,0.02,27,29,-11,0.0032899621220458357,0.359537565708159,0.7873749876022359,-0.01569792651934549
