policy,batch,path_length_sum_actual_delta_frobenius,summed_stored_delta_net_frobenius,checkpoint_W_minus_W50_frobenius,path_to_checkpoint_net_ratio,delta_sum_minus_checkpoint_displacement_frobenius,accumulation,GPU_continuation
FROZEN2,51,12.523318801560482,12.490464214620664,12.490464214620989,1.0026303735693853,4.549154258222146e-08,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
FROZEN2,55,63.16630131233647,28.18072840115353,28.18072840118338,2.2414715621645875,1.1289075076456719e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
FROZEN2,60,127.1356080701192,40.09123115379434,40.091231153805985,3.1711574928286987,1.6026478324834825e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
I2,51,12.662615812399164,12.476967747689086,12.4769677476802,1.0148792614097668,4.586621603921966e-08,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
I2,55,63.89883234025538,28.14903275848141,28.14903275849003,2.270018756540857,1.1358696617499912e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
I2,60,128.516855530139,40.04606291025553,40.04606291023358,3.2092257313339316,1.6123932771565546e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
FROZEN4,51,13.818149644495149,13.641190752958925,13.641190752960801,1.012972393300485,4.534535120629908e-08,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
FROZEN4,55,69.54438216800854,30.730198106862353,30.73019810687685,2.2630632554381678,1.1666284170915725e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
FROZEN4,60,141.01244122973577,43.976193200393006,43.97619320043003,3.206563164461376,1.6620161703623113e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
I4,51,14.51473152894151,13.624915639041085,13.624915639030364,1.0653079926133378,4.5404920514762115e-08,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
I4,55,73.2174010275308,30.693126852186328,30.693126852174014,2.385465690092919,1.1594024105103583e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
I4,60,148.0497083494013,43.920343206424384,43.92034320646269,3.370868657684269,1.6512490311140006e-07,FP64_SUM_OF_STORED_FP32_DELTAS_NOT_EXACT_REPLAY,NOT_TESTED
