policy,chunk,requests,zero_step,early_stop,anchor_scope,u_norm_mean,u_norm_max,u_chunk_displacement_norm_mean,u_chunk_displacement_norm_max,Z_chunk_displacement_norm_mean,Z_chunk_displacement_norm_max,stored_aj_minus_a0_norm_mean,stored_aj_minus_a0_norm_max,adam_m_norm_mean,adam_m_norm_max,adam_v_norm_mean,adam_v_norm_max,current_residual_norm_mean,current_residual_norm_max
FROZEN2,0,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.8605515977082647,4.214121668836738,2.8605515977082647,4.214121668836738,2.860551597594055,4.214121672655705,0.0,0.0,0.321302187919183,1.7730576258073167,0.04482069164178444,1.0705446179772578,2.860551616456601,4.214121290407223
FROZEN2,1,1000,1000,0,STALE_FROZEN_SNAPSHOT_NOT_CURRENT_READOUT,2.8605515977082647,4.214121668836738,0.0,0.0,0.0,0.0,0.0,0.0,0.321302187919183,1.7730576258073167,0.04482069164178444,1.0705446179772578,1.1749553369698376,3.1269337303029867
I2,0,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.8604611988669353,4.212650412849075,2.8604611988669353,4.212650412849075,2.8604611988623945,4.212650415355801,0.0,0.0,1.2140862102927186,6.638974630801345,0.04558148458083268,1.1697306881737248,2.860461217962999,4.212650235863081
I2,1,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.860461199058768,4.212650340281969,0.357246504080954,1.3659593979810691,0.3572465041043548,1.3659593930971619,1.688033945852352,2.6545960862545144,0.3210182061320668,1.8474150793438502,0.045038777446807884,1.1557716217870178,1.212296733182616,3.1328733609864905
FROZEN4,0,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.86928415801466,4.213858441181233,2.86928415801466,4.213858441181233,2.8692841579416,4.21385843934241,0.0,0.0,0.3210639196921782,1.5363872779827439,0.044848631837123946,0.8026019462392044,2.8692841745769444,4.213858373752772
FROZEN4,1,1000,1000,0,STALE_FROZEN_SNAPSHOT_NOT_CURRENT_READOUT,2.86928415801466,4.213858441181233,0.0,0.0,0.0,0.0,0.0,0.0,0.3210639196921782,1.5363872779827439,0.044848631837123946,0.8026019462392044,1.178622556203287,3.1268186571715004
FROZEN4,2,1000,1000,0,STALE_FROZEN_SNAPSHOT_NOT_CURRENT_READOUT,2.86928415801466,4.213858441181233,0.0,0.0,0.0,0.0,0.0,0.0,0.3210639196921782,1.5363872779827439,0.044848631837123946,0.8026019462392044,0.49977638857017265,2.3205527789894482
FROZEN4,3,1000,1000,0,STALE_FROZEN_SNAPSHOT_NOT_CURRENT_READOUT,2.86928415801466,4.213858441181233,0.0,0.0,0.0,0.0,0.0,0.0,0.3210639196921782,1.5363872779827439,0.044848631837123946,0.8026019462392044,0.22163997204363386,2.077825049767921
I4,0,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.869111001671531,4.213458319875118,2.869111001671531,4.213458319875118,2.8691110016504875,4.213458322787196,0.0,0.0,2.317018150376032,11.432554163886236,0.045622849988219416,0.9901590256187742,2.869111017442541,4.213458259682545
I4,1,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.869111004564466,4.21345792502385,0.31320314844010344,2.067313933364596,0.31320314838468755,2.0673139277834243,1.6930542175769951,2.678929011605055,1.2188271186511876,6.052940875035528,0.04537662347015619,0.984238949396521,1.2094100387905637,3.145567631817255
I4,2,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.869110997662072,4.213458133473386,0.18792660110691262,0.654068724364223,0.18792660107542006,0.6540687291838873,2.369191874647883,3.4502117976363644,0.6335434584539007,3.198866511733372,0.04510577759241747,0.9783487591121336,0.5604873495333547,2.344006029701929
I4,3,1000,0,0,CURRENT_CHUNK_UNHOOKED_ANCHOR,2.8691110009915404,4.213457993704595,0.19162014524875487,0.7931359328295259,0.19162014527269516,0.7931359278125703,2.647135725013779,3.7139475492447005,0.3225319667496874,1.6819467926118072,0.04483617663598424,0.9724935680932786,0.35298423732540823,2.0848924945353966
