policy,batch,chunk,requests,gamma,cap,history_appends,solve,current_residual,current_residual_norm,current_targets_norm,realization_scope,prior_write_actual_readout_change_norm,prior_write_remaining_fixed_target_residual_norm,prior_write_readout_to_residual_cosine,predicted_realization,actual_delta_norm,native_candidate_delta_norm,write_seconds,keys_seconds,readout_seconds,solve_seconds
FROZEN2,51,0,100,0.75,24,0,1,CPU_EXACT_PASS,28.280577604066156,47.33234655567609,NA_FIRST_CHUNK_NO_PRIOR_WRITE,NA,NA,NA,NA_CANONICAL_KC_NOT_SAVED,8.058012604281478,10.744016805265419,14.579870444722474,3.5046989675611258,0.37092903908342123,0.15314814634621143
FROZEN2,51,1,100,1.0,0,0,1,CPU_EXACT_PASS,11.806565161006937,47.33234655567609,NEXT_CHUNK_CURRENT_Y_AFTER_PREVIOUS_WRITE_SAME_BATCH,16.7640431622166,11.806565161236302,0.9928659979939969,NA_CANONICAL_KC_NOT_SAVED,4.465306197279004,4.465306197279004,14.603739930316806,3.5012256586924195,0.3731460450217128,0.11953511461615562
FROZEN2,52,0,100,0.75,24,0,1,CPU_EXACT_PASS,28.463469435792906,47.65393117465843,NA_FIRST_CHUNK_NO_PRIOR_WRITE,NA,NA,NA,NA_CANONICAL_KC_NOT_SAVED,8.016257883114958,10.688343843785065,13.829482131637633,3.8210920430719852,0.4367698384448886,0.11933739669620991
FROZEN2,52,1,100,1.0,0,0,1,CPU_EXACT_PASS,11.259223131012943,47.65393117465843,NEXT_CHUNK_CURRENT_Y_AFTER_PREVIOUS_WRITE_SAME_BATCH,17.35107430243592,11.259223131192735,0.9966744607543592,NA_CANONICAL_KC_NOT_SAVED,4.241390513985407,4.241390513985407,14.625921334140003,3.8280543591827154,0.4372690003365278,0.11945921089500189
FROZEN2,53,0,100,0.75,24,0,1,CPU_EXACT_PASS,28.904259768525403,48.40128274690007,NA_FIRST_CHUNK_NO_PRIOR_WRITE,NA,NA,NA,NA_CANONICAL_KC_NOT_SAVED,8.221655641825008,10.96220752257785,14.246924201026559,3.563983357511461,0.3767794147133827,0.11929856240749359
FROZEN2,53,1,100,1.0,0,0,1,CPU_EXACT_PASS,12.333657033564021,48.40128274690007,NEXT_CHUNK_CURRENT_Y_AFTER_PREVIOUS_WRITE_SAME_BATCH,17.029720713472813,12.33365703363196,0.9887101712617453,NA_CANONICAL_KC_NOT_SAVED,4.602352918451611,4.602352918451611,13.799786846153438,3.575128050521016,0.37569708842784166,0.11952898744493723
FROZEN2,54,0,100,0.75,24,0,1,CPU_EXACT_PASS,29.169554399360482,48.77674316410422,NA_FIRST_CHUNK_NO_PRIOR_WRITE,NA,NA,NA,NA_CANONICAL_KC_NOT_SAVED,8.273787294105833,11.031716392601545,14.408947464078665,3.7435209872201085,0.42929067369550467,0.11931402329355478
FROZEN2,54,1,100,1.0,0,0,1,CPU_EXACT_PASS,11.788092846266697,48.77674316410422,NEXT_CHUNK_CURRENT_Y_AFTER_PREVIOUS_WRITE_SAME_BATCH,17.58713139140083,11.788092846040758,0.9953152749668652,NA_CANONICAL_KC_NOT_SAVED,4.509005760583358,4.509005760583358,14.509709056466818,3.7373696183785796,0.4277083231136203,0.11958383396267891
FROZEN2,55,0,100,0.75,24,0,1,CPU_EXACT_PASS,28.908293955891523,48.347861966092076,NA_FIRST_CHUNK_NO_PRIOR_WRITE,NA,NA,NA,NA_CANONICAL_KC_NOT_SAVED,8.205139403428118,10.94018587134385,12.6449353126809,3.6246296036988497,0.3708045817911625,0.11926347482949495
FROZEN2,55,1,100,1.0,0,0,1,CPU_EXACT_PASS,12.162560266771022,48.347861966092076,NEXT_CHUNK_CURRENT_Y_AFTER_PREVIOUS_WRITE_SAME_BATCH,17.089645205981594,12.162560266638517,0.9916529639481507,NA_CANONICAL_KC_NOT_SAVED,4.573393095281691,4.573393095281691,14.381831143982708,3.622572503052652,0.3729827180504799,0.1196158304810524
