policy,batch,wiki_nll,wiki_tokens,wiki_sequences,mmlu_correct,mmlu_invalid,mmlu_d
N4,60,2.3415367626585066,24999,128,18,0,32
REFIT4,60,2.340970307122916,24999,128,19,0,32
FROZEN2,60,2.354561456479132,24999,128,18,0,32
I2,60,2.3523292653262615,24999,128,17,0,32
FROZEN4,60,2.3639503247104585,24999,128,17,0,32
I4,60,2.360537697095424,24999,128,17,0,32
