policy,batch,entry_previous_exact,first_common_entry,continued_link
N4,51,True,True,False
N4,52,True,False,True
N4,53,True,False,True
N4,54,True,False,True
N4,55,True,False,True
N4,56,True,False,True
N4,57,True,False,True
N4,58,True,False,True
N4,59,True,False,True
N4,60,True,False,True
REFIT4,51,True,True,False
REFIT4,52,True,False,True
REFIT4,53,True,False,True
REFIT4,54,True,False,True
REFIT4,55,True,False,True
REFIT4,56,True,False,True
REFIT4,57,True,False,True
REFIT4,58,True,False,True
REFIT4,59,True,False,True
REFIT4,60,True,False,True
FROZEN2,51,True,True,False
FROZEN2,52,True,False,True
FROZEN2,53,True,False,True
FROZEN2,54,True,False,True
FROZEN2,55,True,False,True
FROZEN2,56,True,False,True
FROZEN2,57,True,False,True
FROZEN2,58,True,False,True
FROZEN2,59,True,False,True
FROZEN2,60,True,False,True
I2,51,True,True,False
I2,52,True,False,True
I2,53,True,False,True
I2,54,True,False,True
I2,55,True,False,True
I2,56,True,False,True
I2,57,True,False,True
I2,58,True,False,True
I2,59,True,False,True
I2,60,True,False,True
FROZEN4,51,True,True,False
FROZEN4,52,True,False,True
FROZEN4,53,True,False,True
FROZEN4,54,True,False,True
FROZEN4,55,True,False,True
FROZEN4,56,True,False,True
FROZEN4,57,True,False,True
FROZEN4,58,True,False,True
FROZEN4,59,True,False,True
FROZEN4,60,True,False,True
I4,51,True,True,False
I4,52,True,False,True
I4,53,True,False,True
I4,54,True,False,True
I4,55,True,False,True
I4,56,True,False,True
I4,57,True,False,True
I4,58,True,False,True
I4,59,True,False,True
I4,60,True,False,True
