policy,batch,path,bytes,sha256,_stat,CPU_reload,GPU_continuation
FROZEN2,51,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-0/B051/checkpoint.pt,1057001189,fdd3400fa7aadc75e867497acf61cc4dfb6b4d203be630b767ef6796b0e1e4c4,"(66305, 132845904, 1057001189, 1789365746714441162)",PASS,NOT_TESTED
FROZEN2,55,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-0/B055/checkpoint.pt,1057002405,275ac8dd7b1200d7194571e5b45755e17c4962cfbee4db7fed760fda870f83c1,"(66305, 132847562, 1057002405, 1789367308929063495)",PASS,NOT_TESTED
FROZEN2,60,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-0/B060/checkpoint.pt,1057003877,38d121a02c875b34255c45ac2421fd1a133e5872cbd525bcbda98aa6ffde673b,"(66305, 132849620, 1057003877, 1789369369979817908)",PASS,NOT_TESTED
I2,51,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B051/checkpoint.pt,1057001189,a3c7a29d0c6d200d30c98d76157ce25838c08d9a5dd50b264e7c75dbc3d1cb36,"(66305, 132846180, 1057001189, 1789366052111364477)",PASS,NOT_TESTED
I2,55,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B055/checkpoint.pt,1057002405,a8679d8c6425b8f83d0d6b8f41d096ae6ad101eb64c36f655e79d8c8be781ae0,"(66305, 132847864, 1057002405, 1789367683363804651)",PASS,NOT_TESTED
I2,60,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B060/checkpoint.pt,1057003877,296270b4a77744383247ae5d7ad195af3622b109b07ca58ef2092c3eac761236,"(66305, 132849873, 1057003877, 1789369926570430077)",PASS,NOT_TESTED
FROZEN4,51,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B051/checkpoint.pt,1057001253,f832b77dde57bb3133c584c664c1d9040d67d434adf9eff97e3b70e6d29fe127,"(66305, 132850305, 1057001253, 1789371002289540552)",PASS,NOT_TESTED
FROZEN4,55,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B055/checkpoint.pt,1057002405,10f7ed871a10e86372c6ebe0484444e5f15388d81051247855dfbab87048e458,"(66305, 132853519, 1057002405, 1789372821546416501)",PASS,NOT_TESTED
FROZEN4,60,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B060/checkpoint.pt,1057003941,1a82ffc11d2b244f367f078c1d1ed127415e6c0471c63ba9419f7014343c8575,"(66305, 132857549, 1057003941, 1789375209696187033)",PASS,NOT_TESTED
I4,51,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B051/checkpoint.pt,1057001253,607174570e8a995785415455d8792fbe3074605b883fb60e396bae489eddf37e,"(66305, 132851173, 1057001253, 1789371563899800141)",PASS,NOT_TESTED
I4,55,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B055/checkpoint.pt,1057002405,fc86b07e58912b5769c8d98192830bf0098dbeef0960dfce48ce8332db220782,"(66305, 132854500, 1057002405, 1789373465818858953)",PASS,NOT_TESTED
I4,60,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B060/checkpoint.pt,1057003941,57bc13beea50b71cc44fecd916905f5d2bfd1ffcd1c11076a91d111622ce939e,"(66305, 132858230, 1057003941, 1789375999455536678)",PASS,NOT_TESTED
