arm,request_ordinal,from_M,to_M,absolute_endpoint_distance
Z+,0,1,3,1.1950938701629639
Z+,1,1,3,1.4344686269760132
Z+,2,1,3,1.922206997871399
Z+,3,1,3,2.4147050380706787
Z+,4,1,3,0.9276588559150696
Z+,5,1,3,1.6988850831985474
Z+,6,1,3,1.6074494123458862
Z+,7,1,3,2.0442819595336914
Z+,8,1,3,1.7365295886993408
Z+,9,1,3,1.4190170764923096
Z+,0,3,5,2.693077325820923
Z+,1,3,5,0.30972519516944885
Z+,2,3,5,0.5786675214767456
Z+,3,3,5,1.0393972396850586
Z+,4,3,5,0.517673134803772
Z+,5,3,5,0.3733217418193817
Z+,6,3,5,1.9726686477661133
Z+,7,3,5,0.13317649066448212
Z+,8,3,5,2.940263032913208
Z+,9,3,5,1.9094020128250122
Z+,0,5,10,1.085794448852539
Z+,1,5,10,0.28082650899887085
Z+,2,5,10,0.324423223733902
Z+,3,5,10,0.12469035387039185
Z+,4,5,10,0.4863113760948181
Z+,5,5,10,0.4506103992462158
Z+,6,5,10,1.0021740198135376
Z+,7,5,10,0.2780800461769104
Z+,8,5,10,0.25031206011772156
Z+,9,5,10,0.344613641500473
Z±,0,1,3,1.2187795639038086
Z±,1,1,3,1.7320711612701416
Z±,2,1,3,2.468667984008789
Z±,3,1,3,2.312534809112549
Z±,4,1,3,0.9329078793525696
Z±,5,1,3,2.7586076259613037
Z±,6,1,3,1.556234359741211
Z±,7,1,3,2.208110809326172
Z±,8,1,3,3.7416419982910156
Z±,9,1,3,3.4299802780151367
Z±,0,3,5,2.721804618835449
Z±,1,3,5,0.3466571867465973
Z±,2,3,5,0.6299350261688232
Z±,3,3,5,1.0459214448928833
Z±,4,3,5,0.4955187737941742
Z±,5,3,5,0.33354222774505615
Z±,6,3,5,1.3561238050460815
Z±,7,3,5,0.794171154499054
Z±,8,3,5,3.8868789672851562
Z±,9,3,5,0.4404313862323761
Z±,0,5,10,1.1447150707244873
Z±,1,5,10,0.3270781338214874
Z±,2,5,10,0.3727901577949524
Z±,3,5,10,0.43304893374443054
Z±,4,5,10,0.49387413263320923
Z±,5,5,10,0.4135757088661194
Z±,6,5,10,0.8406797051429749
Z±,7,5,10,0.35046011209487915
Z±,8,5,10,0.24314238131046295
Z±,9,5,10,0.33234935998916626
