cell,arm,batch,cohort,request_sha256,metric,value,origin_zero
LM,O,1,1,409ab50440c393003452ca14f7a848b9b9c4c26eaf347918e74bd2328b526d48,q_after,0.42542055773718029,False
LM,O,1,1,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,q_after,0.41462864386816584,False
LM,O,1,1,285a3add6f31d8546b0d76689a016bc0f9f7d8e58c95f54e87bba48ad5cabc65,distance_from_own_immediate_activation,0,False
LM,O,1,1,6abbaf2496b409f11036390da3b47c9272a243b8a164ca3d9f9a65fafbec985d,distance_from_own_immediate_activation,0,False
LM,O,2,1,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,q_after,0.57397667224452797,False
LM,O,2,1,6a691cf16b423bb1d5a6ce4bf3417dd2d707fdac2436c48131dec1cd89b48a6b,q_after,0.56025744843766523,False
LM,O,2,1,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,distance_from_own_immediate_activation,2.7233689644532157,False
LM,O,2,1,6a691cf16b423bb1d5a6ce4bf3417dd2d707fdac2436c48131dec1cd89b48a6b,distance_from_own_immediate_activation,2.3642897077259222,False
LM,O,2,2,0bd2026793f0bdd3dfddcb3a86a61c5ef3c5be75d9b27d7f82d467e67e81a002,q_after,0.3984884309949131,False
LM,O,2,2,6550dc9ecd01aba3be24ef39ef596583e6088394270d2578a2f2db63b8b1487e,q_after,0.39729091626814905,False
LM,O,2,2,f742e3b08cc43666fd7f6e3f269849a7e50f2847ec2b4e38de638a9da8e99747,distance_from_own_immediate_activation,0,False
LM,O,2,2,c00ba5c00aeed6290e334d4cd5abd3b223eb0b0d3fe00c61dd63a733904b0504,distance_from_own_immediate_activation,0,False
LM,O,3,1,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,q_after,0.85941459891348837,False
LM,O,3,1,d97bda6d6a887cafe4132a43d6d106a50a3a151b295c299fbaa9079c4004d670,q_after,0.75178844582559046,False
LM,O,3,1,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,distance_from_own_immediate_activation,4.1622959695864985,False
LM,O,3,1,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5,distance_from_own_immediate_activation,3.5936433324879831,False
LM,O,3,2,3f70e23daea047bcfed877ba67079e2053829b1ba923cc930c0af6ea5139c1e3,q_after,0.47718223421149336,False
LM,O,3,2,b0c20d38500ad4521ae3e47157046f338c94e17b778deacf80e250509b34bcc9,q_after,0.46722853722786328,False
LM,O,3,2,b0c20d38500ad4521ae3e47157046f338c94e17b778deacf80e250509b34bcc9,distance_from_own_immediate_activation,2.3347954451103607,False
LM,O,3,2,98ae105e841eaf92fb0f91823d4b3f0a71f11808ee0acc1d5216a42145817cd2,distance_from_own_immediate_activation,1.9995139816518439,False
LM,O,3,3,72ed03d28b034897d61f381e0a9c6e945a0347a0339befce591950712148b86d,q_after,0.44517378555999676,False
LM,O,3,3,7288b280f83041c4bfe8663812708e4472c3f064e69b8e83fb6d3b0fe2c8a72b,q_after,0.42815508466168112,False
LM,O,3,3,5fe5cc36167302a9bb9453cf9a190bce75a6ebf70356e4b2d43262df4ea70e7e,distance_from_own_immediate_activation,0,False
LM,O,3,3,748b77c32e5597fd9ab954ae967d71dfca3c97aa792238480bf57c353b9f7c3b,distance_from_own_immediate_activation,0,False
LM,O,4,1,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5,q_after,1.0185417675356585,False
LM,O,4,1,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,q_after,0.91828049859777672,False
LM,O,4,1,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5,distance_from_own_immediate_activation,5.0086363954334914,False
