cell,arm,batch,action_step_frobenius_squared,command_semantics,layer,native_Creg_action,sweep,visit,request_rows,A_norm_n,A_norm_mean,A_norm_median,A_norm_q25,A_norm_q75,A_norm_p90,A_norm_max,Y_norm_n,Y_norm_mean,Y_norm_median,Y_norm_q25,Y_norm_q75,Y_norm_p90,Y_norm_max,E_norm_n,E_norm_mean,E_norm_median,E_norm_q25,E_norm_q75,E_norm_p90,E_norm_max,A_over_origin_n,A_over_origin_mean,A_over_origin_median,A_over_origin_q25,A_over_origin_q75,A_over_origin_p90,A_over_origin_max,Y_over_origin_n,Y_over_origin_mean,Y_over_origin_median,Y_over_origin_q25,Y_over_origin_q75,Y_over_origin_p90,Y_over_origin_max,E_over_origin_n,E_over_origin_mean,E_over_origin_median,E_over_origin_q25,E_over_origin_q75,E_over_origin_p90,E_over_origin_max,M_norm_n,M_norm_mean,M_norm_median,M_norm_q25,M_norm_q75,M_norm_p90,M_norm_max,M_over_origin_n,M_over_origin_mean,M_over_origin_median,M_over_origin_q25,M_over_origin_q75,M_over_origin_p90,M_over_origin_max,cos_A_Y_n,cos_A_Y_mean,cos_A_Y_median,cos_A_Y_q25,cos_A_Y_q75,cos_A_Y_p90,cos_A_Y_max,rho_command_n,rho_command_mean,rho_command_median,rho_command_q25,rho_command_q75,rho_command_p90,rho_command_max,E_parallel_coefficient_n,E_parallel_coefficient_mean,E_parallel_coefficient_median,E_parallel_coefficient_q25,E_parallel_coefficient_q75,E_parallel_coefficient_p90,E_parallel_coefficient_max,tau_command_n,tau_command_mean,tau_command_median,tau_command_q25,tau_command_q75,tau_command_p90,tau_command_max,zero_command,zero_origin,under_realization,overshoot,opposite_direction,a_star,actual_reduction,alpha,g,predicted_reduction,r,resolution_stable_action_frobenius,u
LM,O,1,6.8633124754055421,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,4,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,0,100,100,0.90395595166802745,0.91390326767804086,0.84184823324032987,0.96811668979624377,0.99986470710469599,1.0807276574378326,100,1.1783341651988477,1.15116536983992,0.91755589707530161,1.3984834784372966,1.6833041339427892,2.0360979116811402,100,1.2477108421209742,1.2060654199583736,1.0300600245455351,1.4022969759100072,1.6691760597447531,2.037110841084615,100,0.1999999999914992,0.19999999999000415,0.19999999989722309,0.20000000007613056,0.20000000015029423,0.20000000046573546,100,0.26090228907117208,0.25963403534592877,0.20060543364895,0.31114849758383295,0.37920783344858111,0.48185915886799485,100,0.27731263473890261,0.26567774071358563,0.22868201188738796,0.31262575609978077,0.38192298441281802,0.46259806149226351,0,,,,,,,0,,,,,,,100,0.32875516955243056,0.33105006800598735,0.26434124790248348,0.3944414993240129,0.42926340444566075,0.46596810107610126,100,0.41887805421331559,0.43924316072092795,0.32911950606263068,0.50700567049947154,0.55335914972204159,0.72739103079685541,100,0.58112194578668441,0.56075683927907205,0.49299432950052846,0.67088049393736937,0.77170049141566344,0.87073542495183476,100,1.2308889224053037,1.1998963008383314,0.93497207515198255,1.4638970517504879,1.8142498236784337,2.2968692833984008,0,0,100,0,0,,,,,,,,
LM,O,1,6.8218184471590364,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,5,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,1,100,100,1.0742472616920329,1.090350440083919,1.0167026240454422,1.1337215986561042,1.1843076438091014,1.2387982952686101,100,1.0169420530107525,1.0330249682372461,0.87833383600731452,1.1291809361549601,1.2798154913238873,1.8101166071739359,100,1.1898814931231472,1.1460712882029538,1.0750981950896239,1.2768152105484274,1.4234086014487737,1.9658607229194454,100,0.23802759662311054,0.23847967774854678,0.23296699155332279,0.24212713981868481,0.24455981192524082,0.25429409453003243,100,0.2251380334390462,0.22017076710240932,0.19592259034333592,0.25098461014431295,0.2857659952423936,0.36786536900953037,100,0.26462976399885729,0.25620845534676617,0.23493095356175644,0.29187199294233551,0.31828201834424508,0.39592652869868072,0,,,,,,,0,,,,,,,100,0.362007691841086,0.34743744073140992,0.30848791317757052,0.43260358663620174,0.48351071121935907,0.53789090369044046,100,0.33607400519611885,0.35605900219924719,0.27995524146942963,0.39395220989469948,0.43404258994236117,0.5020295062724518,100,0.66392599480388104,0.64394099780075287,0.60604779010530052,0.72004475853057037,0.78226202001897194,0.92369573266197869,100,0.87845399853532635,0.86309537391863045,0.76026844109819536,0.98981825060125028,1.1246279446558978,1.511076910368448,0,0,100,0,0,,,,,,,,
LM,O,1,9.0293949647371967,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,6,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,2,100,100,1.3495658114055344,1.3568037500159769,1.2924259887862066,1.4083219222321599,1.4673878460268686,1.5721953765816952,100,1.0006794959126908,1.0001713642507921,0.91460135790741182,1.0853430272839382,1.1761128787316111,1.4877707294627804,100,1.2197102471714514,1.1959329312596549,1.1249402199323841,1.2905281529777526,1.403831175441675,1.7085196926324102,100,0.29943015437698234,0.30100524219998692,0.28824881664549729,0.30896958098344385,0.31664272069380683,0.32910546061571522,100,0.22213319774669557,0.21571254345587337,0.20179194342144388,0.24095781556520296,0.26609348855291376,0.3097532404837226,100,0.27189205301033459,0.27363362435039018,0.24193429190870203,0.29357353953145748,0.31984822319191641,0.35571308182292227,0,,,,,,,0,,,,,,,100,0.4957574632902601,0.49911539747123007,0.42595218242340172,0.56982388528770744,0.6230594790561117,0.68762074876042889,100,0.36489220968227365,0.37276162718119354,0.3183190898661582,0.41721230656740044,0.44267012477167039,0.50872382316876186,100,0.63510779031772635,0.62723837281880646,0.58278769343259951,0.6816809101338418,0.73302354524590396,0.78441417974697447,100,0.64016644514637799,0.62321913175160082,0.5791260286144535,0.69259135488467627,0.78860829863661475,0.89473445999510803,0,0,100,0,0,,,,,,,,
LM,O,1,15.293778013865403,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,7,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,3,100,100,1.8299252727555473,1.83813995413183,1.7378316258226254,1.9217137966436046,1.9703453425597275,2.1754143757865152,100,1.187577675803696,1.1420042966440564,1.043181909022628,1.2814440553408777,1.4736886412959342,2.2238687937805866,100,1.3417726767974916,1.2802011618839759,1.1844238320220302,1.4655730258760791,1.612278001461448,2.0848812274917332,100,0.4066029261581881,0.40732236405838135,0.38467499604469846,0.42738436901514232,0.44376910033320638,0.46950012176726924,100,0.26311400264607626,0.2490057227846158,0.2331914567347271,0.2821554908710302,0.32287731286010363,0.48202314724868117,100,0.29904357376613377,0.28926451836924383,0.25675967675775946,0.33038986562645478,0.35892635863039735,0.46101609169070495,0,,,,,,,0,,,,,,,100,0.6905429933177768,0.70079694454003894,0.62467871320880908,0.77521782354237057,0.80958401076754505,0.83082539838582503,100,0.44115122713472771,0.45664508524977032,0.38995519984924543,0.48917578350576685,0.51621054728634175,0.57713927669667131,100,0.55884877286527224,0.54335491475022968,0.51082421649423315,0.61004480015075457,0.65993788411327248,0.71213217877889556,100,0.46325886518727155,0.42354504187679676,0.37625435370736443,0.509223121305864,0.62926551265816366,0.9700464195239944,0,0,100,0,0,,,,,,,,
LM,O,1,37.534060726426191,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,8,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,4,100,100,2.9838848048265887,2.9744473769037141,2.7526257727173893,3.1705760037122999,3.3535508091152604,3.6257513660391925,100,1.6951109863810239,1.6626906939034369,1.5399874660489976,1.8301908837747152,1.9741535214507915,2.276624434501668,100,1.3261198256682705,1.3260435113525644,1.216655478912501,1.4227557188162865,1.5399543855364464,1.7963904257858241,100,0.66407996382354295,0.65345681901669961,0.61673798604521302,0.72094846353656172,0.75131407188444599,0.8559801835363593,100,0.37561464589113852,0.37137706660219183,0.34830721411339827,0.39687312024879962,0.43341299474795547,0.50795700512793651,100,0.29664119114637122,0.28476819398048336,0.26270694730654237,0.33376945943108449,0.37247552278113161,0.42542055757190672,0,,,,,,,0,,,,,,,100,0.99017293078803281,0.99255210314264819,0.98623142614098391,0.99517204574507545,0.99674213664639999,0.99822053295163859,100,0.5619849657657654,0.56101375321215785,0.53443276663499784,0.59615567836214833,0.61555894885646112,0.66609965575079833,100,0.4380150342342346,0.43898624678784215,0.40384432163785167,0.46556723336500216,0.50894757176412642,0.54674998102256078,100,0.074213100426410938,0.067834624286567918,0.055435281407746076,0.091306430692469451,0.10424252589021087,0.15760091536737286,0,0,100,0,0,,,,,,,,
LM,O,2,7.2685186410696572,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,4,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,0,100,100,0.93417339459074344,0.94180806303583475,0.86722823460344423,1.010846939562053,1.053169455856005,1.1319885262845557,100,1.2345417669563654,1.247687593174053,1.0346848067916923,1.4391469906023042,1.5895382382201846,2.0189531714055495,100,1.2691792052239406,1.2393773813045679,1.1154705146181181,1.4032792669329537,1.5538392151540064,1.9833275452954799,100,0.19999999999088947,0.19999999998806678,0.19999999987015693,0.20000000008492022,0.20000000021868042,0.20000000036589338,100,0.26375242560633799,0.26399684589618433,0.22838542559424846,0.29593507680321557,0.32773391314089356,0.42521200863794034,100,0.27244720392396732,0.26938399869426799,0.24122111066407642,0.29717092330971628,0.32582309783879293,0.41770889056081278,0,,,,,,,0,,,,,,,100,0.34578794237997296,0.35121350452043887,0.292880479517034,0.40161423572481869,0.45019032281527138,0.52769340602023307,100,0.45390548172971251,0.45166542171042057,0.34571043051772476,0.55638904686090085,0.61477754640789084,0.78151735215819806,100,0.54609451827028754,0.54833457828957943,0.44361095313909915,0.65428956948227524,0.72537761670269318,0.84224608601730955,100,1.2330392353178032,1.2227390885890914,1.072302934218349,1.3891206775439218,1.5582230991573391,2.0456843978899477,0,0,100,0,0,,,,,,,,
LM,O,2,7.0544608559889213,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,5,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,1,100,100,1.0999689536523747,1.1171516133088826,1.0289712714504544,1.1731231526967596,1.2194239353176033,1.299970792117882,100,1.0518418104206069,1.0544799628723873,0.92053322724592312,1.1535621752182146,1.2509852261552397,1.5425522266056979,100,1.1956208975127089,1.1727312614300529,1.0951976961070911,1.2760503946390465,1.4065406176438093,1.5984816319129063,100,0.23589335061835887,0.23607125572102267,0.23227536061003853,0.23981437176713058,0.24395653394026098,0.24898227726698602,100,0.22555207297658131,0.22339222372170928,0.20619788613739023,0.24081489478188611,0.27818247151256537,0.32456554518578568,100,0.25774379782142254,0.25073372843109354,0.23487961689118636,0.2782181593128365,0.30267691364537341,0.3418844970189942,0,,,,,,,0,,,,,,,100,0.38375406449279464,0.38235370299539423,0.32127770846772874,0.45556374457165433,0.49762297783603088,0.58256694832409528,100,0.36418655113195342,0.36800949081243495,0.29609527492413296,0.43614658055444788,0.47893281079247035,0.5393854666597373,100,0.63581344886804669,0.63199050918756505,0.56385341944555201,0.7039047250758671,0.75164869861788508,0.81754568950944362,100,0.87908818954261803,0.8615339719879076,0.79560332524596977,0.95477623132453304,1.0942540403773722,1.288996054496617,0,0,100,0,0,,,,,,,,
LM,O,2,9.2123327996499853,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,6,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,2,100,100,1.3707137634483617,1.3878131402901084,1.2814237671143891,1.450589813397908,1.5067454606504549,1.5742555340768583,100,1.0304218770263149,1.0296944261165044,0.9623470727270812,1.1173856106051203,1.1801985006475142,1.3684590621657948,100,1.2081292810605282,1.1978497707432745,1.12177008597913,1.275470025863827,1.3545073834213694,1.5074222131894348,100,0.29446875799449052,0.29398411841300304,0.28520423728115296,0.30394816053637075,0.31463777158623585,0.32482023523211895,100,0.22188708751957326,0.21957347502174845,0.20621140641837554,0.2372605751892016,0.25919229618036427,0.30560037909606053,100,0.26138912007785037,0.25752119325138656,0.22988031660027802,0.28686676133480615,0.30756120682549776,0.36791071900319428,0,,,,,,,0,,,,,,,100,0.52430237543379932,0.53462287759268046,0.46327974818318041,0.60120961708210363,0.63573066294718517,0.68730266618804248,100,0.39137551587108022,0.39937143747685799,0.34864925861956031,0.43696668494732893,0.47033817102269498,0.51055183352032696,100,0.60862448412891978,0.60062856252314201,0.56303331505267107,0.65135074138043969,0.69424499544181362,0.77106289579117215,100,0.63788347831874326,0.6228350185564131,0.58137433626990709,0.69845516242317596,0.75058043911676042,0.8913393128359054,0,0,100,0,0,,,,,,,,
LM,O,2,15.519707141197658,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,7,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,3,100,100,1.8397289048380452,1.8517401872884074,1.7303862264709569,1.9401200021653995,2.0094969722724736,2.1279555718652099,100,1.22316820647618,1.1734457233768896,1.094162914414508,1.2709900649701109,1.5015013526595404,2.2577317464087603,100,1.3451569952464195,1.2885599078546963,1.1773157507975336,1.439565375645103,1.6009809826212777,2.5179198902300555,100,0.39599645228303598,0.39400056059441146,0.37564121229507452,0.4146183214627201,0.43034819995942725,0.46161153009703465,100,0.26308793622609455,0.25418522582810726,0.23491210502553897,0.27821443000969376,0.31361238329469021,0.44288462436135512,100,0.29125380753154162,0.28364242397403583,0.24543721494277027,0.32118389995557384,0.37252293768569578,0.4939240485634851,0,,,,,,,0,,,,,,,100,0.69412354894608219,0.7056890458218783,0.64125718139154331,0.78529543623857634,0.81766628137223729,0.86861583502545114,100,0.45154179008416789,0.45684892655326664,0.40990430539052269,0.49800783341865251,0.51826289939805625,0.55328817817130183,100,0.54845820991583205,0.5431510734467333,0.50199216658134749,0.59009569460947731,0.62064386679699346,0.66203841896315052,100,0.47437636519494153,0.43947210178735374,0.38314115017721362,0.53392558583400673,0.65701707599130199,1.0918146818077445,0,0,100,0,0,,,,,,,,
LM,O,2,37.70004023735099,OFFICIAL_CURRENT_RESIDUAL_OVER_REMAINING_LAYERS,8,UNBOUND_IN_ACCEPTED_SOURCE_NOT_FROBENIUS_EQUIVALENT,0,4,100,100,2.988057493939444,2.9190790388898504,2.817438664788618,3.1515506636572193,3.2938425739321375,3.9212654495697556,100,1.7059753049204645,1.6948029141523751,1.5557259785561499,1.825209415744995,1.9401560709833916,2.5464547072861978,100,1.3162699923672267,1.3182124384462135,1.2247067465363284,1.4148068384954648,1.5265068834682509,1.6439034365475764,100,0.64475264387726194,0.63864673558769836,0.58810362088936519,0.69457098395561534,0.74293925888772516,0.79730858559635309,100,0.36670312296115398,0.36281450032933582,0.3388736954046847,0.38914826324007284,0.42246694900776466,0.49952153894436474,100,0.28534873146812417,0.28342789760044595,0.25247574149155294,0.32113747137009713,0.35124476495828849,0.39848843071280926,0,,,,,,,0,,,,,,,100,0.99108161746157153,0.99181350540982172,0.9892164606471715,0.99433382936800252,0.9961171020446703,0.99813777907801771,100,0.56516585237133743,0.5691186392402392,0.53035195535997448,0.59553506704366133,0.62383646586089148,0.66473240761472507,100,0.43483414762866263,0.43088136075976075,0.40446493295633867,0.46964804464002546,0.487517630058041,0.55590304153041048,100,0.073142479378742783,0.071517204219183866,0.058437962839452934,0.082206520403248037,0.095439037804265811,0.13033245135653007,0,0,100,0,0,,,,,,,,
