cell,arm,batch,dynamic_layer_visit_count,factor_build_count,history_append_count,native_compute_z_bypassed_with_shared_fixed_z,native_creg_action_status,physical_write_count,resolution_stable_path_frobenius_squared,schema,sum_step_action_frobenius_squared,terminal_net_frobenius,terminal_net_frobenius_squared,status,first_hit_prefix,semantic_request_strict,semantic_ties,batch_net_actual_frobenius,W0_net_actual_frobenius,native_action_status,anchor_active_request_count,anchor_zero_request_count,anchor_zero_semantic_miss_count,anchor_zero_semantic_miss_policy,first_hit,jvp_call_count,key_capture_count,materialization_count,nonzero_action_visit_count,physical_euler_path_frobenius_length,resolution_stable_path_frobenius,step_count,terminal_capture_count,terminal_status,zero_action_visit_count,first_V,final_V,u_zero,u_interior,u_one,defect_count,defect_sum,defect_max,entry_crossing_count,entry_violation_max
LM,O,1,0,5,0,True,TELEMETRY_WITHHELD,1,75.542364625406705,orbode.official-bypass.v1,75.542364625406705,8.6915110668632707,75.542364625406705,TERMINAL_VALID,,88,0,8.6915110669217785,8.6915110669217785,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,2,0,5,0,True,TELEMETRY_WITHHELD,1,76.755059673782654,orbode.official-bypass.v1,76.755059673782654,8.7609965000439676,76.755059673782654,TERMINAL_VALID,,91,0,8.7609965001000845,12.467824403197012,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,3,0,5,0,True,TELEMETRY_WITHHELD,1,83.558004697314573,orbode.official-bypass.v1,83.558004697314573,9.1410067660687453,83.558004697314573,TERMINAL_VALID,,95,0,9.1410067661254608,15.636227650794391,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,4,0,5,0,True,TELEMETRY_WITHHELD,1,88.65839324948,orbode.official-bypass.v1,88.65839324948,9.4158586039447307,88.65839324948,TERMINAL_VALID,,98,0,9.4158586040021426,18.429549528371666,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,5,0,5,0,True,TELEMETRY_WITHHELD,1,95.327306371943948,orbode.official-bypass.v1,95.327306371943948,9.7635703701025243,95.327306371943948,TERMINAL_VALID,,99,0,9.7635703701608119,21.061522163398966,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,6,0,5,0,True,TELEMETRY_WITHHELD,1,103.49135295994579,orbode.official-bypass.v1,103.49135295994579,10.173069986977668,103.49135295994579,TERMINAL_VALID,,97,0,10.173069987035758,23.646578415752398,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,7,0,5,0,True,TELEMETRY_WITHHELD,1,117.1001964650336,orbode.official-bypass.v1,117.1001964650336,10.821284418452072,117.1001964650336,TERMINAL_VALID,,98,0,10.82128441850988,26.296757014881436,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,8,0,5,0,True,TELEMETRY_WITHHELD,1,137.79897584297447,orbode.official-bypass.v1,137.79897584297447,11.738780849942403,137.79897584297447,TERMINAL_VALID,,99,0,11.738780850000133,29.201706116870383,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,9,0,5,0,True,TELEMETRY_WITHHELD,1,158.41374067641317,orbode.official-bypass.v1,158.41374067641317,12.58625205040854,158.41374067641317,TERMINAL_VALID,,99,0,12.586252050469538,32.268190170424987,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
LM,O,10,0,5,0,True,TELEMETRY_WITHHELD,1,213.81849139624987,orbode.official-bypass.v1,213.81849139624987,14.622533685933155,213.81849139624987,TERMINAL_VALID,,99,0,14.62253368600085,36.081262337397618,UNBOUND_NOT_FROBENIUS_EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,
