cell,arm,batch,endpoint_wall_seconds,endpoint_model_forward_calls,cumulative_evaluation_checkpoint_wall_seconds,observer_probe_wall_seconds_cumulative,observer_probe_wall_seconds_increment,observer_probe_cohorts_cumulative,evaluation_cohorts_cumulative,checkpoint_bytes,adapter_dynamic_z_count,adapter_fixed_z_compute_count,adapter_fixed_z_recompute_count,adapter_inner_cache_mutation_count,adapter_inner_history_append_count,adapter_key_capture_count,adapter_layer_factorization_count,adapter_official_endpoint_count,adapter_solve_count,adapter_terminal_capture_count,adapter_terminal_finalize_count,jvp_attention_backend_switch_count,jvp_finite_difference_forward_count,jvp_jvp_call_count,jvp_model_forward_invocation_count,jvp_physical_write_count,jvp_temporary_direction_hook_count,jvp_wall_seconds,target_optimization_wall_seconds,storage_write_wall_seconds,note
LM,O,1,104.0410021552816,222,65.791758893989027,2.8179189832881093,2.8179189832881093,6,1,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,2,100.73407597560436,227,84.788095536641777,8.5126027623191476,5.6946837790310383,19,3,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,3,107.4881593734026,232,113.20823537185788,17.645375559106469,9.1327727967873216,39,6,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,4,92.591654855757952,237,124.71639426611364,30.146676365286112,12.501300806179643,66,10,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,5,91.035552517510951,242,155.72754820901901,45.781042786315084,15.634366421028972,100,15,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,6,117.68592756893486,247,179.05599211435765,64.734593474306166,18.953550687991083,141,21,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,7,106.1916999462992,252,197.27183912228793,86.660061922855675,21.925468448549509,189,28,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,8,118.51837114151567,257,222.6563117178157,112.39982020668685,25.739758283831179,244,36,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,9,134.25003556068987,262,238.95929651428014,141.24226317740977,28.842442970722914,306,45,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
LM,O,10,105.98073459230363,267,261.42069970443845,172.94972455780953,31.707461380399764,375,55,1174407641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED_SEPARATE_BRACKET,NOT_RECORDED_SEPARATE_BRACKET,"endpoint wall includes runtime observer; checkpoint wall includes allseen evaluator/geometry/storage; probe cumulative overlaps brackets, do not sum"
