current_count,current_strict,current_success,endpoint,kind,original_count,original_success,status
200,102,174,BASE_MEMIT_W001,P,200,174,ACTIVE
0,0,0,BASE_MEMIT_W001,R,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W001,P,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W001,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W001,P,0,0,NOT_RECEIVED
100,95,99,BASE_MEMIT_W005,R,100,99,ACTIVE
200,123,184,BASE_MEMIT_W005,P,200,184,ACTIVE
0,0,0,BASE_MEMIT_W005,R,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W005,P,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W005,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W005,P,0,0,NOT_RECEIVED
99,47,84,BASE_MEMIT_W010,R,99,84,ACTIVE
198,80,158,BASE_MEMIT_W010,P,198,158,ACTIVE
1,1,1,BASE_MEMIT_W010,R,1,0,SUPERSEDED
2,0,1,BASE_MEMIT_W010,P,2,1,SUPERSEDED
0,0,0,BASE_MEMIT_W010,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W010,P,0,0,NOT_RECEIVED
98,1,52,BASE_MEMIT_W020,R,98,52,ACTIVE
196,1,106,BASE_MEMIT_W020,P,196,106,ACTIVE
2,0,1,BASE_MEMIT_W020,R,2,1,SUPERSEDED
4,0,2,BASE_MEMIT_W020,P,4,1,SUPERSEDED
0,0,0,BASE_MEMIT_W020,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W020,P,0,0,NOT_RECEIVED
98,1,47,BASE_MEMIT_W030,R,98,47,ACTIVE
196,1,94,BASE_MEMIT_W030,P,196,94,ACTIVE
2,0,1,BASE_MEMIT_W030,R,2,2,SUPERSEDED
4,0,2,BASE_MEMIT_W030,P,4,3,SUPERSEDED
0,0,0,BASE_MEMIT_W030,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W030,P,0,0,NOT_RECEIVED
98,1,48,BASE_MEMIT_W040,R,98,48,ACTIVE
196,0,93,BASE_MEMIT_W040,P,196,93,ACTIVE
2,0,1,BASE_MEMIT_W040,R,2,2,SUPERSEDED
4,0,2,BASE_MEMIT_W040,P,4,4,SUPERSEDED
0,0,0,BASE_MEMIT_W040,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W040,P,0,0,NOT_RECEIVED
98,2,52,BASE_MEMIT_W050,R,98,52,ACTIVE
196,0,96,BASE_MEMIT_W050,P,196,96,ACTIVE
2,0,1,BASE_MEMIT_W050,R,2,2,SUPERSEDED
4,0,2,BASE_MEMIT_W050,P,4,4,SUPERSEDED
0,0,0,BASE_MEMIT_W050,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W050,P,0,0,NOT_RECEIVED
98,1,46,BASE_MEMIT_W060,R,98,46,ACTIVE
196,3,97,BASE_MEMIT_W060,P,196,97,ACTIVE
2,0,1,BASE_MEMIT_W060,R,2,2,SUPERSEDED
4,0,2,BASE_MEMIT_W060,P,4,4,SUPERSEDED
0,0,0,BASE_MEMIT_W060,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W060,P,0,0,NOT_RECEIVED
95,1,47,BASE_MEMIT_W070,R,95,47,ACTIVE
190,5,90,BASE_MEMIT_W070,P,190,90,ACTIVE
5,1,3,BASE_MEMIT_W070,R,5,2,SUPERSEDED
10,0,7,BASE_MEMIT_W070,P,10,6,SUPERSEDED
0,0,0,BASE_MEMIT_W070,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W070,P,0,0,NOT_RECEIVED
95,3,52,BASE_MEMIT_W080,R,95,52,ACTIVE
190,6,85,BASE_MEMIT_W080,P,190,85,ACTIVE
5,0,3,BASE_MEMIT_W080,R,5,2,SUPERSEDED
10,0,6,BASE_MEMIT_W080,P,10,5,SUPERSEDED
0,0,0,BASE_MEMIT_W080,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W080,P,0,0,NOT_RECEIVED
95,4,51,BASE_MEMIT_W090,R,95,51,ACTIVE
190,3,90,BASE_MEMIT_W090,P,190,90,ACTIVE
5,0,3,BASE_MEMIT_W090,R,5,1,SUPERSEDED
10,0,6,BASE_MEMIT_W090,P,10,3,SUPERSEDED
