F1t_Kt_norm_mean,H1_deltaK_norm_mean,base_action_norm_mean,completion_rows,cosine_mean,direct_drift_signed_dot_mean,direct_write_norm_mean,endpoint,key_delta_norm_mean,key_drift_action_norm_mean,layer,mapping_relative_max,panel,signed_cross_negative,time_split_residual_max,valid_positions
0.5216455716085895,0.016586091105019338,0.519892049045658,512,0.9961621784799547,-0.02666814595474768,0.6235213046156012,BASE_ALPHAEDIT_W005,0.7631597841822713,0.5107803428472235,5,1.1794375075731591e-06,BaseEval256,495,1.0323979335260708e-05,4459
1.391082563544136,0.026310928189448624,1.1358620835286473,128,0.9990120672320819,-0.1269432140022777,1.567358440311394,BASE_ALPHAEDIT_W005,1.6486530085502062,1.1237724784626084,5,1.3705503957990915e-06,GeneralEval128,128,3.590227015492965e-05,16384
0.5890157713577755,0.014751192282561217,0.6070203446517141,66,0.9970436545031608,-0.07856343775217851,0.8233625802729257,BASE_ALPHAEDIT_W005,0.8887293686319407,0.5981579624752055,5,1.443923504071661e-06,H_active_variants,66,1.8239877409095875e-05,1040
0.5997770319305661,0.016879693175922424,0.728124661555942,600,0.9956846651180744,-0.08707708360971485,0.904260648094374,BASE_ALPHAEDIT_W005,1.0708122848374242,0.7188444585331425,5,1.443923504071661e-06,H_diag_B1_R100_P200,600,2.117791051634213e-05,9776
0.5303084521024308,0.0161904069322759,0.5197796701798361,2000,0.9962912796010583,-0.025718629727543445,0.630196950602676,BASE_ALPHAEDIT_W005,0.7630002987141953,0.5110432262598545,5,1.1532022192037882e-06,N_diag1000,1928,1.1539966196083592e-05,18110
0.8410099573012253,0.04151056594738141,0.9586264224945538,512,0.9897432447571952,-0.07899285654512375,1.0186853160710931,BASE_ALPHAEDIT_W005,1.4145073067171727,0.94114331730626,6,1.1454078042909298e-06,BaseEval256,512,1.1424848901340638e-05,4459
1.987260065560002,0.06271542745404896,1.9241515951292087,128,0.9976766636782708,-0.3077807545446784,2.2160377923208614,BASE_ALPHAEDIT_W005,2.815785710141094,1.8948836302303846,6,1.3942386935894951e-06,GeneralEval128,128,3.9490909393922975e-05,16384
0.9431563599067452,0.038938900873940425,1.1154556207379371,66,0.9918390679968843,-0.18945315168035648,1.2265361808499518,BASE_ALPHAEDIT_W005,1.6508093725431117,1.0991154378327637,6,1.3845256255246676e-06,H_active_variants,66,1.8583767835125846e-05,1040
0.9410095802339781,0.042236248617876414,1.3870095203525203,600,0.9874152002255956,-0.2686990114936271,1.3313516160197145,BASE_ALPHAEDIT_W005,2.0399769734292708,1.367496224256409,6,1.3936541909931916e-06,H_diag_B1_R100_P200,600,2.458886275118637e-05,9776
0.8531161005157791,0.04123578492919175,0.9516587981294136,2000,0.9901123110052162,-0.08097477493510136,1.0222301251192778,BASE_ALPHAEDIT_W005,1.4040013318676947,0.9342428461043512,6,1.1648155985304265e-06,N_diag1000,1968,1.2744648327735743e-05,18110
1.1932836910441513,0.11373249420754956,1.5935998535630442,512,0.977455549484134,-0.0682033522104083,1.2660095887274925,BASE_ALPHAEDIT_W005,2.298594536391994,1.564519363349629,7,1.132910203625355e-06,BaseEval256,384,1.2373640294737876e-05,4459
2.7983141218512575,0.14494181559727526,2.959184834635151,128,0.9951764379918506,-0.5397892634148849,3.0590232512651183,BASE_ALPHAEDIT_W005,4.219959874599548,2.8996023788573053,7,1.3717579061899991e-06,GeneralEval128,128,4.1606180457995655e-05,16384
1.3799954810645656,0.10478942239085845,1.886846413183837,66,0.9818568959165437,-0.25462500647830943,1.6241366944276892,BASE_ALPHAEDIT_W005,2.722819796737552,1.839277732414629,7,1.3901701147498152e-06,H_active_variants,66,1.8893432504395054e-05,1040
1.3579743867581529,0.11214007748098638,2.1879899638426763,600,0.9750179937845715,-0.45148363646359596,1.7189329463643033,BASE_ALPHAEDIT_W005,3.1348537873931637,2.14155393533548,7,1.3996274214153055e-06,H_diag_B1_R100_P200,600,2.526389519636684e-05,9776
1.2235742364860607,0.11462673735606878,1.5935920394753444,2000,0.9781656635694501,-0.060634020310657726,1.284503114790531,BASE_ALPHAEDIT_W005,2.294945917693157,1.565349280573022,7,1.1539709772825418e-06,N_diag1000,1400,1.4301487485018008e-05,18110
2.2430480770614807,0.3208270274687525,2.4369445126563662,512,0.9426254716583828,0.08668722037791005,2.0975663450867597,BASE_ALPHAEDIT_W005,3.4993695494170685,2.5798484059148143,8,1.1871101957433926e-06,BaseEval256,195,1.209259736677983e-05,4459
5.091071528325957,0.40258566608172086,4.598491661596702,128,0.9893455206278713,-0.6596310601375734,5.37187727874189,BASE_ALPHAEDIT_W005,6.520846334198103,4.581627265252225,8,1.4025464010501865e-06,GeneralEval128,122,4.476639769552057e-05,16384
2.6033062583500377,0.2850091899895583,2.9265733962302503,66,0.953693091081643,-0.21195267974439247,2.6833023238944205,BASE_ALPHAEDIT_W005,4.190859647668358,2.9822938602919886,8,1.3969712404045177e-06,H_active_variants,60,1.9460013364450605e-05,1040
2.5433794067841085,0.3161619176277633,3.323781518011405,600,0.9405918675709044,-0.7857002190851438,2.8166175433521254,BASE_ALPHAEDIT_W005,4.754516251426976,3.364249887884823,8,1.4363151506743827e-06,H_diag_B1_R100_P200,578,2.6626963858709506e-05,9776
2.305965639455854,0.3282546842297788,2.441551776343371,2000,0.9445649246317454,0.11288917625077453,2.134158283494202,BASE_ALPHAEDIT_W005,3.504119502411254,2.5884788726354717,8,1.2132619875576936e-06,N_diag1000,673,1.369441473104597e-05,18110
0.5855176585161598,0.0,0.0,512,1.0,0.0,0.7174783022607079,BASE_ALPHAEDIT_W010,0.0,0.0,4,1.16500213247645e-06,BaseEval256,0,8.643413741526167e-06,4459
1.560196026988681,0.0,0.0,128,1.0,0.0,1.7123573776565566,BASE_ALPHAEDIT_W010,0.0,0.0,4,1.3663893296458509e-06,GeneralEval128,0,2.9330405962900434e-05,16384
0.686468907062263,0.0,0.0,66,1.0,0.0,0.8718759843420609,BASE_ALPHAEDIT_W010,0.0,0.0,4,1.3227891010608864e-06,H_active_variants,0,1.2993576160658884e-05,1040
0.6875241864926089,0.0,0.0,600,1.0,0.0,0.9186033384579149,BASE_ALPHAEDIT_W010,0.0,0.0,4,1.3657204812552152e-06,H_diag_B1_R100_P200,0,1.724500598529834e-05,9776
0.5956266821674638,0.0,0.0,2000,1.0,0.0,0.7248823696747486,BASE_ALPHAEDIT_W010,0.0,0.0,4,1.1442503697194455e-06,N_diag1000,0,9.447348312641131e-06,18110
0.7941203059299552,0.024237324030313968,0.6942033952478479,512,0.9932153368587752,-0.026457367894056227,0.8399103678953045,BASE_ALPHAEDIT_W010,1.0194696701656354,0.6824085331608234,5,1.1786681087015199e-06,BaseEval256,451,1.025051691240124e-05,4459
2.1734214160262866,0.03982368810525222,1.5955294042222397,128,0.998045230753469,-0.2078883496300986,2.2768547030546746,BASE_ALPHAEDIT_W010,2.32168322623561,1.5759037078701026,5,1.3754421004469054e-06,GeneralEval128,128,3.5946833779178164e-05,16384
0.9162285019576026,0.02222649812244062,0.7914308568705789,66,0.9950511115795527,-0.09806198519542181,1.0693253845129094,BASE_ALPHAEDIT_W010,1.162386594181296,0.7772149454200081,5,1.4523456837251685e-06,H_active_variants,66,1.8281357360002884e-05,1040
0.915002317176167,0.024671621390577266,0.908308551159516,600,0.9935437031269764,-0.09696690044017788,1.1251153407685497,BASE_ALPHAEDIT_W010,1.3343571165249926,0.8953140020109575,5,1.4523456837251685e-06,H_diag_B1_R100_P200,600,2.1212465476504427e-05,9776
0.8045891117128335,0.02373304222897854,0.6945516470448265,2000,0.9934125637009612,-0.025782435081114077,0.8500111461289537,BASE_ALPHAEDIT_W010,1.0207883429348035,0.6834680832142085,5,1.1646246790761727e-06,N_diag1000,1668,1.1541294217279853e-05,18110
1.2319730747872117,0.06252509619753346,1.292582718045938,512,0.9816112800709734,-0.06780698882323256,1.280305118459574,BASE_ALPHAEDIT_W010,1.9049066625750373,1.2787307526978124,6,1.142823175168527e-06,BaseEval256,459,1.1575651824373663e-05,4459
3.080332687961106,0.09637414564329388,2.7397977373571747,128,0.9953117814272118,-0.47550942820559605,3.179733223853054,BASE_ALPHAEDIT_W010,4.008149524240521,2.6966105465370616,6,1.3975764967146962e-06,GeneralEval128,128,3.957804429027167e-05,16384
1.4201498055978599,0.059710840907809926,1.4463182308032723,66,0.9866236242860194,-0.19134600979601604,1.5570934247827477,BASE_ALPHAEDIT_W010,2.1392095022133577,1.4281942152575062,6,1.4031164691187998e-06,H_active_variants,66,1.870866099272244e-05,1040
1.3967657442693344,0.0640970388961042,1.6992487461394838,600,0.9819193746839149,-0.27822752813806984,1.6294197582814522,BASE_ALPHAEDIT_W010,2.4986940215453655,1.680622241698818,6,1.4290557678562186e-06,H_diag_B1_R100_P200,598,2.4726102172752992e-05,9776
1.246830317573734,0.0620052720425293,1.2834736571420768,2000,0.9822234941100442,-0.06701692710805128,1.289738144716733,BASE_ALPHAEDIT_W010,1.8921650069855682,1.269744319648348,6,1.175872120004527e-06,N_diag1000,1783,1.2750836509735156e-05,18110
1.8205585720171473,0.1690496685233841,2.1064926700713813,512,0.9612818979213837,0.040837298008234824,1.6052566461334101,BASE_ALPHAEDIT_W010,3.034896989284588,2.1498981184533434,7,1.1321314642511594e-06,BaseEval256,198,1.2434075785277196e-05,4459
4.354896247370122,0.22130512518172057,4.21276063695914,128,0.9903031376867866,-0.7960589244486764,4.382148086262226,BASE_ALPHAEDIT_W010,5.996160904590752,4.143758022718941,7,1.3855806536566394e-06,GeneralEval128,128,4.20951785741954e-05,16384
2.114311694949538,0.16334714394040095,2.4644893443353686,66,0.9696200287341089,-0.14289344594927644,2.04254646846332,BASE_ALPHAEDIT_W010,3.55963958939229,2.4607540977599793,7,1.4208111127422811e-06,H_active_variants,54,1.9180672290646326e-05,1040
2.053621543773452,0.16857961949351552,2.700831967708877,600,0.9634806151010722,-0.4301833432364403,2.1168844336155583,BASE_ALPHAEDIT_W010,3.86700698386308,2.695682343631877,7,1.4019971258427956e-06,H_diag_B1_R100_P200,592,2.5510036301549956e-05,9776
1.857502044108248,0.16876943018161916,2.10961805040021,2000,0.9623437011077045,0.04161529773001758,1.6355978332064192,BASE_ALPHAEDIT_W010,3.0340126649615504,2.1512052351040833,7,1.1782687568159773e-06,N_diag1000,780,1.4483148822707892e-05,18110
3.625625070596282,0.5095393062157667,3.2603457195516956,512,0.8999401502355744,0.20382542164060446,2.6866042947576583,BASE_ALPHAEDIT_W010,4.663844196002511,3.972613215143115,8,1.2441320083671097e-06,BaseEval256,198,1.2695764379128379e-05,4459
7.993137157105471,0.6320619177350562,6.528420489604178,128,0.978735854300045,-1.0505434957454298,7.708477919118339,BASE_ALPHAEDIT_W010,9.241978711553184,6.745063283513773,8,1.4370801684058834e-06,GeneralEval128,114,4.56817342261953e-05,16384
4.099548758389544,0.47094144789374875,3.852822007963607,66,0.922373438447911,0.11098731506786329,3.4130680079343745,BASE_ALPHAEDIT_W010,5.503005780382806,4.352489808352359,8,1.4898567364262828e-06,H_active_variants,32,1.9905762332036127e-05,1040
3.9754385797705405,0.49837503937782174,4.141099195831762,600,0.9118121005744922,-0.9582633421894371,3.5515657375221226,BASE_ALPHAEDIT_W010,5.913014202484489,4.600303863195192,8,1.4842981225414473e-06,H_diag_B1_R100_P200,546,2.742943063309159e-05,9776
3.6864564892761362,0.510774543915526,3.264180929561108,2000,0.9030435534819388,0.22411818576580236,2.7355112480831725,BASE_ALPHAEDIT_W010,4.6728193814689565,3.969131168019486,8,1.2898053128458648e-06,N_diag1000,682,1.4519342343474342e-05,18110
0.8276351677404733,0.0,0.0,512,1.0,0.0,0.943822879659308,BASE_ALPHAEDIT_W020,0.0,0.0,4,1.1702282490020883e-06,BaseEval256,0,8.68073420248148e-06,4459
2.3795633501075875,0.0,0.0,128,1.0,0.0,2.4986660119715456,BASE_ALPHAEDIT_W020,0.0,0.0,4,1.3676560345717646e-06,GeneralEval128,0,2.9445000704124615e-05,16384
1.006935592732237,0.0,0.0,66,1.0,0.0,1.1625514779727457,BASE_ALPHAEDIT_W020,0.0,0.0,4,1.32435831215202e-06,H_active_variants,0,1.3060253969349325e-05,1040
0.997574628355885,0.0,0.0,600,1.0,0.0,1.1896466801535186,BASE_ALPHAEDIT_W020,0.0,0.0,4,1.3674982831930291e-06,H_diag_B1_R100_P200,0,1.740660875960595e-05,9776
0.846464158455696,0.0,0.0,2000,1.0,0.0,0.9594287795936521,BASE_ALPHAEDIT_W020,0.0,0.0,4,1.1430150807962186e-06,N_diag1000,0,9.429709933496919e-06,18110
1.1312479924011314,0.03245126603744862,0.8979837890774154,512,0.9886861420730375,-0.01234714510093237,1.1074219441246014,BASE_ALPHAEDIT_W020,1.3187966524206152,0.8920748970080941,5,1.191402810924193e-06,BaseEval256,284,1.0381680803777966e-05,4459
3.3186827780047365,0.05838523175780665,2.279383753836092,128,0.9960002770074928,-0.3297594915381512,3.3481704590546397,BASE_ALPHAEDIT_W020,3.324344305009076,2.2536735404414623,5,1.3857064328086382e-06,GeneralEval128,128,3.613413446060137e-05,16384
1.3653179666925053,0.032307821404129015,1.045196051008534,66,0.9915570790711191,-0.10740295438587166,1.4282133244176403,BASE_ALPHAEDIT_W020,1.5339090789984564,1.0311560979805576,5,1.4586363673716349e-06,H_active_variants,66,1.838080951047486e-05,1040
1.339420335505718,0.0343544472430667,1.1531841418700404,600,0.9898824680034727,-0.10149459766436288,1.4480503495656705,BASE_ALPHAEDIT_W020,1.6933725409529006,1.1433950855518786,5,1.4586363673716349e-06,H_diag_B1_R100_P200,590,2.1333146436145613e-05,9776
1.1451809248444635,0.031885057793111266,0.9035884071176898,2000,0.9889133659657311,-0.016466225013725612,1.1238073928864605,BASE_ALPHAEDIT_W020,1.3280914163291417,0.8979839148095714,5,1.160235601050547e-06,N_diag1000,1280,1.1646571943972651e-05,18110
1.7275488634532952,0.08209064480728546,1.6681994207111603,512,0.9695153361267842,-0.07807620749691561,1.6286716239255479,BASE_ALPHAEDIT_W020,2.4572770688003533,1.6894112310953455,6,1.1578859142496383e-06,BaseEval256,414,1.1693924296098745e-05,4459
4.717104788644916,0.13976062459229316,3.917309855971552,128,0.9904353717837129,-0.8061911410735039,4.672404616155772,BASE_ALPHAEDIT_W020,5.732870257329266,3.8640915782811542,6,1.4084030259163639e-06,GeneralEval128,128,3.986612430678004e-05,16384
2.0756256409314098,0.08659969439409249,1.91969879885088,66,0.9769615961636159,-0.1699542940994147,2.02539151768295,BASE_ALPHAEDIT_W020,2.839294585391892,1.9228854413324346,6,1.4115533311273213e-06,H_active_variants,66,1.8876386946977884e-05,1040
2.019667640222019,0.0889807009952047,2.1221669157311416,600,0.9726660385678737,-0.32242953886109715,2.0741537830329086,BASE_ALPHAEDIT_W020,3.1227057042499697,2.1273092056222573,6,1.4170579791160415e-06,H_diag_B1_R100_P200,600,2.4925664868165676e-05,9776
1.7425727258160593,0.08169010348085433,1.6609521132727632,2000,0.9704344681165397,-0.07873933122751728,1.6437581397247434,BASE_ALPHAEDIT_W020,2.4491011135400393,1.6787868408129794,6,1.2019814477924603e-06,N_diag1000,1580,1.2891354931925192e-05,18110
2.6350277419837207,0.22397475663512237,2.679127789294978,512,0.9377302530440113,0.01017645502195089,2.065981820711829,BASE_ALPHAEDIT_W020,3.851507696353448,2.9089890632292277,7,1.1470888389796397e-06,BaseEval256,255,1.257161437701636e-05,4459
6.677046499808984,0.3193105262007915,6.004519311637268,128,0.9803467775921308,-1.4590331472741616,6.423567360640339,BASE_ALPHAEDIT_W020,8.548836395965505,5.963356201107194,7,1.4051088089180963e-06,GeneralEval128,128,4.2601772495209226e-05,16384
3.179879973765416,0.23469597967155859,3.226790967803435,66,0.9490966227437222,-0.028059599638339747,2.6754657321903377,BASE_ALPHAEDIT_W020,4.646816473516608,3.364613154005159,7,1.4587593077103968e-06,H_active_variants,38,1.962347742661233e-05,1040
3.033496918568515,0.23612143346323147,3.386467629977834,600,0.9441397455704407,-0.5419850717189604,2.722331133323805,BASE_ALPHAEDIT_W020,4.842488181156793,3.5199386027272035,7,1.4310926586679426e-06,H_diag_B1_R100_P200,574,2.6019609494263114e-05,9776
2.6740309142604555,0.2223164094060993,2.684877206962232,2000,0.939398985773353,0.012193931959654581,2.111222752483359,BASE_ALPHAEDIT_W020,3.8547056764746594,2.9080546278009267,7,1.196580040881484e-06,N_diag1000,908,1.476557609324638e-05,18110
5.589682543408218,0.6801643323022973,4.149207726970872,512,0.8414150323525742,-0.6976011751456602,3.5290690608139785,BASE_ALPHAEDIT_W020,5.902453198468487,5.927807646349407,8,1.3327587880599085e-06,BaseEval256,348,1.3615525256397265e-05,4459
12.439369259374693,0.915959260833026,9.175550506327351,128,0.9580828937569461,-2.8433300177714056,11.323310315201022,BASE_ALPHAEDIT_W020,13.008195444901418,9.98383267672341,8,1.5087966812485438e-06,GeneralEval128,120,4.7857622434579e-05,16384
6.5013088493772955,0.7072148260978451,5.083144776097994,66,0.8705458635892207,0.1509218028640154,4.528433396280221,BASE_ALPHAEDIT_W020,7.18968577364354,6.492021284759941,8,1.539394547041134e-06,H_active_variants,22,2.137204005017934e-05,1040
6.222718185742672,0.7201998909942309,5.224895406455137,600,0.8654299677926325,-1.6645749958180993,4.66295142327244,BASE_ALPHAEDIT_W020,7.421763793214867,6.576502832256145,8,1.582255120618019e-06,H_diag_B1_R100_P200,534,2.8856692176942736e-05,9776
5.644783794788289,0.6824436655634408,4.159051425550577,2000,0.8466448217661539,-0.6193669753633902,3.5991896743663885,BASE_ALPHAEDIT_W020,5.91769449971652,5.908828933464292,8,1.3580253200724104e-06,N_diag1000,1292,1.548969355967429e-05,18110
1.0373690078094038,0.0,0.0,512,1.0,0.0,1.1427154739157679,BASE_ALPHAEDIT_W030,0.0,0.0,4,1.174550139463025e-06,BaseEval256,0,8.700531577561848e-06,4459
3.0686234566792017,0.0,0.0,128,1.0,0.0,3.169863418153291,BASE_ALPHAEDIT_W030,0.0,0.0,4,1.3762894551997929e-06,GeneralEval128,0,2.9553051470107744e-05,16384
1.2680338133536917,0.0,0.0,66,1.0,0.0,1.4061445592419095,BASE_ALPHAEDIT_W030,0.0,0.0,4,1.3327723673720336e-06,H_active_variants,0,1.3115407983273347e-05,1040
1.2618053418331507,0.0,0.0,600,1.0,0.0,1.4300046595571327,BASE_ALPHAEDIT_W030,0.0,0.0,4,1.3742210295394823e-06,H_diag_B1_R100_P200,0,1.7524207175701237e-05,9776
1.0584331522877672,0.0,0.0,2000,1.0,0.0,1.1606889332352512,BASE_ALPHAEDIT_W030,0.0,0.0,4,1.1591289927692613e-06,N_diag1000,0,9.507383157385982e-06,18110
1.4174955008855394,0.03825483779368319,1.0670731505024071,512,0.9840101517559019,0.0018657635164905572,1.3316379163108911,BASE_ALPHAEDIT_W030,1.5685701746036362,1.0785246621428533,5,1.197059582822578e-06,BaseEval256,204,1.0360788193535571e-05,4459
4.302316284662924,0.07332676355925002,2.8554787390089293,128,0.9937268412269356,-0.46303103722457056,4.27542663156256,BASE_ALPHAEDIT_W030,4.164761914519081,2.83324485347256,5,1.3918162072474725e-06,GeneralEval128,128,3.6356254405762335e-05,16384
1.7189928320008314,0.03906987134659671,1.2567490252588849,66,0.9880634171273747,-0.11741558485981632,1.7130000074178777,BASE_ALPHAEDIT_W030,1.8401059772433996,1.252418609739194,5,1.475328308982594e-06,H_active_variants,66,1.844397775901843e-05,1040
1.701367868054544,0.04180423499938046,1.3643660251740313,600,0.9860705494829798,-0.10529623864933048,1.731503786480407,BASE_ALPHAEDIT_W030,2.0020590774294837,1.3681883220609852,5,1.475328308982594e-06,H_diag_B1_R100_P200,558,2.138307467173545e-05,9776
1.4296908754195854,0.037595059957513464,1.0726341819941507,2000,0.9843807886736095,-0.008569816148748318,1.351095030605798,BASE_ALPHAEDIT_W030,1.577941771204535,1.08286355285103,5,1.172428916734019e-06,N_diag1000,1013,1.1710622803347583e-05,18110
2.146317270988075,0.09629366160667124,1.9712839460923468,512,0.9573681821932518,-0.13276337904873156,1.9266144524356368,BASE_ALPHAEDIT_W030,2.9060211327096335,2.041914036813613,6,1.1708115035965852e-06,BaseEval256,442,1.1890676903127208e-05,4459
6.1436227844309315,0.1749765062725476,4.927869180142331,128,0.9848750448815009,-1.225157533889666,5.978919501469959,BASE_ALPHAEDIT_W030,7.2118586506494555,4.875819215605661,6,1.4188306926831541e-06,GeneralEval128,128,4.010133036153709e-05,16384
2.6219353506532155,0.10414180689086294,2.2875477462931073,66,0.9679447025811365,-0.22088247590854412,2.433647580902324,BASE_ALPHAEDIT_W030,3.3819101761189905,2.3253910794076598,6,1.4334315686132335e-06,H_active_variants,66,1.9199332879098523e-05,1040
2.557867472399958,0.10816444172299572,2.4835478614010125,600,0.9631202395914216,-0.39892490530924024,2.467689903152493,BASE_ALPHAEDIT_W030,3.6583440460531103,2.5269770717134277,6,1.427962653020041e-06,H_diag_B1_R100_P200,600,2.5134846130164876e-05,9776
