F1t_Kt_norm_mean,H1_deltaK_norm_mean,base_action_norm_mean,completion_rows,cosine_mean,direct_drift_signed_dot_mean,direct_write_norm_mean,endpoint,key_delta_norm_mean,key_drift_action_norm_mean,layer,mapping_relative_max,panel,signed_cross_negative,time_split_residual_max,valid_positions
0.0,0.0,0.0,512,1.0,0.0,0.23342016417892303,BASE_ALPHAEDIT_W001,0.0,0.0,4,1.1523290946264222e-06,BaseEval256,0,0.0,4459
0.0,0.0,0.0,128,1.0,0.0,0.50375936402585,BASE_ALPHAEDIT_W001,0.0,0.0,4,1.3607100051906272e-06,GeneralEval128,0,0.0,16384
0.0,0.0,0.0,66,1.0,0.0,0.3854191057945911,BASE_ALPHAEDIT_W001,0.0,0.0,4,1.3168295888829971e-06,H_active_variants,0,0.0,1040
0.0,0.0,0.0,600,1.0,0.0,0.4688563659042628,BASE_ALPHAEDIT_W001,0.0,0.0,4,1.3538109902779519e-06,H_diag_B1_R100_P200,0,0.0,9776
0.0,0.0,0.0,2000,1.0,0.0,0.2359806345518748,BASE_ALPHAEDIT_W001,0.0,0.0,4,1.1467125810453948e-06,N_diag1000,0,0.0,18110
0.0,0.0,0.2273159256377507,512,0.9992527227640583,-0.009141840464536376,0.2790387720208768,BASE_ALPHAEDIT_W001,0.33444246419720836,0.2252133173822108,5,1.1729504367964958e-06,BaseEval256,512,0.0,4459
0.0,0.0,0.48144454486170407,128,0.9998214136913165,-0.025904921660823373,0.6595461054357006,BASE_ALPHAEDIT_W001,0.6996677139680613,0.479171492357235,5,1.3683475764545525e-06,GeneralEval128,128,0.0,16384
0.0,0.0,0.3374752636520902,66,0.998990401700144,-0.03927703391337957,0.5051154382650254,BASE_ALPHAEDIT_W001,0.4973600209424054,0.33578780365031907,5,1.4417138948455552e-06,H_active_variants,66,0.0,1040
0.0,0.0,0.47801401820531664,600,0.9979102954902465,-0.057232693917631125,0.6259770062513891,BASE_ALPHAEDIT_W001,0.7085319009475441,0.4753670447217818,5,1.4417138948455552e-06,H_diag_B1_R100_P200,600,0.0,9776
0.0,0.0,0.2269891784777084,2000,0.9992778823417168,-0.008892243603640824,0.2809168516482781,BASE_ALPHAEDIT_W001,0.3342142997421723,0.2250179661547323,5,1.1430251616890666e-06,N_diag1000,2000,0.0,18110
0.0,0.0,0.416182323094368,512,0.9980280814818417,-0.036314133083851556,0.5098137695797946,BASE_ALPHAEDIT_W001,0.6152772316383492,0.4112868911542169,6,1.1352471626826308e-06,BaseEval256,512,0.0,4459
0.0,0.0,0.8065910016500011,128,0.9995891337071152,-0.07402033001881739,0.949898358047887,BASE_ALPHAEDIT_W001,1.179935052525146,0.8002196398485455,6,1.3886353254643708e-06,GeneralEval128,128,0.0,16384
0.0,0.0,0.6501113987309924,66,0.9969136804776553,-0.11587291531779642,0.7161794275858582,BASE_ALPHAEDIT_W001,0.9591810815539247,0.6454826286188952,6,1.3701885839323012e-06,H_active_variants,66,0.0,1040
0.0,0.0,0.9781485821233588,600,0.9930460990452215,-0.19736357049630116,0.8893899321799325,BASE_ALPHAEDIT_W001,1.4389589139333412,0.968764678798272,6,1.3963759295102343e-06,H_diag_B1_R100_P200,600,0.0,9776
0.0,0.0,0.41140288090638366,2000,0.9980999239175253,-0.03637210590343591,0.5057842005595828,BASE_ALPHAEDIT_W001,0.6078801969107432,0.4067085224922306,6,1.1564426306973894e-06,N_diag1000,2000,0.0,18110
0.0,0.0,0.7107928616082879,512,0.9954475533794984,-0.08581664570823933,0.6645249823973539,BASE_ALPHAEDIT_W001,1.023630118888788,0.692729969555574,7,1.1062989076745068e-06,BaseEval256,512,0.0,4459
0.0,0.0,1.2229350094495088,128,0.9991649476616314,-0.16155107267901928,1.3372834638167206,BASE_ALPHAEDIT_W001,1.7486420622564083,1.2064630151953866,7,1.3655972833135973e-06,GeneralEval128,128,0.0,16384
0.0,0.0,1.0595761561446615,66,0.9937963968162633,-0.21135042058278072,0.954667456845329,BASE_ALPHAEDIT_W001,1.5211025178597843,1.0388414090195068,7,1.3461224879127786e-06,H_active_variants,66,0.0,1040
0.0,0.0,1.4822638567974549,600,0.9873741502882791,-0.3870870517618572,1.1374074022086038,BASE_ALPHAEDIT_W001,2.121692034441125,1.4497341972876399,7,1.3747659560959162e-06,H_diag_B1_R100_P200,600,0.0,9776
0.0,0.0,0.7037905588783813,2000,0.9956165535787787,-0.08469837158749001,0.6650059079344309,BASE_ALPHAEDIT_W001,1.01340272530972,0.6863186602157134,7,1.128305983528815e-06,N_diag1000,2000,0.0,18110
0.0,0.0,1.1004352491703198,512,0.9880358515174561,-0.18981507652234175,1.090977491700583,BASE_ALPHAEDIT_W001,1.5792459216047792,1.063913976331275,8,1.1408906857945435e-06,BaseEval256,512,0.0,4459
0.0,0.0,1.9035001066995867,128,0.9981647093567114,-0.34390597619688545,2.3524510873084203,BASE_ALPHAEDIT_W001,2.692464017734695,1.8630200742990908,8,1.3777311410915483e-06,GeneralEval128,128,0.0,16384
0.0,0.0,1.6218043013666126,66,0.9842041787715453,-0.43841223464452733,1.5372483241195132,BASE_ALPHAEDIT_W001,2.3325483436370438,1.5640601750098193,8,1.3491510035752497e-06,H_active_variants,66,0.0,1040
0.0,0.0,2.2141724016184177,600,0.9706963223375389,-0.8233356946655188,1.776543608262662,BASE_ALPHAEDIT_W001,3.1659926617444634,2.1138780234070684,8,1.3890916252077958e-06,H_diag_B1_R100_P200,600,0.0,9776
0.0,0.0,1.0832592800147558,2000,0.9887205227577829,-0.1901123488900859,1.1008840928707055,BASE_ALPHAEDIT_W001,1.555896182136109,1.0480428677236004,8,1.17739463414758e-06,N_diag1000,2000,0.0,18110
0.3863980567045952,0.0,0.0,512,1.0,0.0,0.5334570512413619,BASE_ALPHAEDIT_W005,0.0,0.0,4,1.164623385256986e-06,BaseEval256,0,8.646344011756186e-06,4459
0.9992954677543922,0.0,0.0,128,1.0,0.0,1.1927744395623243,BASE_ALPHAEDIT_W005,0.0,0.0,4,1.3636461198427142e-06,GeneralEval128,0,2.929690321992663e-05,16384
0.4436284547417531,0.0,0.0,66,1.0,0.0,0.6636130674329824,BASE_ALPHAEDIT_W005,0.0,0.0,4,1.3204428944104724e-06,H_active_variants,0,1.3027067496891993e-05,1040
0.4516172583870225,0.0,0.0,600,1.0,0.0,0.7257652128519727,BASE_ALPHAEDIT_W005,0.0,0.0,4,1.3572119664313745e-06,H_diag_B1_R100_P200,0,1.7276298875591246e-05,9776
0.39200916816579207,0.0,0.0,2000,1.0,0.0,0.537445678470274,BASE_ALPHAEDIT_W005,0.0,0.0,4,1.1399912721224011e-06,N_diag1000,0,9.376525252453156e-06,18110
