TF_prompt_macro,TF_token_micro,W0_forward_KL,W0_top1_matches,count,desired_margin_mean,desired_margin_q01,desired_margin_q05,desired_margin_q50,desired_margin_q95,desired_margin_q99,desired_nll_mean,desired_nll_q01,desired_nll_q05,desired_nll_q50,desired_nll_q95,desired_nll_q99,endpoint,g_mean,g_q01,g_q05,g_q50,g_q95,g_q99,kind,natural_nll_mean,new_nll_mean,new_nll_q01,new_nll_q05,new_nll_q50,new_nll_q95,new_nll_q99,panel,strict,success,ties,token_correct,token_total,true_nll_mean,true_nll_q01,true_nll_q05,true_nll_q50,true_nll_q95,true_nll_q99,unique_cases
0.197265625,0.20689655172413793,,,256,6.945978270953674,-5.5411351203918455,-1.7092622518539429,6.643464207649231,15.521504007279873,19.073204481601703,5.413335908618137,0.02698578024283052,0.26165878027677536,5.035934925079346,12.367054224014282,15.782973337173456,W0,6.945978270953674,-5.5411351203918455,-1.7092622518539429,6.643464207649231,15.521504007279873,19.073204481601703,BASE,,12.359314179571811,4.142543649673462,6.005884885787964,12.025362968444824,19.190401554107666,20.854130744934082,BaseEval256,49,226,0,54,261,5.413335908618137,0.02698578024283052,0.26165878027677536,5.035934925079346,12.367054224014282,15.782973337173456,256
0.0,0.0,,,22,-1.204383297400041,-8.183583090305328,-7.271658027172089,-1.2580699920654297,2.768613195419311,3.0073729705810543,9.887898575175893,5.414479627609253,5.4651366710662845,9.831450462341309,14.811453056335449,14.971380805969238,W0,1.204383297400041,-3.007372970581055,-2.7686131954193116,1.2580699920654297,7.271658027172087,8.183583090305328,P,,9.887898575175893,5.414479627609253,5.4651366710662845,9.831450462341309,14.811453056335449,14.971380805969238,H_active_variants,0,10,0,0,22,8.683515277775852,2.3197599959373476,2.8169141173362733,7.856227874755859,13.684127283096313,13.765599250793457,5
0.0,0.0,,,11,-1.806338288567283,-9.816372752189636,-8.776757597923279,-1.7226800918579102,3.4577646255493164,3.9696641921997076,9.057625337080522,5.705218410491943,5.832026958465576,8.374320983886719,13.09639596939087,13.35160264968872,W0,1.806338288567283,-3.969664192199707,-3.4577646255493164,1.7226800918579102,8.776757597923279,9.816372752189638,R,,9.057625337080522,5.705218410491943,5.832026958465576,8.374320983886719,13.09639596939087,13.35160264968872,H_active_variants,0,4,0,0,11,7.251287048513239,2.820843815803528,3.2997747659683228,3.950836181640625,13.28306770324707,13.28306770324707,5
0.0,0.0,,,200,-5.172634783741087,-15.01134048771113,-11.138510796427727,-5.0620458126068115,2.1906823158264097,6.111202068328856,10.18414639234543,2.9980367946624757,4.384923183918,10.168657302856445,15.58474416732788,18.057232398986812,W0,5.172634783741087,-6.111202068328858,-2.1906823158264155,5.0620458126068115,11.138510796427726,15.011340487711125,P,,10.18414639234543,2.9980367946624757,4.384923183918,10.168657302856445,15.58474416732788,18.057232398986812,H_diag_B1_R100_P200,0,20,0,0,202,5.011511608604342,0.043453954141587016,0.3139038950204851,4.745981216430664,11.62685208320617,13.51932946205139,100
0.0,0.0,,,100,-6.844112052409909,-15.67901613779366,-13.96619393825531,-6.767663478851318,-0.6171997070312547,3.851522111892703,11.7433970785141,4.667983140945434,5.754274702072143,11.794806003570557,17.857254028320312,20.549540348052982,W0,6.844112052409909,-3.8515221118927,0.6171997070312503,6.767663478851318,13.966193938255309,15.679016137793681,R,,11.7433970785141,4.667983140945434,5.754274702072143,11.794806003570557,17.857254028320312,20.549540348052982,H_diag_B1_R100_P200,0,5,0,0,101,4.89928502610419,0.003682980490848422,0.09746769741177559,4.411769390106201,12.17258296012878,14.300746383666997,100
0.2505,0.2549019607843137,,,1000,5.736193119339761,-4.7549212503433225,-1.9755010604858396,6.115643739700317,13.603120439499616,16.931270771995187,4.858352491594735,0.012614923305809498,0.1533190578222275,4.389630317687988,11.711236619949338,14.770119600296015,W0,5.736193119339761,-4.7549212503433225,-1.9755010604858396,6.115643739700317,13.603120439499616,16.931270771995187,N,,10.594545610934496,3.049190833568573,5.042965602874756,10.604002952575684,16.405746364593504,18.405319232940673,N_diag1000,241,876,0,260,1020,4.858352491594735,0.012614923305809498,0.1533190578222275,4.389630317687988,11.711236619949338,14.770119600296015,100
,,,,100,,,,,,,,,,,,,W0,,,,,,,R+twoP_joint,,,,,,,,H_diag_B1_R100_P200,0,5,,,,,,,,,,
0.4761962890625,0.4761962890625,0.0,8192,128,,,,,,,,,,,,,W0,,,,,,,GENERAL,2.620678081002552,,,,,,,GeneralEval128,0,,,3901,8192,,,,,,,128
0.220703125,0.22988505747126436,,,256,7.088461230308894,-5.278358364105225,-2.210268259048462,6.773330599069595,16.229318484663963,19.31234886944293,5.096150814377324,0.014118535025045276,0.18076230213046074,4.589861869812012,11.88617467880249,15.213022756576526,BASE_ALPHAEDIT_W001,7.088461230308894,-5.278358364105225,-2.210268259048462,6.773330599069595,16.229318484663963,19.31234886944293,BASE,,12.184612044686219,4.018607342243195,5.70459771156311,12.151710033416748,18.772488117218018,21.45638494491576,BaseEval256,55,228,0,60,261,5.096150814377324,0.014118535025045276,0.18076230213046074,4.589861869812012,11.88617467880249,15.213022756576526,256
0.0,0.0,,,22,-1.0262001427737149,-8.179267661571503,-7.3107064962387085,-0.41842031478881836,2.959893143177032,3.382663693428039,8.527053713798523,3.671395890712738,3.7606757998466493,8.682016372680664,12.155780792236328,12.19844422340393,BASE_ALPHAEDIT_W001,1.0262001427737149,-3.3826636934280394,-2.9598931431770326,0.41842031478881836,7.3107064962387085,8.179267661571501,P,,8.527053713798523,3.671395890712738,3.7606757998466493,8.682016372680664,12.155780792236328,12.19844422340393,H_active_variants,0,10,0,0,22,7.500853571024808,2.3891865468025206,2.9119925975799563,7.694160461425781,11.963597679138182,12.059123992919922,5
