action_mean,cross_mean,pair,panel,relative_max,residual_max,rows,source_runtime_key_equal,tensor_reconstruction,zero_action_rows
0.8575238153821143,0.8575238280679225,BASE_ALPHAEDIT_s001_t050,BaseEval256,1.2202271617118975e-06,2.04309676869929e-05,512,True,NOT_AVAILABLE,0
1.4696820497837244,1.4696820651610727,BASE_ALPHAEDIT_s001_t050,GeneralEval128,1.895714032905164e-06,7.288727898258096e-05,128,True,NOT_AVAILABLE,0
0.9983152909653342,0.9983153100590472,BASE_ALPHAEDIT_s001_t050,H_active_variants,1.620266111918246e-06,3.156741884900221e-05,66,True,NOT_AVAILABLE,0
1.0300038939146607,1.0300038769171693,BASE_ALPHAEDIT_s001_t050,H_diag_B1_R100_P200,1.7565673456144805e-06,4.31754806873935e-05,600,True,NOT_AVAILABLE,0
0.8831041728681307,0.8831041751093287,BASE_ALPHAEDIT_s001_t050,N_diag1000,1.354772847401547e-06,2.2634195540475637e-05,2000,True,NOT_AVAILABLE,0
1.032527080339997,1.0325270935328497,BASE_ALPHAEDIT_s001_t090,BaseEval256,1.0896498291256719e-06,3.3546303481963566e-05,512,True,NOT_AVAILABLE,0
2.5555348898677073,2.555534851963956,BASE_ALPHAEDIT_s001_t090,GeneralEval128,1.214960791174558e-06,0.0001156496038359475,128,True,NOT_AVAILABLE,0
1.284454097822806,1.2844541015509463,BASE_ALPHAEDIT_s001_t090,H_active_variants,9.349395412855507e-07,4.667683494278904e-05,66,True,NOT_AVAILABLE,0
1.4874837768834386,1.487483756026024,BASE_ALPHAEDIT_s001_t090,H_diag_B1_R100_P200,1.1995582483230407e-06,6.325778675335797e-05,600,True,NOT_AVAILABLE,0
1.057133937600606,1.057133927024834,BASE_ALPHAEDIT_s001_t090,N_diag1000,1.0398192992985897e-06,3.245225457218865e-05,2000,True,NOT_AVAILABLE,0
0.5095393062157667,0.5095393117304143,BASE_ALPHAEDIT_s001_t010,BaseEval256,1.4363347440709993e-06,1.725091763778052e-05,512,True,NOT_AVAILABLE,0
0.6320619177350562,0.6320619097997595,BASE_ALPHAEDIT_s001_t010,GeneralEval128,1.913855377206941e-06,6.312063253145989e-05,128,True,NOT_AVAILABLE,0
0.47094144789374875,0.47094139580864974,BASE_ALPHAEDIT_s001_t010,H_active_variants,1.801173094917999e-06,2.760432000811947e-05,66,True,NOT_AVAILABLE,0
0.49837503937782174,0.4983750182773004,BASE_ALPHAEDIT_s001_t010,H_diag_B1_R100_P200,1.8554659904584946e-06,3.769057189053078e-05,600,True,NOT_AVAILABLE,0
0.510774543915526,0.5107745433047213,BASE_ALPHAEDIT_s001_t010,N_diag1000,1.4964137102299607e-06,1.9276427603532213e-05,2000,True,NOT_AVAILABLE,0
1.0873264922750094,1.087326498914812,BASE_ALPHAEDIT_s001_t100,BaseEval256,9.84192870450342e-07,3.325940337612696e-05,512,True,NOT_AVAILABLE,0
2.8552125214811435,2.855212515474915,BASE_ALPHAEDIT_s001_t100,GeneralEval128,9.804285724067095e-07,0.0001354403782901269,128,True,NOT_AVAILABLE,0
1.399506738279884,1.3995066327322945,BASE_ALPHAEDIT_s001_t100,H_active_variants,9.62287562059142e-07,5.382955035597561e-05,66,True,NOT_AVAILABLE,0
1.6426230261032608,1.6426230083589821,BASE_ALPHAEDIT_s001_t100,H_diag_B1_R100_P200,1.1250727736331832e-06,7.517878389715276e-05,600,True,NOT_AVAILABLE,0
1.108175760391343,1.1081757485784989,BASE_ALPHAEDIT_s001_t100,N_diag1000,1.1441567271309808e-06,3.620003987331028e-05,2000,True,NOT_AVAILABLE,0
0.6666426365225143,0.6666425921598171,BASE_MEMIT_s001_t010,BaseEval256,1.3060330616778274e-06,1.8039716090883626e-05,512,True,NOT_AVAILABLE,0
0.689817579444703,0.6898175185080436,BASE_MEMIT_s001_t010,GeneralEval128,1.9505194609058857e-06,6.428823481480591e-05,128,True,NOT_AVAILABLE,0
0.7530930805745304,0.7530930757799195,BASE_MEMIT_s001_t010,H_active_variants,1.6383707466094487e-06,2.8698182613864594e-05,66,True,NOT_AVAILABLE,0
0.8671121018219344,0.8671120804845482,BASE_MEMIT_s001_t010,H_diag_B1_R100_P200,1.7470795523102471e-06,3.8160449423161156e-05,600,True,NOT_AVAILABLE,0
0.6679806688162833,0.6679806561931859,BASE_MEMIT_s001_t010,N_diag1000,1.4605283788391833e-06,1.979761645144806e-05,2000,True,NOT_AVAILABLE,0
0.880169837149472,0.880169830751347,BASE_MEMIT_s001_t020,BaseEval256,4.6646114212592857e-07,5.8934120564769196e-05,512,True,NOT_AVAILABLE,0
3.679133080355698,3.67913319108677,BASE_MEMIT_s001_t020,GeneralEval128,6.286940871693194e-07,0.00023888141895306845,128,True,NOT_AVAILABLE,0
1.5897165870493417,1.5897163370429026,BASE_MEMIT_s001_t020,H_active_variants,5.92326708374246e-07,0.00010345127399648503,66,True,NOT_AVAILABLE,0
1.9116185417342058,1.9116184992415977,BASE_MEMIT_s001_t020,H_diag_B1_R100_P200,6.472529717454155e-07,0.00011293411700871917,600,True,NOT_AVAILABLE,0
0.8976071655545963,0.8976071512165855,BASE_MEMIT_s001_t020,N_diag1000,5.362292866478961e-07,6.156440080550881e-05,2000,True,NOT_AVAILABLE,0
