base,arm,metric,denominator,lost,gained,net,margin_mean_change,margin_change_p01,margin_change_p05,margin_change_p50,margin_change_p95,margin_change_p99,margin_worsened
W0,N4,RS,100,0,95,95,22.001442100253552,10.948563494042027,14.493673535248671,21.878298157520476,31.693857272529566,34.68044129402495,0
W0,N4,PS,200,0,174,174,13.657276997453591,1.7944259715080262,4.549744772911072,12.830497669056058,24.459071244654474,27.66186737471492,0
W0,N4,NS,1000,24,3,-21,-0.5470259867423447,-9.461907367110252,-2.2921884585171934,-0.14296042919158936,0.5447781562805174,1.0593837404623625,649
OWN_NATIVE,N4,RS,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
OWN_NATIVE,N4,PS,200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
OWN_NATIVE,N4,NS,1000,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
W0,EN_KL_Q,RS,100,0,95,95,22.00144180936775,10.94858233864652,14.493672963044082,21.878301018543425,31.69387834873196,34.68044678718901,0
W0,EN_KL_Q,PS,200,0,174,174,13.657192340661423,1.7944639563560485,4.549836373329162,12.830354722216725,24.458955248282287,27.661819883089038,0
W0,EN_KL_Q,NS,1000,24,3,-21,-0.546998519801884,-9.461752566695214,-2.292171350494027,-0.14273667335510254,0.5447854042053221,1.0594033578038213,649
OWN_NATIVE,EN_KL_Q,RS,100,0,0,0,-2.9088580049574376e-07,-4.96673583984375e-05,-3.342628479003906e-05,1.430511474609375e-06,2.875328063964843e-05,3.828383283689619e-05,43
OWN_NATIVE,EN_KL_Q,PS,200,0,0,0,-8.465679216897115e-05,-0.0008728871820494532,-0.0005092978477478028,-4.273722879588604e-05,0.00026930309832096094,0.0005809569358825669,120
OWN_NATIVE,EN_KL_Q,NS,1000,0,0,0,2.746694046072662e-05,-0.00045305252075195313,-0.00023750066757202148,1.5079975128173828e-05,0.0003426194190979004,0.0005913376808166491,437
W0,DEC_LINE,RS,100,0,95,95,22.001442100253552,10.948563494042027,14.493673535248671,21.878298157520476,31.693857272529566,34.68044129402495,0
W0,DEC_LINE,PS,200,0,174,174,13.657276997453591,1.7944259715080262,4.549744772911072,12.830497669056058,24.459071244654474,27.66186737471492,0
W0,DEC_LINE,NS,1000,24,3,-21,-0.5470259867423447,-9.461907367110252,-2.2921884585171934,-0.14296042919158936,0.5447781562805174,1.0593837404623625,649
OWN_NATIVE,DEC_LINE,RS,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
OWN_NATIVE,DEC_LINE,PS,200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
OWN_NATIVE,DEC_LINE,NS,1000,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
W0,DEC_MODES_CUM,RS,100,0,95,95,22.001442100253552,10.948563494042027,14.493673535248671,21.878298157520476,31.693857272529566,34.68044129402495,0
W0,DEC_MODES_CUM,PS,200,0,174,174,13.657276997453591,1.7944259715080262,4.549744772911072,12.830497669056058,24.459071244654474,27.66186737471492,0
W0,DEC_MODES_CUM,NS,1000,24,3,-21,-0.5470259867423447,-9.461907367110252,-2.2921884585171934,-0.14296042919158936,0.5447781562805174,1.0593837404623625,649
OWN_NATIVE,DEC_MODES_CUM,RS,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
OWN_NATIVE,DEC_MODES_CUM,PS,200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
OWN_NATIVE,DEC_MODES_CUM,NS,1000,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
