arm,metric,field,n,mean,min,max,p50,p95,p99
N4,RS,true_nll,100,15.158803958892822,4.724966049194336,27.623455047607422,15.352999687194824,21.52030305862427,25.197572860717784
N4,RS,new_nll,100,0.0014747791908303043,6.8662193370983e-05,0.010843047872185707,0.0008785440295469016,0.004109230940230191,0.007269596876576561
N4,RS,desired_margin,100,15.157329179701993,4.722310020355508,27.62338638541405,15.352202142647002,21.51982582889468,25.194682260493586
N4,PS,true_nll,200,10.128058288097382,0.8850492238998413,20.07465934753418,10.020768165588379,17.055838584899902,19.590581073760983
N4,PS,new_nll,200,1.6434159678695142,0.0004940004437230527,10.728784561157227,0.41059547662734985,6.827274560928337,9.775336790084834
N4,PS,desired_margin,200,8.484642320227868,-5.417385220527649,20.06863196892664,8.352334763854742,16.8315400294261,19.071170592611885
N4,NS,true_nll,1000,5.526379764106998,0.0007868293323554099,18.68256378173828,5.322612285614014,12.117837381362914,14.514519882202148
N4,NS,new_nll,1000,11.133343543333002,0.002091008238494396,23.54230308532715,11.103095054626465,17.277682018280025,20.177661476135253
N4,NS,desired_margin,1000,5.606963779226004,-12.930653971619904,19.899413488805294,5.610284924507141,13.984140598773955,16.515471247434615
EN_KL_Q,RS,true_nll,100,15.158803663253785,4.724985122680664,27.623441696166992,15.353013038635254,21.520272731781006,25.197580280303967
EN_KL_Q,RS,new_nll,100,0.0014747744375927141,6.8662193370983e-05,0.010843047872185707,0.0008785440295469016,0.004109230940230191,0.007269596876576561
EN_KL_Q,RS,desired_margin,100,15.157328888816192,4.722329093841836,27.62337303397362,15.352215494087432,21.519795496093867,25.194689562293075
EN_KL_Q,PS,true_nll,200,10.127995676994324,0.8851217031478882,20.073715209960938,10.02083683013916,17.055935668945313,19.590680141448974
EN_KL_Q,PS,new_nll,200,1.6434380135586253,0.0004940004437230527,10.726085662841797,0.4105531722307205,6.827252578735343,9.77604167938232
EN_KL_Q,PS,desired_margin,200,8.484557663435698,-5.417251706123352,20.06768463179469,8.352208333089948,16.83150403880281,19.0712870642601
EN_KL_Q,NS,true_nll,1000,5.526383670567011,0.0007868293323554099,18.682693481445312,5.322602272033691,12.117884778976439,14.514499073028563
EN_KL_Q,NS,new_nll,1000,11.133374916733475,0.0020913651678711176,23.542373657226562,11.103238105773926,17.27773694992065,20.177765846252438
EN_KL_Q,NS,desired_margin,1000,5.606991246166465,-12.930425686528906,19.899506837129593,5.610350608825684,13.983791387081146,16.515539841651915
DEC_LINE,RS,true_nll,100,15.158803958892822,4.724966049194336,27.623455047607422,15.352999687194824,21.52030305862427,25.197572860717784
DEC_LINE,RS,new_nll,100,0.0014747791908303043,6.8662193370983e-05,0.010843047872185707,0.0008785440295469016,0.004109230940230191,0.007269596876576561
DEC_LINE,RS,desired_margin,100,15.157329179701993,4.722310020355508,27.62338638541405,15.352202142647002,21.51982582889468,25.194682260493586
DEC_LINE,PS,true_nll,200,10.128058288097382,0.8850492238998413,20.07465934753418,10.020768165588379,17.055838584899902,19.590581073760983
DEC_LINE,PS,new_nll,200,1.6434159678695142,0.0004940004437230527,10.728784561157227,0.41059547662734985,6.827274560928337,9.775336790084834
DEC_LINE,PS,desired_margin,200,8.484642320227868,-5.417385220527649,20.06863196892664,8.352334763854742,16.8315400294261,19.071170592611885
DEC_LINE,NS,true_nll,1000,5.526379764106998,0.0007868293323554099,18.68256378173828,5.322612285614014,12.117837381362914,14.514519882202148
DEC_LINE,NS,new_nll,1000,11.133343543333002,0.002091008238494396,23.54230308532715,11.103095054626465,17.277682018280025,20.177661476135253
DEC_LINE,NS,desired_margin,1000,5.606963779226004,-12.930653971619904,19.899413488805294,5.610284924507141,13.984140598773955,16.515471247434615
DEC_MODES_CUM,RS,true_nll,100,15.158803958892822,4.724966049194336,27.623455047607422,15.352999687194824,21.52030305862427,25.197572860717784
DEC_MODES_CUM,RS,new_nll,100,0.0014747791908303043,6.8662193370983e-05,0.010843047872185707,0.0008785440295469016,0.004109230940230191,0.007269596876576561
DEC_MODES_CUM,RS,desired_margin,100,15.157329179701993,4.722310020355508,27.62338638541405,15.352202142647002,21.51982582889468,25.194682260493586
DEC_MODES_CUM,PS,true_nll,200,10.128058288097382,0.8850492238998413,20.07465934753418,10.020768165588379,17.055838584899902,19.590581073760983
DEC_MODES_CUM,PS,new_nll,200,1.6434159678695142,0.0004940004437230527,10.728784561157227,0.41059547662734985,6.827274560928337,9.775336790084834
DEC_MODES_CUM,PS,desired_margin,200,8.484642320227868,-5.417385220527649,20.06863196892664,8.352334763854742,16.8315400294261,19.071170592611885
DEC_MODES_CUM,NS,true_nll,1000,5.526379764106998,0.0007868293323554099,18.68256378173828,5.322612285614014,12.117837381362914,14.514519882202148
DEC_MODES_CUM,NS,new_nll,1000,11.133343543333002,0.002091008238494396,23.54230308532715,11.103095054626465,17.277682018280025,20.177661476135253
DEC_MODES_CUM,NS,desired_margin,1000,5.606963779226004,-12.930653971619904,19.899413488805294,5.610284924507141,13.984140598773955,16.515471247434615
W0,RS,true_nll,100,4.899285252303816,0.0032719431910663843,15.272205352783203,4.411774158477783,12.17257852554321,14.300750102996831
W0,RS,new_nll,100,11.743398172855377,2.6649434566497803,21.15650177001953,11.794809341430664,17.85722961425781,20.54955348968506
W0,RS,desired_margin,100,-6.844112920551561,-19.781265690922737,4.406447410583496,-6.767649173736572,-0.6172097682952927,3.8515192222595243
W0,PS,true_nll,200,5.011512103741989,0.015909049659967422,18.12643814086914,4.745984792709351,11.626846599578851,13.519330320358273
W0,PS,new_nll,200,10.184146780967712,2.29310941696167,18.510713577270508,10.16865348815918,15.584749317169189,18.057230358123775
W0,PS,desired_margin,200,-5.172634677225724,-18.461957179009914,8.01390027999878,-5.06204891204834,2.190676355361932,6.111190600395202
W0,NS,true_nll,1000,5.548876543793653,0.0006337541271932423,19.437641143798828,5.327509164810181,12.224353837966918,15.0020481300354
W0,NS,new_nll,1000,11.702866309762001,1.4505696296691895,23.890642166137695,11.753228187561035,17.844212245941154,20.694358615875245
W0,NS,desired_margin,1000,6.1539897659683485,-7.564944267272949,19.776073440909386,6.283679723739624,14.603695090115068,17.407033039331434
