arm,trial,scale,reason,accepted,actual_delta_norm,ideal_delta_norm,loss,actual_p,actual_armijo_rhs,current,reference_phi,reference_mismatches
EN_KL_Q,1,1.0,ARMIJO_OR_RESOLUTION,False,0.0679776475882366,0.06797764723581781,0.0030472234176402097,-0.0011203903564337785,0.0011202783110930185,,,
EN_KL_Q,2,0.5,ARMIJO_OR_RESOLUTION,False,0.033988823693705726,0.033988823617908906,0.001655110184230344,-0.0005601951696582144,0.0011203343306116962,,,
EN_KL_Q,3,0.25,ARMIJO_OR_RESOLUTION,False,0.016994411674242135,0.016994411808954453,0.0011717812475477852,-0.000280097588412894,0.0011203623403698206,,,
EN_KL_Q,4,0.125,ACCEPTED_KL,True,0.008497206339505382,0.008497205904477226,0.0010582001647249557,-0.00014004879198331683,0.0011203763452494635,True,,
DEC_LINE,1,1.0,FP32_NO_MOVE,False,0.0,0.0,,,,,,
DEC_LINE,2,0.5,FP32_NO_MOVE,False,0.0,0.0,,,,,,
DEC_LINE,3,0.25,FP32_NO_MOVE,False,0.0,0.0,,,,,,
DEC_LINE,4,0.125,FP32_NO_MOVE,False,0.0,0.0,,,,,,
DEC_MODES_CUM,1,1.0,FP32_NO_MOVE,False,0.0,3.8590894570270368e-31,,,,,,
DEC_MODES_CUM,2,0.5,FP32_NO_MOVE,False,0.0,1.9295447285135184e-31,,,,,,
DEC_MODES_CUM,3,0.25,FP32_NO_MOVE,False,0.0,9.647723642567592e-32,,,,,,
DEC_MODES_CUM,4,0.125,FP32_NO_MOVE,False,0.0,4.823861821283796e-32,,,,,,
