arm,status,RS_count,PS_count,NS_count
N4,RAW_NLL_REDUCED,100,194,865
EN_KL_Q,RAW_NLL_REDUCED,100,194,865
DEC_LINE,RAW_NLL_REDUCED,100,194,865
DEC_MODES_CUM,RAW_NLL_REDUCED,100,194,865
