arm,status,rewrite_new_nll_mean,rewrite_new_nll_median,rewrite_new_nll_p90,rewrite_new_strict_num,rewrite_new_strict_den,rewrite_true_nll_mean,rephrase_new_nll_mean,rephrase_new_nll_median,rephrase_new_nll_p90,rephrase_new_strict_num,rephrase_new_strict_den,rephrase_true_nll_mean,locality_true_nll_mean,locality_true_nll_median,locality_true_nll_p90,waypoint_count,barrier_active_count,terminal_absolute_closure,terminal_budget,terminal_spent_action,terminal_budget_error,terminal_weight_root
PRE_EDIT,OBSERVATION_ONLY,13.508628845214844,13.508628845214844,13.508628845214844,0,1,15.270679473876953,8.112191796302795,8.112191796302795,11.726276707649232,0,2,11.03089189529419,6.716901469230652,5.613664627075195,10.689130210876465,0,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
OFFICIAL_MEMIT,TERMINAL_VALID,0.013015670701861382,0.013015670701861382,0.013015670701861382,1,1,11.649284362792969,7.152511358261108,7.152511358261108,10.681700849533081,0,2,11.179830074310303,6.635388946533203,5.554378032684326,10.672865772247315,0,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
FROZEN_SPLIT,TERMINAL_VALID,0.0004587313160300255,0.0004587313160300255,0.0004587313160300255,1,1,16.25910758972168,6.977920651435852,6.977920651435852,10.283756279945374,0,2,11.163696765899658,6.651529598236084,5.559516668319702,10.672037601470947,4,0,0.0011949756881222129,0.00017695863789413124,0.00021951512098894455,4.25564830948133e-05,f001ad172344724dadc7a4430127cf517889daba3b5447541b263a751f9a870b
REFRESHED_EQUALITY_ONLY,TERMINAL_VALID,0.0004634975048247725,0.0004634975048247725,0.0004634975048247725,1,1,16.241289138793945,7.036352753639221,7.036352753639221,10.336578869819641,0,2,11.149927616119385,6.658920121192932,5.562435865402222,10.6737699508667,4,0,0.0013510020216926932,0.00017695863789413124,0.00017077418669941835,-6.184451194712892e-06,b905771e18f577e10553a707a4220ee32c9d949f687b15aff97948a84f3829dd
FZCB,TERMINAL_VALID,0.0004634975048247725,0.0004634975048247725,0.0004634975048247725,1,1,16.241289138793945,7.036352753639221,7.036352753639221,10.336578869819641,0,2,11.149927616119385,6.658920121192932,5.562435865402222,10.6737699508667,4,0,0.0013510020216926932,0.00017695863789413124,0.00017077418669941835,-6.184451194712892e-06,b905771e18f577e10553a707a4220ee32c9d949f687b15aff97948a84f3829dd
STATIC_PATH,TERMINAL_VALID,0.00045622908510267735,0.00045622908510267735,0.00045622908510267735,1,1,16.231159210205078,6.79605770111084,6.79605770111084,10.020272636413575,0,2,11.172911643981934,6.6481143712997435,5.556397914886475,10.672944831848145,2,0,0.00015586162044201046,0.00017695863789413124,0.00023355524172075093,5.6596603826619685e-05,707bd88b887fda392fddcd691ef73c39166428e6520930ddf17aa55fbc1d804e
