W0_restored_count,action_frozen_count,alias,allocation_coefficient_share_layer_4_mean,allocation_coefficient_share_layer_5_mean,allocation_coefficient_share_layer_6_mean,allocation_coefficient_share_layer_7_mean,allocation_coefficient_share_layer_8_mean,applied_coordinate_update_count_total,arm,bf16_capacity_final_sum_mean,bf16_update_energy_path_sum_mean,case_arm_denominator,clamp_policy,compute_candidate_forward_count_sum,compute_candidate_materialization_count_sum,compute_kl_backward_count_sum,compute_kl_forward_count_sum,compute_physical_capture_forward_count_sum,compute_physical_response_batched_vjp_count_sum,compute_physical_response_forward_count_sum,compute_post_write_objective_forward_count_sum,compute_target_backward_count_sum,compute_target_forward_count_sum,compute_writer_materialization_count_sum,negative_actual_count,outer_h_application_count_total,physical_h_application_count_total,remaining_division_count_total,request_denominator,request_simplex_max_abs_residual_max,residual_presplit_count_total,route_fallback_counts,route_status_counts,routing_dof,second_h_application_count_total,semantic_debt_input_count_total,soft_requestwise_no_weaker_max_violation_max,target_event_kind,target_event_occurrence_count,target_event_request_count,target_microsteps,target_net_origin_displacement_norm_mean,target_path_displacement_norm_mean,target_wall_seconds_sum,terminal_cumulative_structural_p_mean,terminal_full_six_target_new_nll_mean,terminal_w_evaluator_wall_seconds_sum,terminal_z_evaluator_wall_seconds_sum,total_wall_seconds_sum,unreachable_event_count,unreachable_unique_request_count_sum,w_efficacy_correct,w_efficacy_denominator,w_efficacy_mean_margin,w_efficacy_mean_target_new_nll,w_efficacy_rate,w_generalization_correct,w_generalization_denominator,w_generalization_mean_margin,w_generalization_mean_target_new_nll,w_generalization_rate,w_locality-preservation_correct,w_locality-preservation_denominator,w_locality-preservation_mean_margin,w_locality-preservation_mean_target_new_nll,w_locality-preservation_rate,writer_h_numeric_multiplication_count_total,writer_materializations,writer_net_norm,writer_path_norm,writer_realization_mean,writer_realization_median_mean_of_case_medians,writer_realization_p90_mean_of_case_p90,writer_transitions,writer_update_norm,writer_wall_seconds_sum,z_efficacy_correct,z_efficacy_denominator,z_efficacy_mean_margin,z_efficacy_mean_target_new_nll,z_efficacy_rate,z_generalization_correct,z_generalization_denominator,z_generalization_mean_margin,z_generalization_mean_target_new_nll,z_generalization_rate,z_locality-preservation_correct,z_locality-preservation_denominator,z_locality-preservation_mean_margin,z_locality-preservation_mean_target_new_nll,z_locality-preservation_rate,z_to_w_efficacy_margin_gap,z_to_w_efficacy_new_nll_gap,z_to_w_generalization_margin_gap,z_to_w_generalization_new_nll_gap,z_to_w_locality-preservation_margin_gap,z_to_w_locality-preservation_new_nll_gap
10,10,llama3-8b-inst,0.04384492921699381,0.015015834252565469,0.008765778999997729,0.016265698470176886,0.9161077590602661,80,NEUTRAL,119.74155073249156,117.9548098061542,10,OFF,0,0,1200,1250,450,400,400,400,1200,1250,80,6,80,0,0,100,4.440892098500626e-16,0,"{""None"":80}","{""NEUTRAL_CERTIFIED"":80}",NOT_RECORDED,0,0,0.0,clamp_would_hit,2400,100,240,10.576581632525528,22.68892526145305,249.3560467096977,0.22419580762627606,0.0008668189866511966,11.936682391446084,12.012368672527373,968.3849233114161,1,1,100,100,16.925205606222153,0.08542999863624573,1.0,193,200,10.438807120323181,1.1307808923721314,0.965,741,1000,3.3880174827575686,8.454369686126709,0.741,0,80,NOT_RECORDED,NOT_RECORDED,0.678694428970599,0.7840986626551947,0.9454098612931576,80,NOT_RECORDED,593.3990585911088,100,100,17.05081013441086,0.0004493260383605957,1.0,194,200,10.542519313097,1.0436061751842498,0.97,741,1000,3.388017482757568,8.454369686126709,0.741,-0.12560452818870615,0.08498067259788514,-0.10371219277381805,0.08717471718788161,4.440892098500626e-16,0.0
10,10,llama3-8b-inst,0.04385234966837318,0.015016862747513243,0.008795343180118653,0.012493687375207986,0.9198417570287871,80,SOFTP,119.77376948622823,117.96057844327413,10,OFF,0,0,1200,1250,450,400,400,400,1200,1250,80,6,80,0,0,100,2.1938006966593093e-13,0,"{""CAPACITY_TIE_SOLVE_UNCERTIFIED"":11,""None"":25,""REQUESTWISE_NO_WEAKER_CERTIFICATE_FAILED"":44}","{""SOFT_CERTIFIED"":25,""SOFT_NEUTRAL_FALLBACK"":55}",NOT_RECORDED,0,0,9.999999999999904e-09,clamp_would_hit,2400,100,240,10.577560605303166,22.68999978234367,251.92707331618294,0.22426523743123666,0.000866822540119756,11.929098822642118,12.015688127372414,990.9890673789196,1,1,100,100,16.913953131437303,0.08605739712715149,1.0,193,200,10.453421455621719,1.128821586370468,0.965,738,1000,3.3874559936523436,8.456018684387207,0.738,0,80,NOT_RECORDED,NOT_RECORDED,0.6534804384048889,0.788738955630939,0.9514849679765705,80,NOT_RECORDED,611.5579795176163,100,100,17.053933658599853,0.00045186996459960937,1.0,194,200,10.537186923027038,1.0451482820510865,0.97,738,1000,3.3874559936523436,8.456018684387207,0.738,-0.1399805271625496,0.08560552716255188,-0.08376546740531943,0.08367330431938158,0.0,0.0
10,10,llama3-8b-inst,0.054922202436396915,0.031344946346372395,0.038906228880545915,0.03666212532071787,0.838164497015967,80,NEUTRAL,44.35424055674808,52.94354507609354,10,ON,0,0,1200,1250,450,400,400,400,1200,1250,80,40,80,0,0,100,3.3306690738754696e-16,0,"{""None"":80}","{""NEUTRAL_CERTIFIED"":80}",NOT_RECORDED,0,0,0.0,clamp_hit,1067,100,240,,27.234940779606795,264.4139556000009,0.0720680003409591,0.06421386994996282,11.731811354868114,11.859583295416087,1022.4653914044611,2,2,99,100,16.69732384085655,0.17146705269813536,0.99,188,200,9.082253130674362,1.6532211124897003,0.94,841,1000,5.142724605560303,9.996859931945801,0.841,0,80,NOT_RECORDED,NOT_RECORDED,0.5868658896284169,0.7636790999348007,1.1270035876638331,80,NOT_RECORDED,631.5998303685337,100,100,16.90376763343811,0.0918973445892334,1.0,189,200,9.133713936805725,1.621644949913025,0.945,841,1000,5.142724605560303,9.996859931945801,0.841,-0.20644379258155965,0.07956970810890196,-0.05146080613136306,0.03157616257667528,0.0,0.0
10,10,llama3-8b-inst,0.054924274422247885,0.030080523437414387,0.03514537780189395,0.03545932142603033,0.8443905029124135,80,SOFTP,43.52957651283553,52.7295052373884,10,ON,0,0,1200,1250,450,400,400,400,1200,1250,80,40,80,0,0,100,4.376499163072367e-13,0,"{""CAPACITY_TIE_SOLVE_UNCERTIFIED"":7,""None"":9,""REQUESTWISE_NO_WEAKER_CERTIFICATE_FAILED"":64}","{""SOFT_CERTIFIED"":9,""SOFT_NEUTRAL_FALLBACK"":71}",NOT_RECORDED,0,0,9.999999999994822e-09,clamp_hit,1077,100,240,,27.278252581802377,265.69099872233346,0.07090394276299118,0.1297327112867424,11.747557345312089,11.875071723014116,1053.9442597758025,2,2,99,100,16.586851612329482,0.22380939841270447,0.99,188,200,9.074732836484909,1.671327039003372,0.94,840,1000,5.154336807250977,10.006054786682128,0.84,0,80,NOT_RECORDED,NOT_RECORDED,0.7231078325110808,0.7632542757564862,1.127796599185357,80,NOT_RECORDED,657.8217902006581,100,100,16.72322365641594,0.16306723713874816,1.0,189,200,9.130479047298431,1.6348789238929748,0.945,840,1000,5.154336807250977,10.006054786682128,0.84,-0.13637204408645687,0.06074216127395632,-0.05574621081352227,0.03644811511039725,0.0,0.0
10,10,qwen2.5-7b-inst,0.008704557232931757,0.008487976646101679,0.013973932264952537,0.04640826974706122,0.9224252641089528,80,NEUTRAL,188.7901803777749,191.04670949325393,10,OFF,0,0,1200,1250,450,400,400,400,1200,1250,80,9,80,0,0,100,3.3306690738754696e-16,0,"{""None"":80}","{""NEUTRAL_CERTIFIED"":80}",NOT_RECORDED,0,0,0.0,clamp_would_hit,0,0,240,60.675221656785155,130.71205326840843,198.959341279231,2.1869000024981307,0.0006841264186368789,11.053895291872323,11.135339260101318,1069.7205554037355,3,3,100,100,17.268258502483366,0.0011410641670227051,1.0,185,200,8.068696074485779,2.2042433786392213,0.925,839,1000,4.713364143371582,10.000455070495606,0.839,0,80,NOT_RECORDED,NOT_RECORDED,1.1398280267137915,0.7606535162305856,1.01778344794785,80,NOT_RECORDED,734.0879105944186,100,100,17.248875563144683,0.0011502242088317872,1.0,185,200,8.0683651304245,2.2089053773880005,0.925,839,1000,4.713364143371582,10.000455070495606,0.839,0.019382939338683514,-9.160041809082049e-06,0.00033094406127887055,-0.004661998748779261,0.0,0.0
10,10,qwen2.5-7b-inst,0.008688734439932223,0.00722197713554374,0.02018512482403153,0.04630299558685121,0.9176011680136413,80,SOFTP,188.68092474584378,191.20900345573529,10,OFF,0,0,1200,1250,450,400,400,400,1200,1250,80,9,80,0,0,100,6.59694521232268e-13,0,"{""CAPACITY_TIE_SOLVE_UNCERTIFIED"":8,""None"":7,""REQUESTWISE_NO_WEAKER_CERTIFICATE_FAILED"":65}","{""SOFT_CERTIFIED"":7,""SOFT_NEUTRAL_FALLBACK"":73}",NOT_RECORDED,0,0,9.999999999994822e-09,clamp_would_hit,0,0,240,60.67872048131913,130.7168993146593,208.29144959663972,2.185567552922872,0.0006857162111555226,11.046320037450641,11.121227832045406,1088.5283052404411,2,2,100,100,17.26700320005417,0.0011463665962219238,1.0,185,200,8.070177624225616,2.2020587038993837,0.925,839,1000,4.712525321960449,10.002597938537598,0.839,0,80,NOT_RECORDED,NOT_RECORDED,0.7609326326199444,0.7553625840896666,1.0071548237731578,80,NOT_RECORDED,748.3875139169395,100,100,17.255118656158448,0.0011571311950683593,1.0,185,200,8.068555557727814,2.207152450084686,0.925,839,1000,4.712525321960449,10.002597938537598,0.839,0.011884543895721578,-1.076459884643546e-05,0.001622066497802166,-0.00509374618530245,0.0,0.0
10,10,qwen2.5-7b-inst,0.008704557232931757,0.008487976646101679,0.013973932264952537,0.04640826974706122,0.9224252641089528,80,NEUTRAL,188.7901803777749,191.04670949325393,10,ON,0,0,1200,1250,450,400,400,400,1200,1250,80,9,80,0,0,100,3.3306690738754696e-16,0,"{""None"":80}","{""NEUTRAL_CERTIFIED"":80}",NOT_RECORDED,0,0,0.0,clamp_hit,0,0,240,,130.71205326840843,214.58093924447894,2.1869000024981307,0.0006841264186368789,11.156635504215956,11.286325921304524,1186.5867323484272,3,3,100,100,17.268258502483366,0.0011410641670227051,1.0,185,200,8.068696074485779,2.2042433786392213,0.925,839,1000,4.713364143371582,10.000455070495606,0.839,0,80,NOT_RECORDED,NOT_RECORDED,1.1398280267137915,0.7606535162305856,1.01778344794785,80,NOT_RECORDED,835.3072659340687,100,100,17.248875563144683,0.0011502242088317872,1.0,185,200,8.0683651304245,2.2089053773880005,0.925,839,1000,4.713364143371582,10.000455070495606,0.839,0.019382939338683514,-9.160041809082049e-06,0.00033094406127887055,-0.004661998748779261,0.0,0.0
10,10,qwen2.5-7b-inst,0.008688734439932223,0.00722197713554374,0.02018512482403153,0.04630299558685121,0.9176011680136413,80,SOFTP,188.68092474584378,191.20900345573529,10,ON,0,0,1200,1250,450,400,400,400,1200,1250,80,9,80,0,0,100,6.59694521232268e-13,0,"{""CAPACITY_TIE_SOLVE_UNCERTIFIED"":8,""None"":7,""REQUESTWISE_NO_WEAKER_CERTIFICATE_FAILED"":65}","{""SOFT_CERTIFIED"":7,""SOFT_NEUTRAL_FALLBACK"":73}",NOT_RECORDED,0,0,9.999999999994822e-09,clamp_hit,0,0,240,,130.7168993146593,217.3251609019935,2.185567552922872,0.0006857162111555226,11.149645291734487,11.268468037713319,1218.3111828449182,2,2,100,100,17.26700320005417,0.0011463665962219238,1.0,185,200,8.070177624225616,2.2020587038993837,0.925,839,1000,4.712525321960449,10.002597938537598,0.839,0,80,NOT_RECORDED,NOT_RECORDED,0.7609326326199444,0.7553625840896666,1.0071548237731578,80,NOT_RECORDED,862.8757662163116,100,100,17.255118656158448,0.0011571311950683593,1.0,185,200,8.068555557727814,2.207152450084686,0.925,839,1000,4.712525321960449,10.002597938537598,0.839,0.011884543895721578,-1.076459884643546e-05,0.001622066497802166,-0.00509374618530245,0.0,0.0
