action_freeze_sha256,action_frozen_before_evaluator,alias,allocation_coefficient_share_layer_4,allocation_coefficient_share_layer_5,allocation_coefficient_share_layer_6,allocation_coefficient_share_layer_7,allocation_coefficient_share_layer_8,applied_coordinate_update_count_total,arm,bf16_capacity_final_sum,bf16_update_energy_path_sum,case_index,case_terminal_identity_sha256,case_terminal_sha256,clamp_policy,compute_candidate_forward_count,compute_candidate_materialization_count,compute_kl_backward_count,compute_kl_forward_count,compute_physical_capture_forward_count,compute_physical_response_batched_vjp_count,compute_physical_response_forward_count,compute_post_write_objective_forward_count,compute_target_backward_count,compute_target_forward_count,compute_writer_materialization_count,heldout_controller_access_count,negative_actual_count,outer_h_application_count_total,physical_h_application_count_total,remaining_division_count_total,request_count,request_order_sha256,request_simplex_max_abs_residual,residual_presplit_count_total,response_batched_vjp_count,route_fallback_counts,route_status_counts,routing_dof,second_h_application_count_total,semantic_debt_input_count_total,soft_requestwise_no_weaker_max_violation,target_event_kind,target_event_occurrence_count,target_event_request_count,target_microstep_count,target_net_origin_displacement_norm_mean,target_path_displacement_norm_mean,target_trajectory_file_sha256,target_wall_seconds,terminal_cumulative_structural_p,terminal_full_six_target_new_nll,terminal_w_evaluator_wall_seconds,terminal_z_evaluator_wall_seconds,total_wall_seconds,unreachable_event_count,unreachable_unique_request_count,w0_byte_restored_exact,w0_pointer_restored_exact,w0_restored,w_efficacy_correct,w_efficacy_denominator,w_efficacy_mean_margin,w_efficacy_mean_target_new_nll,w_efficacy_rate,w_generalization_correct,w_generalization_denominator,w_generalization_mean_margin,w_generalization_mean_target_new_nll,w_generalization_rate,w_locality-preservation_correct,w_locality-preservation_denominator,w_locality-preservation_mean_margin,w_locality-preservation_mean_target_new_nll,w_locality-preservation_rate,writer_h_numeric_multiplication_count_total,writer_materialization_count,writer_net_norm,writer_path_norm,writer_realization_mean,writer_realization_median,writer_realization_p90,writer_transition_count,writer_update_norm,writer_wall_seconds,z_efficacy_correct,z_efficacy_denominator,z_efficacy_mean_margin,z_efficacy_mean_target_new_nll,z_efficacy_rate,z_generalization_correct,z_generalization_denominator,z_generalization_mean_margin,z_generalization_mean_target_new_nll,z_generalization_rate,z_locality-preservation_correct,z_locality-preservation_denominator,z_locality-preservation_mean_margin,z_locality-preservation_mean_target_new_nll,z_locality-preservation_rate,z_to_w_efficacy_margin_gap,z_to_w_efficacy_new_nll_gap,z_to_w_generalization_margin_gap,z_to_w_generalization_new_nll_gap,z_to_w_locality-preservation_margin_gap,z_to_w_locality-preservation_new_nll_gap
43b21a4aa7f4c271aa3741b4ff87795f87b4a71aad5fbb1fbd8674bbfce8d012,True,llama3-8b-inst,0.0375000159239315,0.024999999073918738,0.03750000450699082,0.049999999477993703,0.8499999810171651,8,NEUTRAL,38.72388076029554,45.59078451721991,1,db492de11935293f212084356a255413f67ceef15c28ffe23820da6e24244339,95e239f5d4b29807869518cef10d0e1b7c6dc443da36c2224fcb72182b9b3ae2,ON,0,0,120,125,45,40,40,40,120,125,8,0,3,8,0,0,10,20933669138b5090645da9ea81b662085081fbc7eb756f542ec90bb9f51435ac,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,92,10,24,,24.918853260742758,8a9489711e793e2cf296e911590f94607e52c76fbd0d2717a98fc302db4d12d5,24.547038997989148,0.06765004725615238,0.0006032397952367319,1.157583977561444,1.1758990688249469,96.92215734906495,0,0,True,True,True,10,10,17.56226133108139,0.00023866891860961913,1.0,19,20,9.636606407165527,1.5965967178344727,0.95,92,100,7.0027671051025395,12.1853125,0.9199999999999999,0,8,,,0.7203532816055603,0.7745906547974918,1.092070263200566,8,,59.70095436275005,10,10,17.599747729301452,0.00025227069854736326,1.0,19,20,9.676110649108887,1.5852174758911133,0.95,92,100,7.002767105102539,12.1853125,0.92,-0.037486398220060835,-1.360177993774413e-05,-0.03950424194336044,0.011379241943359375,8.881784197001252e-16,0.0
b8ac38b1eb1552de1d0ea97da074c3a7a5589d97c40864bf8a91127325020804,True,llama3-8b-inst,0.06250129733794503,0.012499999813863061,0.049998706888644565,0.0250000017173882,0.8499999942421592,8,NEUTRAL,36.42945484490314,47.383271280225124,2,8aa7a5ecdeb94b3061b623096c01d1a74018351b271c13cf1f736452d2d5be2a,7f88bb47ecbbe4faeec3f97e518b9f332509505ad01f35d4fc30623f750badad,ON,0,0,120,125,45,40,40,40,120,125,8,0,2,8,0,0,10,d926188b4b11b462acfbf3c3cb3623bbd37a6043dc2673072e40004eb2e0e22a,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,141,10,24,,26.197566014517168,177b0c5176ad84c7ce38801e4dd89e058dc7d5a5e4eb4b612936559775953465,28.169969133567065,0.062074627620004104,0.00028018102166242896,1.1621102667413652,1.173856990877539,97.9841794767417,0,0,True,True,True,10,10,18.056121432781218,0.00012856721878051758,1.0,20,20,8.907546997070312,1.0893280029296875,1.0,83,100,5.523882217407226,10.82,0.8300000000000001,0,8,,,0.7383154780571565,0.7582283642574219,1.1469726771296882,8,,56.5372663885355,10,10,18.068620443344116,0.00012955665588378906,1.0,20,20,8.90570526123047,1.0911697387695312,1.0,83,100,5.523882217407227,10.82,0.83,-0.01249901056289815,-9.89437103271479e-07,0.0018417358398430395,-0.0018417358398437056,-8.881784197001252e-16,0.0
93ba185614a34b292483ff75d4110aa544e11de5d886edf16fd815a9e27da0b2,True,llama3-8b-inst,0.062499994554626084,0.037500003976498775,0.025000006796365704,0.01250000379046945,0.8624999908820401,8,NEUTRAL,39.88941463720792,43.2540578980976,3,7db5fa0dd6776d6f0b417050ab34cdba43614f925afc2342e5ba2ae03a113121,b19502bdb7bd8712ac55ec1cb3b0fc22ce450dae58fedc55c33148899ae91d7d,ON,0,0,120,125,45,40,40,40,120,125,8,0,1,8,0,0,10,38bed59f6dc2b193082c30197e61ca9cfddaaecf3e524a0dbcb358f780c4db1a,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,72,10,24,,19.863151085537897,393098815c9e96c545213e972100ecd39bbb704386a0fc89a51e71e8be09ca63,27.048532553948462,0.0593139188442801,0.0002212802010035375,1.1030157208442688,1.1163559737615287,104.29744412982836,0,0,True,True,True,10,10,19.624878644943237,0.00012135505676269531,1.0,20,20,10.08695011138916,1.8646123886108399,1.0,82,100,4.399086227416992,9.110934371948243,0.82,0,8,,,0.7561981837286111,0.7804534131914767,1.1276840647743775,8,,64.85312124388292,10,10,19.63737361431122,0.0001263856887817383,1.0,20,20,10.05931053161621,1.886001968383789,1.0,82,100,4.399086227416992,9.110934371948241,0.82,-0.012494969367981668,-5.030632019042974e-06,0.027639579772950285,-0.021389579772949086,0.0,1.7763568394002505e-15
89440281e137319b071955a9929a4d3ab78500a548c32c38bc73d1ba1fc9f46e,True,llama3-8b-inst,0.03466383334731035,0.02500000022340121,7.465968452789257e-10,0.05283623267335498,0.8874999330093367,8,NEUTRAL,36.13097437749637,45.0993431121687,4,eb8ed06aa03b8248d0e825cdf26a7c0f44f1e12ac252b51c38303f359d55ab16,289e786b5f77964c36f352aab5edeaf280741b7282393206ab11e839a5726599,ON,0,0,120,125,45,40,40,40,120,125,8,0,3,8,0,0,10,d866c44874892d760da97cd7ede76979ae2281c2934a83d9c10695159e88d3d3,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,102,10,24,,24.201370864328194,3a6089a8aa89722129784704ca24e0747abfea1d65ddee1b42d8dc7578998888,26.23698681080714,0.0657209523119214,0.0005281077326799277,1.1898334636352956,1.2072409950196743,108.5193662988022,0,0,True,True,True,10,10,14.50557700395584,0.0006729960441589355,1.0,16,20,4.525780868530274,2.9929203033447265,0.8,90,100,5.709759979248046,10.04129150390625,0.9,0,8,,,0.7368651790697422,0.7438868285995002,1.164328278271021,8,,69.27987978374586,10,10,14.555605673789978,0.0006443262100219727,1.0,16,20,4.551792335510254,2.9906026840209963,0.8,90,100,5.709759979248047,10.04129150390625,0.9,-0.05002866983413767,2.866983413696289e-05,-0.02601146697998047,0.0023176193237302023,-8.881784197001252e-16,0.0
d38f4260bb6c2587c67e92bf7527a05fc6ec92d02ef0b1d5cfd0a2c7c1da2e5e,True,llama3-8b-inst,0.10126580439995801,0.050632912022209785,0.10124708880974231,0.07596810185000805,0.6708860929180819,8,NEUTRAL,69.18622582744291,75.66155840279073,5,21e860bd308fa9f69b2851dbb5e7b469f9d8c4fafc9f7e6463156122504b2d68,203e061f092ce617df6ef1b3421a684461c645b89ac90bbec2239dac6534985d,ON,0,0,120,125,45,40,40,40,120,125,8,0,8,8,0,0,10,bb5f940c463a8c24798c3f75045c109b1f6752da1086e9ec5cb36de0c434c1b0,3.3306690738754696e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,141,10,24,,32.7199936185577,cccafea64cf4a7347e643d43e0bc897151172aa2a0ccb8cb69f136ba602a69a3,27.45478760637343,0.1016368088266117,0.0057242280345235486,1.183460005093366,1.196396070998162,107.54627477610484,1,1,True,True,True,10,10,15.338867747783661,0.11113225221633911,1.0,18,20,8.743019890785217,1.5429176092147827,0.9,72,100,3.009873046875,8.7428515625,0.72,0,8,,,-0.7193916833764933,0.7234488198822948,1.062947538961205,8,,67.08833676204085,10,10,15.792758524417877,0.0259914755821228,1.0,18,20,8.628288102149963,1.7131181478500366,0.9,72,100,3.009873046875,8.7428515625,0.72,-0.45389077663421595,0.08514077663421632,0.1147317886352539,-0.17020053863525386,0.0,0.0
8f3e8734eee188428dfe0b781ea686a4fe92a98ee853ba869a08ef9bcbc2d9b9,True,llama3-8b-inst,0.08749995475097094,0.050000007458208796,0.037500042829584704,0.050000365106919166,0.7749996298543163,8,NEUTRAL,55.40393333102939,70.10963739914682,6,64b4867b2535f518cf5f1e7cd40f7b429ce3695ccf45d7b095c73d7ab29dffea,cdec36f0c73608b668f93cb4dbea1cfc45af9a368e76e17125a330de2f2a6498,ON,0,0,120,125,45,40,40,40,120,125,8,0,9,8,0,0,10,36f62d08abd69321360044edb1500c6afd302f7c10c546e78467e866c2ef3dd5,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,125,10,24,,37.87045228532147,c3ccf39f0773950abb967da532e63a94ba9bb5bdccec8b330ab07a3e1be50894,24.413976632989943,0.08671854206468141,0.03601125258792308,1.0503494436852634,1.0583856320008636,102.4399238480255,0,0,True,True,True,9,10,16.487266099452974,0.7689839005470276,0.9,17,20,9.428961527347564,2.015765035152435,0.85,82,100,5.729009399414062,9.723749999999999,0.82,0,8,,,0.6763401200007337,0.7350357752053298,1.2264112032844396,8,,65.84038268355653,10,10,17.916586887836456,0.0646631121635437,1.0,18,20,10.08734588623047,1.5071853637695312,0.9,82,100,5.729009399414062,9.72375,0.82,-1.4293207883834818,0.7043207883834839,-0.6583843588829055,0.508579671382904,0.0,-1.7763568394002505e-15
a6463e39fc80027c0876919cdda3b4956dd349eff2bbb31a5aa9f2c537f13e19,True,llama3-8b-inst,0.06329112911418765,0.02531645980562987,0.025316472602384624,0.025316460388709917,0.8607594780890879,8,NEUTRAL,44.253310691648025,51.65387486535126,7,a015a3dc2d14fd6f20daf896240e0f38b2f11afe9cf52f6909e4d4ecf577f3dc,ee9aeed7b1194ddfa1ffdd463f922c9994ea1033199f8d65611616fc86eb74d9,ON,0,0,120,125,45,40,40,40,120,125,8,0,4,8,0,0,10,badf5694b025745be31e42e3bd18a603f8fde0db206462b01c0794d5bb0431fc,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,89,10,24,,28.020611573853188,f64e85eb5fc00903225bf6f4f020e5c327af99999d1e2be8b119041092e8ad72,30.45597440516576,0.06771536236768926,0.5954310215151054,1.1820263229310513,1.1953757018782198,108.01208711368963,1,1,True,True,True,10,10,14.949890899658204,0.8317680358886719,1.0,20,20,10.885837173461914,1.138924789428711,1.0,94,100,6.187087554931641,10.667109374999999,0.9400000000000001,0,8,,,0.7759056163171728,0.7915307051109552,1.4210464564316392,8,,64.49600230623037,10,10,14.949866771697998,0.8255330085754394,1.0,20,20,10.89627742767334,1.1464593887329102,1.0,94,100,6.18708755493164,10.667109375,0.94,2.4127960205788668e-05,0.006235027313232444,-0.010440254211426137,-0.007534599304199308,8.881784197001252e-16,-1.7763568394002505e-15
62c1bfe70cc56b980e6c03910091770404a0b0ccb97e46da6e7774c5b8f189b5,True,llama3-8b-inst,0.025000000067563193,0.05000000007417157,0.012500004379963667,8.962906877874871e-09,0.9124999865153945,8,NEUTRAL,36.60545899505717,43.72824574082569,8,ae819a31b1c90af2fec9d7859f401f203816c5341146e15ced0bb21f565f171f,51ebf8fa391380867c257156674b596b70111d7c95330c2f7f3360eb4f0ab1e6,ON,0,0,120,125,45,40,40,40,120,125,8,0,3,8,0,0,10,c363db241e2c07ca144d278b90b21023234c7c63d6bc7156eb180b7cd6ebb572,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,91,10,24,,20.74738101668894,03790f000f7f79146780eef39b85ba4432b0d0a760899a1dd682cd58191810b1,28.337164795026183,0.06073989263750532,0.0006831727667304221,1.2023265562020242,1.2132255341857672,102.84449059097096,0,0,True,True,True,10,10,15.349824261665344,0.00017573833465576172,1.0,19,20,8.06225128173828,2.593608093261719,0.95,78,100,4.855315895080566,9.6696875,0.78,0,8,,,0.7036529703305783,0.7845795501470758,0.9656593702831536,8,,62.217775667551905,10,10,15.337322068214416,0.00017793178558349608,1.0,19,20,8.019128799438477,2.6019649505615234,0.95,78,100,4.855315895080566,9.6696875,0.78,0.012502193450927734,-2.1934509277343587e-06,0.04312248229980398,-0.00835685729980451,0.0,0.0
63b4f0ec44ed7f6ad17cf11d27aacc0cbd94d262bfe1517f26b88e5a25151d99,True,llama3-8b-inst,0.062499994787678315,0.012500015082078967,0.02500000733797514,0.024999993376249273,0.8749999894160183,8,NEUTRAL,43.90073001241818,47.82239546521836,9,8f6b610b3728a191d34fb1cb4f95cc48824b51848d4dd695f277beb8d2d2ba36,0b1ab18c1a74cba5fb5b756ccf17e246cc8321ee49ddd9c776bd5ac9b01c61fb,ON,0,0,120,125,45,40,40,40,120,125,8,0,2,8,0,0,10,1702d290642650ce9a2ff4a5687d48c469441e4d2b7c3f204e05d71d6918eefd,3.3306690738754696e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,109,10,24,,21.9539865230206,dd09d98e9ad7bdaa27cf8cfe4f93ca7d55467ffa486a69711a151a575718c3bb,23.09051150456071,0.06712105304197474,0.0004794262669747695,1.18708325503394,1.1944620381109416,90.32897488027811,0,0,True,True,True,10,10,17.656124711036682,0.0001252889633178711,1.0,20,20,9.686489295959472,0.8588232040405274,1.0,91,100,4.75390396118164,8.701432037353516,0.9100000000000001,0,8,,,0.7964300487909207,0.7989176995302969,1.0673695985179974,8,,55.153712375089526,10,10,17.718624114990234,0.000125885009765625,1.0,20,20,9.661197113990784,0.8677091360092163,1.0,91,100,4.75390396118164,8.701432037353516,0.91,-0.062499403953552246,-5.960464477539062e-07,0.025292181968687544,-0.00888593196868892,0.0,0.0
52727fa8b4fe6c2f0ebcbe6ba6afbaa9f5c8f38e280449a06fce6ba19dfdb4d6,True,llama3-8b-inst,0.012500000079798087,0.02500006593374317,0.07499995390721081,0.05000008586317919,0.8374998942160687,8,NEUTRAL,43.019022089982045,59.13228207989121,10,4ae46be91cbfb9abbf09aa4b1d37445ca723cc49ba466f9501cac55374e98b6c,ab14ab1b408f6bfd0f7c8d80bde8ae375f76709e0307b9914803a7c36ba70124,ON,0,0,120,125,45,40,40,40,120,125,8,0,5,8,0,0,10,add78cd5df75ad1ee941a84527fba9b0a63cfde5a3338450ffbe6bc248af08d9,2.220446049250313e-16,0,40,"{""None"":8}","{""NEUTRAL_CERTIFIED"":8}",NOT_RECORDED,0,0,0.0,clamp_hit,105,10,24,,35.85604155350003,f64dfb9fc615d3113bf5a18b5e9072dc34ff3196322c57d64bdcde632dc1fec5,24.659013159573078,0.08198879843877058,0.0021767895777884405,1.3140223431400955,1.3283852897584438,103.57049294095486,0,0,True,True,True,10,10,17.44242627620697,0.0013237237930297852,1.0,19,20,10.8590877532959,0.8387149810791016,0.95,77,100,4.256560668945313,10.30623046875,0.7700000000000001,0,8,,,0.6839897017601866,0.7461191886261631,0.9955464257842443,8,,66.43239879515022,10,10,17.461170506477355,0.001329493522644043,1.0,19,20,10.851983261108398,0.8270206451416016,0.95,77,100,4.256560668945313,10.30623046875,0.77,-0.018744230270385742,-5.769729614257769e-06,0.007104492187501421,0.011694335937500022,0.0,0.0
