method,surface,prompt,target,count,mean,median,p90_nearest_rank,max
FZ,accepted_z,rewrite,new,1000,0.017847472743680554,0.0006569253746420145,0.0062950183637440205,4.761465072631836
FZ,accepted_z,rewrite,true,1000,14.394092228174209,14.16251802444458,19.64633560180664,27.598773956298828
FZ,accepted_z,rephrase,new,2000,1.3308862277268318,0.06703142449259758,4.909336566925049,17.16532325744629
FZ,accepted_z,rephrase,true,2000,10.514965342437034,10.327322483062744,16.192428588867188,25.910907745361328
FZ,accepted_z,rate,Eff,1000,1.0,,,
FZ,accepted_z,rate,Gen,2000,0.962,,,
FZ,accepted_z,rate,Gen_strict,1000,0.938,,,
FZ,accepted_z,rate,Loc,10000,0.8641,,,
FZ,accepted_z,rate,Rephrase_accuracy,2000,0.726,,,
FZ,accepted_z,rate,Rephrase_strict_accuracy,1000,0.583,,,
FZ,accepted_z,rate,Rewrite_accuracy,1000,0.995,,,
FZ,final_W,rewrite,new,1000,0.029980680252112053,0.0005968815530650318,0.006452914793044329,11.387056350708008
FZ,final_W,rewrite,true,1000,14.437613756418228,14.26643180847168,19.955381393432617,30.0693359375
FZ,final_W,rephrase,new,2000,2.404130068551284,0.6529965698719025,7.434225082397461,18.031171798706055
FZ,final_W,rephrase,true,2000,8.425180211952712,8.205047130584717,14.399343490600586,25.46228790283203
FZ,final_W,rate,Eff,1000,1.0,,,
FZ,final_W,rate,Gen,2000,0.8465,,,
FZ,final_W,rate,Gen_strict,1000,0.754,,,
FZ,final_W,rate,Loc,10000,0.8469,,,
FZ,final_W,rate,Rephrase_accuracy,2000,0.5705,,,
FZ,final_W,rate,Rephrase_strict_accuracy,1000,0.39,,,
FZ,final_W,rate,Rewrite_accuracy,1000,0.994,,,
PDZ,accepted_z,rewrite,new,1000,0.049260628129122776,0.018961362540721893,0.06237493082880974,10.023932456970215
PDZ,accepted_z,rewrite,true,1000,10.900628014087676,10.581679821014404,15.830296516418457,26.07839012145996
PDZ,accepted_z,rephrase,new,2000,1.4478187442171329,0.3093966245651245,4.792751789093018,16.431705474853516
PDZ,accepted_z,rephrase,true,2000,8.948735461016884,8.891950607299805,13.685419082641602,21.573335647583008
PDZ,accepted_z,rate,Eff,1000,0.999,,,
PDZ,accepted_z,rate,Gen,2000,0.9655,,,
PDZ,accepted_z,rate,Gen_strict,1000,0.944,,,
PDZ,accepted_z,rate,Loc,10000,0.8661,,,
PDZ,accepted_z,rate,Rephrase_accuracy,2000,0.6885,,,
PDZ,accepted_z,rate,Rephrase_strict_accuracy,1000,0.539,,,
PDZ,accepted_z,rate,Rewrite_accuracy,1000,0.996,,,
PDZ,final_W,rewrite,new,1000,0.05595499851378554,0.01732144132256508,0.06302700936794281,9.849946022033691
PDZ,final_W,rewrite,true,1000,10.901967393279076,10.60150671005249,15.715285301208496,24.406862258911133
PDZ,final_W,rephrase,new,2000,2.631029525785125,1.3618710041046143,7.262716293334961,17.82028579711914
PDZ,final_W,rephrase,true,2000,7.11646863673802,6.818449974060059,11.887445449829102,21.069095611572266
PDZ,final_W,rate,Eff,1000,0.999,,,
PDZ,final_W,rate,Gen,2000,0.8375,,,
PDZ,final_W,rate,Gen_strict,1000,0.737,,,
PDZ,final_W,rate,Loc,10000,0.8479,,,
PDZ,final_W,rate,Rephrase_accuracy,2000,0.5005,,,
PDZ,final_W,rate,Rephrase_strict_accuracy,1000,0.305,,,
PDZ,final_W,rate,Rewrite_accuracy,1000,0.995,,,
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rewrite,new,,0.0013915438221733893,0.0007433511782437563,0.0033570146188139915,0.025194421410560608
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rewrite,true,,15.196513225078583,14.896466255187988,20.951120376586914,31.449064254760742
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rephrase,new,,0.7976907307744578,0.06925876706372947,2.721581995487213,12.862534523010254
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rephrase,true,,12.183187448585405,11.778221607208252,17.39711284637451,24.27603054046631
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rate,Eff,1000,1.0,,,
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rate,Gen,2000,0.9935,,,
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rate,Gen_strict,1000,0.988,,,
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rate,Loc,,,,,
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rate,Rephrase_accuracy,2000,0.8155,,,
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rate,Rephrase_strict_accuracy,1000,0.694,,,
OFFICIAL-ALPHAEDIT-CACHE,accepted_z,rate,Rewrite_accuracy,1000,1.0,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rewrite,new,,,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rewrite,true,,,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rephrase,new,,,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rephrase,true,,,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rate,Eff,1000,0.994,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rate,Gen,2000,0.967,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rate,Gen_strict,1000,0.943,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rate,Loc,10000,0.781,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rate,Rephrase_accuracy,2000,0.747,,,
OFFICIAL-ALPHAEDIT-CACHE,final_W,rate,Rewrite_accuracy,1000,0.992,,,
OFFICIAL-MEMIT,accepted_z,rewrite,new,,0.002096798793733342,0.000902960222447291,0.004588788375258446,0.043855756521224976
