batch,arm,scope,family,requests,numerator,denominator,percent,strict_numerator,strict_denominator,tf_token_correct,tf_token_total,tf_token_micro,tf_prompt_macro,new_nll,true_nll
1,N4,all_seen,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004217533714837,15.159232354164123
1,N4,all_seen,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6394091688672778,10.132758979201316
1,N4,all_seen,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133475162149407,5.525983083373169
1,N4,current,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004217533714837,15.159232354164123
1,N4,current,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6394091688672778,10.132758979201316
1,N4,current,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133475162149407,5.525983083373169
1,N4,first100,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004217533714837,15.159232354164123
1,N4,first100,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6394091688672778,10.132758979201316
1,N4,first100,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133475162149407,5.525983083373169
1,N4,active_past,RS,0,0,0,,0,0,0,0,,,,
1,N4,active_past,PS,0,0,0,,0,0,0,0,,,,
1,N4,active_past,NS,0,0,0,,0,0,0,0,,,,
1,EN_EXACT,all_seen,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004099057841812,15.159237751960754
1,EN_EXACT,all_seen,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.639442149931565,10.132663440704345
1,EN_EXACT,all_seen,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.13351929449034,5.525989521022944
1,EN_EXACT,current,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004099057841812,15.159237751960754
1,EN_EXACT,current,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.639442149931565,10.132663440704345
1,EN_EXACT,current,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.13351929449034,5.525989521022944
1,EN_EXACT,first100,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004099057841812,15.159237751960754
1,EN_EXACT,first100,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.639442149931565,10.132663440704345
1,EN_EXACT,first100,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.13351929449034,5.525989521022944
1,EN_EXACT,active_past,RS,0,0,0,,0,0,0,0,,,,
1,EN_EXACT,active_past,PS,0,0,0,,0,0,0,0,,,,
1,EN_EXACT,active_past,NS,0,0,0,,0,0,0,0,,,,
1,EN_NUM,all_seen,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004205915465718,15.159235844612121
1,EN_NUM,all_seen,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6394418308587047,10.132665787935258
1,EN_NUM,all_seen,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133521226635901,5.525989708185953
1,EN_NUM,current,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004205915465718,15.159235844612121
1,EN_NUM,current,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6394418308587047,10.132665787935258
1,EN_NUM,current,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133521226635901,5.525989708185953
1,EN_NUM,first100,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.0015004205915465718,15.159235844612121
1,EN_NUM,first100,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6394418308587047,10.132665787935258
1,EN_NUM,first100,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133521226635901,5.525989708185953
1,EN_NUM,active_past,RS,0,0,0,,0,0,0,0,,,,
1,EN_NUM,active_past,PS,0,0,0,,0,0,0,0,,,,
1,EN_NUM,active_past,NS,0,0,0,,0,0,0,0,,,,
1,EN_ADAPT,all_seen,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.001501298460207181,15.158205790519714
1,EN_ADAPT,all_seen,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6399144512342172,10.132023773789406
1,EN_ADAPT,all_seen,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133661353502887,5.5260053494179155
1,EN_ADAPT,current,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.001501298460207181,15.158205790519714
1,EN_ADAPT,current,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6399144512342172,10.132023773789406
1,EN_ADAPT,current,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133661353502887,5.5260053494179155
1,EN_ADAPT,first100,RS,100,100,100,100.0,100,100,101,101,1.0,1.0,0.001501298460207181,15.158205790519714
1,EN_ADAPT,first100,PS,100,194,200,97.0,125,200,127,202,0.6287128712871287,0.625,1.6399144512342172,10.132023773789406
1,EN_ADAPT,first100,NS,100,865,1000,86.5,160,1000,190,1030,0.18446601941747573,0.175,11.133661353502887,5.5260053494179155
1,EN_ADAPT,active_past,RS,0,0,0,,0,0,0,0,,,,
1,EN_ADAPT,active_past,PS,0,0,0,,0,0,0,0,,,,
1,EN_ADAPT,active_past,NS,0,0,0,,0,0,0,0,,,,
2,N4,all_seen,RS,200,200,200,100.0,200,200,203,203,1.0,1.0,0.0047007645223857255,14.969785099029542
2,N4,all_seen,PS,200,374,400,93.5,258,400,264,406,0.6502463054187192,0.64875,1.7034173837110576,9.938764957664535
2,N4,all_seen,NS,200,1730,2000,86.5,354,2000,393,2040,0.19264705882352942,0.18675,10.812511970876484,5.208889218005846
2,N4,current,RS,100,100,100,100.0,100,100,102,102,1.0,1.0,0.007906021641465486,14.82549566745758
2,N4,current,PS,100,181,200,90.5,133,200,137,204,0.6715686274509803,0.6725,1.8174636039242613,9.781587899681181
