scope,component,batch,arm,seconds,source,observer_alias,native_seconds,geometry_seconds,gradient_seconds,candidate_seconds,shared_B1_cost_divisor,excludes,actual_evaluations,job_id,state,exit_code,allocation_gpu_hours,allocation_cost_status,included_in_scientific_native_denominator
SHARED_ACTUAL_COMPONENT,native_fit,1,SHARED,264.996219901368,B1/SHARED-native.json,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,geometry_capture_SVD_projection,1,SHARED,70.02309631742537,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,R_plus_H_gradient,1,SHARED,157.8764549959451,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,1,N4,47.029433231800795,,,,,,,,,,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,1,N4,264.996219901368,,,264.996219901368,0.0,0.0,0.0,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,1,EN_EXACT,22.530490020290017,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,candidate_objective,1,EN_EXACT,168.0692953262478,,,,,,,,,2,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,1,EN_EXACT,660.9650665409863,,,264.996219901368,70.02309631742537,157.8764549959451,168.0692953262478,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,1,EN_NUM,19.34331058524549,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,candidate_objective,1,EN_NUM,164.39055944606662,,,,,,,,,2,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,1,EN_NUM,657.2863306608051,,,264.996219901368,70.02309631742537,157.8764549959451,164.39055944606662,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,1,EN_ADAPT,43.20712636038661,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,candidate_objective,1,EN_ADAPT,164.3554827477783,,,,,,,,,2,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,1,EN_ADAPT,657.2512539625168,,,264.996219901368,70.02309631742537,157.8764549959451,164.3554827477783,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,native_fit,2,N4,245.5833193100989,B2/N4-native.json,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,native_fit,2,EN_EXACT,245.48712364770472,B2/EN_EXACT-native.json,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,geometry_capture_SVD_projection,2,EN_EXACT,82.80748336203396,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,R_plus_H_gradient,2,EN_EXACT,155.44395629875362,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,native_fit,2,EN_ADAPT,245.70552242547274,B2/EN_ADAPT-native.json,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,geometry_capture_SVD_projection,2,EN_ADAPT,100.05387823097408,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,R_plus_H_gradient,2,EN_ADAPT,154.68849936500192,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,2,N4,40.90274546481669,,,,,,,,,,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,2,N4,245.5833193100989,,,245.5833193100989,0.0,0.0,0.0,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,2,EN_EXACT,41.137224078178406,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,candidate_objective,2,EN_EXACT,168.75261344201863,,,,,,,,,2,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,2,EN_EXACT,652.4911767505109,,,245.48712364770472,82.80748336203396,155.44395629875362,168.75261344201863,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,2,EN_ADAPT,40.90375086851418,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,candidate_objective,2,EN_ADAPT,170.48122285306454,,,,,,,,,2,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,2,EN_ADAPT,670.9291228745133,,,245.70552242547274,100.05387823097408,154.68849936500192,170.48122285306454,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,native_fit,3,N4,246.68584304489195,B3/N4-native.json,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,native_fit,3,EN_EXACT,246.96903525851667,B3/EN_EXACT-native.json,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,geometry_capture_SVD_projection,3,EN_EXACT,90.68426109664142,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,R_plus_H_gradient,3,EN_EXACT,160.299360409379,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,native_fit,3,EN_ADAPT,246.52449611760676,B3/EN_ADAPT-native.json,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,geometry_capture_SVD_projection,3,EN_ADAPT,92.50337218679488,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,R_plus_H_gradient,3,EN_ADAPT,159.73279043845832,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,3,N4,56.099126202985644,,,,,,,,,,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,3,N4,246.68584304489195,,,246.68584304489195,0.0,0.0,0.0,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,3,EN_EXACT,56.35909708030522,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,candidate_objective,3,EN_EXACT,174.35228807665408,,,,,,,,,2,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,3,EN_EXACT,672.3049448411912,,,246.96903525851667,90.68426109664142,160.299360409379,174.35228807665408,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
SHARED_ACTUAL_COMPONENT,post_selection_observer_analysis_dev_teacher_bundle,3,EN_ADAPT,56.10403371602297,,,,,,,,,,,,,,,
SHARED_ACTUAL_COMPONENT,candidate_objective,3,EN_ADAPT,173.9586677774787,,,,,,,,,2,,,,,,
STANDALONE_RECONSTRUCTED_CORE,native_plus_geometry_gradient_candidates,3,EN_ADAPT,672.7193265203387,,,246.52449611760676,92.50337218679488,159.73279043845832,173.9586677774787,1,"T0,teacher preparation,history capture,observers,allocation overhead; streaming I/O and hashing within measured calls NOT_SEPARATED; no speedup claim",,,,,,,
ACTUAL_ALLOCATION,scheduler_allocation,,,5743,/data/janghj/ODE-edit/local/en-adaptive-nullspace/20260920-v1/server3-repair-r1/attempt-v1/accounting.json,,,,,,,,,51290,COMPLETED,0:0,1.5952777777777778,MEASURED,
TECHNICAL_SEPARATE,T0,,,218.0562337115407,,,,,,,,,,,,,,,False
