batch,arm,trial,selected,status,scale,ideal_norm,ideal_response,ideal_P_leakage,actual_norm,actual_response,actual_P_leakage,rounding_norm,rounding_response,rounding_P_leakage,request_response_quantiles,finite,checks
1,EN_EXACT,candidate1,False,ACCEPTED,1.0,0.06840691082066308,9.177001811833015e-18,5.115796624645341e-16,0.06840691067374434,4.210810464475387e-08,5.049671739881192e-08,1.965502681454232e-06,4.210810464476942e-08,5.0496717398817725e-08,"{""p50"":4.182547176727981e-08,""p95"":4.418416521552276e-08,""max"":4.638133154514494e-08}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
1,EN_EXACT,candidate2,True,ACCEPTED,0.183554783930552,0.012556415735043345,1.6845125617194022e-18,9.390370138617199e-17,0.01255641593257949,4.2235852434541766e-08,5.095691291201944e-08,1.965657926057919e-06,4.223585243454391e-08,5.095691291201825e-08,"{""p50"":4.1978983556630215e-08,""p95"":4.4288996755349584e-08,""max"":4.6559538107490426e-08}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
1,EN_NUM,candidate1,False,ACCEPTED,1.0,0.06773213441536628,8.586992118571489e-10,5.068137527056995e-16,0.06773213458027985,4.218748566895592e-08,5.0370179545884704e-08,1.965666548952157e-06,4.217874562749029e-08,5.0370179545886464e-08,"{""p50"":4.1985430756210925e-08,""p95"":4.431376586526492e-08,""max"":4.680404541318208e-08}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
1,EN_NUM,candidate2,True,ACCEPTED,0.18353197644885227,0.012431012498351497,1.5759876352706805e-10,9.301710996783297e-17,0.01243101256574809,4.21588439660697e-08,4.988265563948615e-08,1.9654689291916263e-06,4.2158549396309635e-08,4.988265563948663e-08,"{""p50"":4.20049550793189e-08,""p95"":4.42752471222677e-08,""max"":4.653456184002926e-08}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
1,EN_ADAPT,candidate1,False,ACCEPTED,1.0,0.052932691330276185,0.002068954318942647,4.010616406897157e-16,0.052932691533097424,0.0020689542541106128,5.007439388124154e-08,1.9654243068681433e-06,4.2157405290074835e-08,5.007439388125157e-08,"{""p50"":0.0019978144278614282,""p95"":0.002371404562005775,""max"":0.003866976792024011}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
1,EN_ADAPT,candidate2,True,ACCEPTED,0.18592280468019656,0.009841394431396084,0.00038466578973302286,7.456371888607812e-17,0.00984139487361789,0.0003846658452060057,5.101213818503412e-08,1.965581231572859e-06,4.227989027990793e-08,5.1012138185033095e-08,"{""p50"":0.00037143927025775535,""p95"":0.0004408979472768792,""max"":0.0007189592293867303}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
2,EN_EXACT,candidate1,False,SEARCH_LIMIT_NO_ACCEPTED_CANDIDATE,1.0,0.07968046881048657,1.0123254832506143e-17,5.977591488505865e-16,0.07968046878212767,4.279570520494955e-08,5.0487915128236386e-08,1.9752937550981244e-06,4.279570520496607e-08,5.048791512825136e-08,"{""p50"":4.2689022183852716e-08,""p95"":4.467241461429553e-08,""max"":4.6749761131496265e-08}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
2,EN_EXACT,candidate2,False,SEARCH_LIMIT_NO_ACCEPTED_CANDIDATE,0.4454345949592665,0.035492437350763545,4.5097187355128e-18,2.6628258679844577e-16,0.03549243716527442,4.266143161398751e-08,5.08402218436642e-08,1.9756518896381435e-06,4.266143161399033e-08,5.084022184367154e-08,"{""p50"":4.2578895257937715e-08,""p95"":4.459270582060668e-08,""max"":4.6403445266163906e-08}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
2,EN_ADAPT,candidate1,True,ACCEPTED,1.0,0.02002284441610063,0.0006457916894603941,1.5319722240980715e-16,0.020022844892389535,0.0006457916928718199,5.076155980274455e-08,1.975442156770758e-06,4.265189234544148e-08,5.0761559802746084e-08,"{""p50"":0.0006354888334313092,""p95"":0.0007108876628752869,""max"":0.0007598151606959678}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
2,EN_ADAPT,candidate2,False,ACCEPTED,0.5357430680860612,0.010727100099291597,0.00034597842105599236,8.207329061004852e-17,0.010727100139517795,0.00034597843542512167,5.0718047115831024e-08,1.975747272729639e-06,4.2741053679108076e-08,5.0718047115831375e-08,"{""p50"":0.000340458808912186,""p95"":0.00038085302839803187,""max"":0.00040706603812546566}",True,"{""finite"":true,""ideal_norm"":true,""ideal_response"":true,""actual_norm"":true,""actual_response"":true,""ideal_allowed_range"":true,""actual_allowed_range"":true}"
