batch,arm,phase,role,documents,positions,min_positions,max_positions,history_requests,J,teacher_position_identity_bound,level
1,SHARED,native,R512,512,130235,55,256,0,0.0011207760109178642,True,stored rows membership and independent scalar reduction; not new forward/backward
1,N4,Dev_observer,Dev128,128,32473,121,256,0,0.0013291259714646676,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_EXACT,selected,R512,512,130235,55,256,0,0.0010913647228803743,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_EXACT,candidate1,R512,512,130235,55,256,0,0.0030529741228153147,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_EXACT,candidate2,R512,512,130235,55,256,0,0.0010913647228803743,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_NUM,selected,R512,512,130235,55,256,0,0.0010914979177408203,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_NUM,candidate1,R512,512,130235,55,256,0,0.0030533535152938553,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_NUM,candidate2,R512,512,130235,55,256,0,0.0010914979177408203,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_ADAPT,selected,R512,512,130235,55,256,0,0.0010864142937067212,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_ADAPT,candidate1,R512,512,130235,55,256,0,0.003014089672446847,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_ADAPT,candidate2,R512,512,130235,55,256,0,0.0010864142937067212,True,stored rows membership and independent scalar reduction; not new forward/backward
1,EN_ADAPT,Dev_observer,Dev128,128,32473,121,256,0,0.00132603552457027,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_EXACT,native,R512,512,130235,55,256,100,0.002355537745047154,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_ADAPT,native,R512,512,130235,55,256,100,0.0023256465895271964,True,stored rows membership and independent scalar reduction; not new forward/backward
2,N4,reference_history_observer,R512,512,130235,55,256,100,0.002341195486936883,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_EXACT,selected,R512,512,130235,55,256,100,0.002355537745047154,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_EXACT,candidate1,R512,512,130235,55,256,100,0.002644089358688632,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_EXACT,candidate2,R512,512,130235,55,256,100,0.002410522668177189,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_ADAPT,selected,R512,512,130235,55,256,100,0.0021704868696066893,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_ADAPT,candidate1,R512,512,130235,55,256,100,0.0021704868696066893,True,stored rows membership and independent scalar reduction; not new forward/backward
2,EN_ADAPT,candidate2,R512,512,130235,55,256,100,0.00219476812316706,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_EXACT,native,R512,512,130235,55,256,200,0.0041598849898122955,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_ADAPT,native,R512,512,130235,55,256,200,0.003966412940820515,True,stored rows membership and independent scalar reduction; not new forward/backward
3,N4,reference_history_observer,R512,512,130235,55,256,200,0.00401549878075067,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_EXACT,selected,R512,512,130235,55,256,200,0.003674982595819883,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_EXACT,candidate1,R512,512,130235,55,256,200,0.006170166605292127,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_EXACT,candidate2,R512,512,130235,55,256,200,0.003674982595819883,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_ADAPT,selected,R512,512,130235,55,256,200,0.0034038117026262563,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_ADAPT,candidate1,R512,512,130235,55,256,200,0.005080724115248269,True,stored rows membership and independent scalar reduction; not new forward/backward
3,EN_ADAPT,candidate2,R512,512,130235,55,256,200,0.0034038117026262563,True,stored rows membership and independent scalar reduction; not new forward/backward
