batch,arm,phase,L_R,L_H,J,reference_documents,reference_positions,alias
1,SHARED,native,0.0011207760109178642,0.0,0.0011207760109178642,512,130235,
1,N4,Dev128_observer,0.0013291259714646676,0.0,0.0013291259714646676,128,,
1,EN_ADAPT,Dev128_observer,0.00132603552457027,0.0,0.00132603552457027,128,,
2,EN_EXACT,native,0.0023093376277872266,4.6200117259927427e-05,0.002355537745047154,512,130235,
2,EN_ADAPT,native,0.002283933093537469,4.1713495989727424e-05,0.0023256465895271964,512,130235,
3,EN_EXACT,native,0.003377129489995683,0.0007827554998166122,0.0041598849898122955,512,130235,
3,EN_ADAPT,native,0.003273452765682585,0.0006929601751379304,0.003966412940820515,512,130235,
