batch,arm,scope,request_denominator,preference_joint,TF_strict_joint,preference_success_ids,strict_success_ids
1,N4,all_seen,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,N4,current,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,N4,first100,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,N4,active_past,0,0,0,[],[]
1,EN_EXACT,all_seen,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_EXACT,current,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_EXACT,first100,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_EXACT,active_past,0,0,0,[],[]
1,EN_NUM,all_seen,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_NUM,current,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
