phase,arm,unit,K,endpoint,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,endpoint_identity_sha256
2,c0,1,1,accepted_z,1000,893,200,6,100,1,100,18,200,45,8.13611200273037,5.126287063332274,100,3,100,21,8.171930370330811,4.935172931216657,e5cafd7d99ed5d0cb04d9cf6238707c508397afb3602b1da7c7160d08e7c67fd
2,c0,1,1,post_writer_W,1000,888,200,5,100,0,100,16,200,47,8.20209115922451,5.23231255539693,100,3,100,22,7.8064215528964995,4.920927800387144,346c6d4bf7c516678353c13b9ed5c43c6978407570b367b9526c4ede8bbbecc9
2,c0,1,1,pre_writer_W,1000,893,200,1,100,0,100,8,200,28,9.821011565327645,5.002348951343447,100,0,100,13,11.102700235843658,4.942956403158605,459bbe0cbf1983aa0dceed51093c0a548392fc0d10648ec47303e99c63aeb311
2,c0,1,2,accepted_z,1000,888,200,24,100,5,100,45,200,110,5.497066228725016,5.590959802120924,100,16,100,56,4.666646875441074,5.114190470874309,e54122a86574f649b120d9525962c6381d28d598fa8e8b3d8dca289975e34c10
2,c0,1,2,post_writer_W,1000,890,200,16,100,2,100,30,200,85,6.0631525338441135,5.483409569319337,100,18,100,58,4.519376604557038,5.130214162766934,2c11b1c158debeafbb19cf6e6717972e7dfed9373ad787964b6cbf01eb1c6d92
2,c0,1,2,pre_writer_W,1000,888,200,5,100,0,100,16,200,47,8.20209115922451,5.23231255539693,100,3,100,22,7.8064215528964995,4.920927800387144,346c6d4bf7c516678353c13b9ed5c43c6978407570b367b9526c4ede8bbbecc9
2,c0,1,3,accepted_z,1000,890,200,72,100,19,100,88,200,186,2.9854719578893856,7.428748991340399,100,48,100,98,1.7310303024202585,7.2702103304862975,66c0f37541fbb7b2b2493684e44fd15aa466903fd963ba97c55afdc82a9a14e0
2,c0,1,3,post_writer_W,1000,881,200,57,100,15,100,69,200,160,3.6612979486770927,6.690728880278766,100,50,100,97,1.7023850752413272,7.2634335803985595,9d9ddc81d517e1c187eb24112f4d3c72b2d30fc77467cb4b21d7e69818c82426
2,c0,1,3,pre_writer_W,1000,890,200,16,100,2,100,30,200,85,6.0631525338441135,5.483409569319337,100,18,100,58,4.519376604557038,5.130214162766934,2c11b1c158debeafbb19cf6e6717972e7dfed9373ad787964b6cbf01eb1c6d92
2,c0,1,4,accepted_z,1000,881,200,101,100,34,100,93,200,191,2.1699265888286754,8.271195530295373,100,88,100,99,0.6700074095791205,8.640497922897339,3b11a1f2673bc8c5c1d57d97c4737f1394be363a34dc07dc64448636d91cc294
