phase,unit,K,c0_accepted_z_sha256,c1_accepted_z_sha256,c3_accepted_z_sha256,accepted_z_all_arms_equal,c0_selected_target_sha256,c1_selected_target_sha256,c3_selected_target_sha256,selected_target_all_arms_equal
2,1,1,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,True,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,True
2,1,2,b722f4ec9f40dd7199378e7c79e04e01b6c6d1e446850cadfe96adfd1992925f,8674d66b69b38b8bba95bb1e6120e3ec4fcd6614a8c3593bea658f0ab547342c,1617e4b010568ddb377255cc8616ebabe3bf9c43d613c3e477908c086bb686fd,False,b722f4ec9f40dd7199378e7c79e04e01b6c6d1e446850cadfe96adfd1992925f,8674d66b69b38b8bba95bb1e6120e3ec4fcd6614a8c3593bea658f0ab547342c,1617e4b010568ddb377255cc8616ebabe3bf9c43d613c3e477908c086bb686fd,False
2,1,3,5f934086ec28354d1c3ad40200cbd8de24ba034e3d4fa5069cfa4b1bfafc7786,ca37077a2cf7ca9be7e4619704d4ed4985b16f98ec072580a3c0f56da623c644,680e805bed925258b39aa770b2e2bbdc064a543a9b9180e05f59856246ec9077,False,5f934086ec28354d1c3ad40200cbd8de24ba034e3d4fa5069cfa4b1bfafc7786,ca37077a2cf7ca9be7e4619704d4ed4985b16f98ec072580a3c0f56da623c644,680e805bed925258b39aa770b2e2bbdc064a543a9b9180e05f59856246ec9077,False
2,1,4,68bd8e2dd678c687e9210567a0d57d886673d24b1ee1aa906fc02e8e09255e22,56624b990482636b764168bb7d7d672d147daf78f94fc9b0b995bf3091020be0,e81e21748155aadc5433393392e95ea3a96d8dedf3e15262340bfd1d43b8a11a,False,68bd8e2dd678c687e9210567a0d57d886673d24b1ee1aa906fc02e8e09255e22,56624b990482636b764168bb7d7d672d147daf78f94fc9b0b995bf3091020be0,e81e21748155aadc5433393392e95ea3a96d8dedf3e15262340bfd1d43b8a11a,False
2,1,5,d4ae61b87c22d31e1a7496e88ac46f8cd5d68680ab2c6454ebe2f7984205ed1a,4e3cfd8f9611108265e2dfda4837b18496fa39ecb1e6c2324f362241ac5df4b1,88637b134765177eebf86c8799d26b8166cd4e816295290ac7657f55541a5945,False,d4ae61b87c22d31e1a7496e88ac46f8cd5d68680ab2c6454ebe2f7984205ed1a,4e3cfd8f9611108265e2dfda4837b18496fa39ecb1e6c2324f362241ac5df4b1,88637b134765177eebf86c8799d26b8166cd4e816295290ac7657f55541a5945,False
2,1,6,2f037423c4aabca723a5c12b5acdc42c30a87c2ce552fdafccf4d430669bc90c,bfa3e420509071ac6c0ef52160f6dbc1e92e9d4d6000f87f6f7ccfe3c9f136a0,e4ec4aa1efc24a77a5974d6b9629639fcf2674c9a9710fabf9cb465043b293f3,False,2f037423c4aabca723a5c12b5acdc42c30a87c2ce552fdafccf4d430669bc90c,bfa3e420509071ac6c0ef52160f6dbc1e92e9d4d6000f87f6f7ccfe3c9f136a0,e4ec4aa1efc24a77a5974d6b9629639fcf2674c9a9710fabf9cb465043b293f3,False
2,1,7,785350ea1baf26f13b41689c1f755e66f1c667b54b6fa5c8352f051097f89fde,78f66872104faf32b192f1be579f67d7ae5deb396c3e2fe891e9842d25fb04e1,5c9a046b1a77e2cc9faafbc84992e7e4caa7c8be231c7400856d8fe5472e4b65,False,785350ea1baf26f13b41689c1f755e66f1c667b54b6fa5c8352f051097f89fde,78f66872104faf32b192f1be579f67d7ae5deb396c3e2fe891e9842d25fb04e1,5c9a046b1a77e2cc9faafbc84992e7e4caa7c8be231c7400856d8fe5472e4b65,False
2,1,8,e06141e1e7d7192e17bb0fa5ca4a393d98db0cce157cfbcc931ace10a9ded764,e7882eff022420c9983878f5e1b4b2bcfc2ec79f3e719edc284118b9bd918a58,83a4192c283c32c5920bfc0b3fd7cc28f539a99c4a0db0c72de6a23f9fd8ede8,False,e06141e1e7d7192e17bb0fa5ca4a393d98db0cce157cfbcc931ace10a9ded764,e7882eff022420c9983878f5e1b4b2bcfc2ec79f3e719edc284118b9bd918a58,83a4192c283c32c5920bfc0b3fd7cc28f539a99c4a0db0c72de6a23f9fd8ede8,False
2,2,1,49a4b689bcc650710d36ad4ebbae6a42e15d34f0205d056e2308f36c2bb8e9aa,49a4b689bcc650710d36ad4ebbae6a42e15d34f0205d056e2308f36c2bb8e9aa,49a4b689bcc650710d36ad4ebbae6a42e15d34f0205d056e2308f36c2bb8e9aa,True,49a4b689bcc650710d36ad4ebbae6a42e15d34f0205d056e2308f36c2bb8e9aa,49a4b689bcc650710d36ad4ebbae6a42e15d34f0205d056e2308f36c2bb8e9aa,49a4b689bcc650710d36ad4ebbae6a42e15d34f0205d056e2308f36c2bb8e9aa,True
2,2,2,cb188b15f0aaa1c6078fa3ad1025680e64d5349bfded36137ae5053a4990a051,5bdb490ccfc700a818837d88aa4046598bd26d33aa43cd6b2cada502e0247f45,0e853c18af7b27c9af26a51f56a423ccd0bfde258610059d5f37abc1ff958bd6,False,cb188b15f0aaa1c6078fa3ad1025680e64d5349bfded36137ae5053a4990a051,5bdb490ccfc700a818837d88aa4046598bd26d33aa43cd6b2cada502e0247f45,0e853c18af7b27c9af26a51f56a423ccd0bfde258610059d5f37abc1ff958bd6,False
2,2,3,9a97e84930c315893d7b2fd8f635e1b5535ef3a7e61ea756c0dbe01a8729a54f,ec30ba1abbe2dd30ec15e019d64531079a6004f9def1a86e49a9ab3f1f5331b0,1cd7acea16d970c989b1cd6e351cdc5dcef2975ca455c007aa3eac7eafc3aa69,False,9a97e84930c315893d7b2fd8f635e1b5535ef3a7e61ea756c0dbe01a8729a54f,ec30ba1abbe2dd30ec15e019d64531079a6004f9def1a86e49a9ab3f1f5331b0,1cd7acea16d970c989b1cd6e351cdc5dcef2975ca455c007aa3eac7eafc3aa69,False
2,2,4,d9e77b9184f6da466b36c4dfa1ed4fb2182750e6dd60a352451035669f51fc04,8651572eef122138214f0755723b38c430b63cc3961b4986d1453b47c3c9c18e,bd5d74ef95170f9a5178ba99669c9a93889a514c6f0c5fa3b8173b833274740f,False,d9e77b9184f6da466b36c4dfa1ed4fb2182750e6dd60a352451035669f51fc04,8651572eef122138214f0755723b38c430b63cc3961b4986d1453b47c3c9c18e,bd5d74ef95170f9a5178ba99669c9a93889a514c6f0c5fa3b8173b833274740f,False
2,2,5,e3b515289bbb740ae1d4307f97a88741d086d8c8330eb3a1fb9344ab88f88fd7,76465d177168984222a9764e76d86bdcc2fb86853c27f35fcb0647a95c0c625b,d7afaac28b7b308e5b8776deacd2e96c2ef3b6e1ee5af6f573ab5cb97e2a18ac,False,e3b515289bbb740ae1d4307f97a88741d086d8c8330eb3a1fb9344ab88f88fd7,76465d177168984222a9764e76d86bdcc2fb86853c27f35fcb0647a95c0c625b,d7afaac28b7b308e5b8776deacd2e96c2ef3b6e1ee5af6f573ab5cb97e2a18ac,False
2,2,6,8c0a4eba9b7aba565468f0c5bff8b56ecf0e8aba02e4d262fda5f8a6158a2b6f,b21e1b4f019a091321ef3464de5a36741c2e16da107d3f6930e703ac9b08777b,cefd9c624525851ca4c7d987ff457f003361b011adc9adbed7b5c5d9c6a33349,False,8c0a4eba9b7aba565468f0c5bff8b56ecf0e8aba02e4d262fda5f8a6158a2b6f,b21e1b4f019a091321ef3464de5a36741c2e16da107d3f6930e703ac9b08777b,cefd9c624525851ca4c7d987ff457f003361b011adc9adbed7b5c5d9c6a33349,False
2,2,7,c3051d94dca630883029701f7aba7cbcb3627adb43525beae20b1184b7a41965,dca4255dbe843b3de6bea1be731c575ef6c3aec8ae8cc858895459106f425df6,f09f07d159d97d5d016531669645cdd76cfaef079aa270ee3e72bd65789a7b91,False,c3051d94dca630883029701f7aba7cbcb3627adb43525beae20b1184b7a41965,dca4255dbe843b3de6bea1be731c575ef6c3aec8ae8cc858895459106f425df6,f09f07d159d97d5d016531669645cdd76cfaef079aa270ee3e72bd65789a7b91,False
2,2,8,174d849eec6e30842b2e3e3b06291189a1b5210897378d6aaab6356079bbce5b,140c2b703a7f721f74dd9a64ffb15346f74fcefbefeeaef54219a3dc26e54548,8ec97dbb526bd84ba2f7f769d07d96a7ab206181f38b79e0a18f194a44958f21,False,174d849eec6e30842b2e3e3b06291189a1b5210897378d6aaab6356079bbce5b,140c2b703a7f721f74dd9a64ffb15346f74fcefbefeeaef54219a3dc26e54548,8ec97dbb526bd84ba2f7f769d07d96a7ab206181f38b79e0a18f194a44958f21,False
2,3,1,7017a2cfdbf43957f56f542645d5de7c910fdf8af88c9c18cb7c6085c246fe4a,7017a2cfdbf43957f56f542645d5de7c910fdf8af88c9c18cb7c6085c246fe4a,7017a2cfdbf43957f56f542645d5de7c910fdf8af88c9c18cb7c6085c246fe4a,True,7017a2cfdbf43957f56f542645d5de7c910fdf8af88c9c18cb7c6085c246fe4a,7017a2cfdbf43957f56f542645d5de7c910fdf8af88c9c18cb7c6085c246fe4a,7017a2cfdbf43957f56f542645d5de7c910fdf8af88c9c18cb7c6085c246fe4a,True
2,3,2,35df605ffcdd0b08cdae834db6ef1edc0570ea6f162c1e1e5b534f382ba80c24,010ccff5ab6801d2d6278fdc8e7b62960dda292b1b073bc69ff22240f159783c,54ff0dc173fc0f472bd1b461360f2fc4212bc22dbb29442bee4b82be9096f41d,False,35df605ffcdd0b08cdae834db6ef1edc0570ea6f162c1e1e5b534f382ba80c24,010ccff5ab6801d2d6278fdc8e7b62960dda292b1b073bc69ff22240f159783c,54ff0dc173fc0f472bd1b461360f2fc4212bc22dbb29442bee4b82be9096f41d,False
2,3,3,142e1fce31ae23b4aebbe0d575c151ed7324c9a07bd350839a78e145b637482e,ec0b2ce5a539ff9b2debdae3b0af0f55ed6bf312c94bb223b68b58fb75196b03,3b602693cf73d3980eedfc06febe94c35732b0cb81a4ae9bf8bbbc86d2497c8f,False,142e1fce31ae23b4aebbe0d575c151ed7324c9a07bd350839a78e145b637482e,ec0b2ce5a539ff9b2debdae3b0af0f55ed6bf312c94bb223b68b58fb75196b03,3b602693cf73d3980eedfc06febe94c35732b0cb81a4ae9bf8bbbc86d2497c8f,False
2,3,4,632d4eae5ccdcb395b085e45e3918d1cb86daac805338bec9b50cb586a84f583,ca281a9fd3945a84439ecdedd9a43c53f619ac0b207a45ebe4ead10b2e2470a7,5a55e6c6bdec945717431d50ade3551b1d9082bef95631df069487108d5a1eb1,False,632d4eae5ccdcb395b085e45e3918d1cb86daac805338bec9b50cb586a84f583,ca281a9fd3945a84439ecdedd9a43c53f619ac0b207a45ebe4ead10b2e2470a7,5a55e6c6bdec945717431d50ade3551b1d9082bef95631df069487108d5a1eb1,False
2,3,5,e1ad8bd8f9f403358d6cd475c68a28a0d5ba92d0d270c49f6e5b93613792a126,9a2e8bf4b6f8ce775aea2fc3583ee99024a51c71fb2990bad743dc0e353b1465,09ab9abadea91e9c81df8d68fe4979fc8b3137d915cbecefe5a6823901783bd6,False,e1ad8bd8f9f403358d6cd475c68a28a0d5ba92d0d270c49f6e5b93613792a126,9a2e8bf4b6f8ce775aea2fc3583ee99024a51c71fb2990bad743dc0e353b1465,09ab9abadea91e9c81df8d68fe4979fc8b3137d915cbecefe5a6823901783bd6,False
