phase,arm,unit,unit_total_seconds,target_compute_status,target_model_forward_calls,target_backward_calls,target_autograd_invocations,target_capture_forward_calls,target_physical_microbatch_graphs,target_processed_tokens,target_padded_tokens,target_wall_seconds_total,accepted_state_refresh_wall_seconds,kstep_writer_wall_seconds,finite_demand_endpoint_wall_seconds,target_gradient_wall_seconds,terminal_objective_wall_seconds,direct_official_writer_edit_core_seconds,accepted_z_evaluator_count,pre_writer_evaluator_count,post_writer_evaluator_count,heldout_evaluator_count,dense_update_construction_count,native_apply_count,logical_commit_count,router_call_count,numeric_storage_cast_count,bf16_fp16_path_count,added_model_backward_count,semantic_slope_backward_added_count,retry_count
2,c0,1,3333.1112817879766,RECORDED,4050,850,850,2450,4050,732390,810664,3428.5527499755844,44.54616686422378,2796.3714638724923,95.41924279369414,416.23267996963114,11.878727670758963,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,2,3125.371312847361,RECORDED,4100,850,850,2450,4100,747766,827836,3230.59793906752,28.981960034929216,2600.995077714324,95.11931854020804,418.36410184483975,11.898110058158636,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,3,3157.0204762630165,RECORDED,4050,850,850,2450,4050,726192,804712,3249.7216739514843,31.375955251976848,2644.3632633220404,94.4246319308877,405.0586475888267,11.76250575762242,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,4,3678.864360716194,RECORDED,4050,850,850,2450,4050,747819,827532,3769.068421287462,106.25877526123077,3049.8847134178504,96.95546451210976,439.2611062033102,12.143263979814947,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,5,3314.198336684145,RECORDED,4000,850,850,2450,4000,724495,801720,3394.5402876250446,37.24563454091549,2793.0461808601394,95.3994967713952,405.42341003008187,11.88005265314132,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,6,3428.3713687043637,RECORDED,4050,850,850,2450,4050,733848,813068,3519.8899631872773,58.27010583598167,2867.6916175168008,95.46793045848608,421.2238298971206,11.91641391441226,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,7,3291.528065564111,RECORDED,4100,850,850,2450,4100,733796,815048,3395.45336546842,44.321165738627315,2744.3808016795665,94.44979371223599,425.8802021322772,11.791906233876944,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,8,3173.4987155897543,RECORDED,3850,850,850,2450,3850,704165,780332,3221.508972101845,35.43906251527369,2693.315004006028,97.05409113690257,367.3959942506626,12.096883072517812,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,9,3236.9391259942204,RECORDED,4100,850,850,2450,4100,754831,835592,3343.227223871276,42.762876234948635,2688.4481200650334,96.61537453811616,427.1592110991478,12.03842897247523,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c0,10,3333.0063186874613,RECORDED,4000,850,850,2450,4000,721600,799760,3411.6848314227536,40.872103510424495,2798.9823890728876,95.27178883831948,409.29634819738567,11.787945002317429,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
2,c1,1,3256.800642755814,RECORDED,4050,850,850,2450,4050,732390,810664,3350.513005455956,36.86348361335695,2729.423863146454,95.4831593586132,413.0065930588171,11.892745598219335,NOT_APPLICABLE,8,8,8,24,40,40,8,8,0,0,0,0,0
