model,method,layer,metric,n,mean,median,p25,p75,p90,max,min
llama3-8b-inst,memit,4,rho,100,0.4167317615679572,0.4256509357459829,0.32701382573695903,0.5149556165309335,0.5715017421200128,0.7922675726640661,0.12892503241653702
llama3-8b-inst,memit,4,under_realization_coefficient,100,0.5832682384320428,0.5743490642540171,0.48504438346906653,0.672986174263041,0.7841278108187176,0.871074967583463,0.2077324273359339
llama3-8b-inst,memit,4,tau,100,1.2217156960825255,1.2026959037336393,0.9515141801550906,1.4207406268597143,1.7983147184490158,2.4901315210344643,0.4619736350175231
llama3-8b-inst,memit,4,gap_norm_over_R1,100,0.27608221720391196,0.2623599620415727,0.23167630944066214,0.30426697010930503,0.37153685353513094,0.49975625072294183,0.18941713176024397
llama3-8b-inst,memit,5,rho,100,0.333132318245844,0.34161818371327,0.2762765589251825,0.3974596857379328,0.4358454717916647,0.5013576056114301,0.09390985356117389
llama3-8b-inst,memit,5,under_realization_coefficient,100,0.6668676817541561,0.65838181628673,0.6025403142620671,0.7237234410748176,0.7970233852575589,0.9060901464388261,0.49864239438856994
llama3-8b-inst,memit,5,tau,100,0.8638645620516655,0.8587041857946234,0.7383824566635522,0.9835410325034186,1.0847817740542687,1.5073386377410902,0.4573427867270479
llama3-8b-inst,memit,5,gap_norm_over_R1,100,0.26229779041402684,0.26048404580661816,0.23208019577176064,0.28282955092561685,0.31053926731646075,0.3946519610239268,0.20276619212874103
llama3-8b-inst,memit,6,rho,100,0.3645522467585959,0.37913804494680875,0.31882563188360136,0.40994077734523815,0.4370603975738055,0.5005240117016007,0.20528508182347904
llama3-8b-inst,memit,6,under_realization_coefficient,100,0.635447753241404,0.6208619550531913,0.5900592226547619,0.6811743681163986,0.7360635585353179,0.794714918176521,0.49947598829839934
llama3-8b-inst,memit,6,tau,100,0.6327835414796289,0.6245781173539393,0.5649669551386147,0.6804703223003651,0.7467352478680588,0.9414155112115555,0.4298927378231586
llama3-8b-inst,memit,6,gap_norm_over_R1,100,0.27040485849841245,0.27260277359039675,0.2415966580220872,0.2933214207985857,0.31252598650629393,0.3884490197214802,0.20028066770745304
llama3-8b-inst,memit,7,rho,100,0.4384732795526891,0.4484138054835034,0.3889419124720069,0.4894287581515114,0.5133933214313365,0.5610666355821269,0.26876952230606943
llama3-8b-inst,memit,7,under_realization_coefficient,100,0.5615267204473109,0.5515861945164966,0.5105712418484886,0.6110580875279932,0.6528169415213105,0.7312304776939306,0.4389333644178731
llama3-8b-inst,memit,7,tau,100,0.4507798220104018,0.4144562199401699,0.37211009916996457,0.49705538114939063,0.6151033725202515,0.9812847374917681,0.29893755890056983
llama3-8b-inst,memit,7,gap_norm_over_R1,100,0.2965194587844028,0.29024870639255695,0.2556550330076657,0.32091620237462587,0.3666481394034615,0.5066460073938619,0.19912932800929692
llama3-8b-inst,memit,8,rho,100,0.5602683429361869,0.5644109497187684,0.5354652758582858,0.5927534609623734,0.6085812251269486,0.641339471826641,0.45153438146565955
llama3-8b-inst,memit,8,under_realization_coefficient,100,0.43973165706381306,0.4355890502812317,0.40724653903762664,0.4645347241417141,0.49676964848822874,0.5484656185343404,0.35866052817335903
llama3-8b-inst,memit,8,tau,100,0.02041299611466192,0.01822641487385125,0.013042156649011436,0.024697946697043994,0.032347779564999984,0.06336432560557226,0.006257936899590398
llama3-8b-inst,memit,8,gap_norm_over_R1,100,0.2932759155945238,0.2826496647292256,0.2583630766664099,0.32858987580250487,0.3617688358576354,0.4070208019680461,0.196167331614032
llama3-8b-inst,alphaedit,4,rho,100,0.593019727237014,0.591380536498506,0.4873006764860995,0.7218121036660432,0.790554503722567,0.9454939663496763,0.2515507684764178
llama3-8b-inst,alphaedit,4,under_realization_coefficient,100,0.406980272762986,0.40861946350149403,0.2781878963339568,0.5126993235139006,0.6515750684336016,0.7484492315235822,0.05450603365032369
llama3-8b-inst,alphaedit,4,tau,100,1.7156340205327532,1.6695242259313463,1.3459809227243804,1.9437608693357857,2.4500719314509407,3.339469198614763,0.905997816412326
llama3-8b-inst,alphaedit,4,gap_norm_over_R1,100,0.35619580937471723,0.3425585551683593,0.2849328225452753,0.40300663780565266,0.492998011311264,0.6679827972695405,0.2211588529640114
llama3-8b-inst,alphaedit,5,rho,100,0.4832753771345182,0.48386540940140943,0.3995693633866472,0.5596827103896154,0.6202613433534905,0.7301587005620355,0.22945999314545434
llama3-8b-inst,alphaedit,5,under_realization_coefficient,100,0.5167246228654818,0.5161345905985906,0.44031728961038463,0.6004306366133528,0.6541903873902987,0.7705400068545456,0.26984129943796453
llama3-8b-inst,alphaedit,5,tau,100,1.2574212600724055,1.211113684275857,1.0787662291949291,1.4306294535307338,1.5466281318530484,2.039759673081706,0.8828367393394141
llama3-8b-inst,alphaedit,5,gap_norm_over_R1,100,0.32585605291657094,0.32011603900743096,0.2800445264854289,0.3639226023594917,0.405318754301657,0.5246592724819087,0.23414457352536278
llama3-8b-inst,alphaedit,6,rho,100,0.5596894675854645,0.5627996464647314,0.5037470529922737,0.6141689738113827,0.6645407862532594,0.713892483669494,0.38166421139463286
llama3-8b-inst,alphaedit,6,under_realization_coefficient,100,0.44031053241453544,0.4372003535352686,0.38583102618861725,0.49625294700772626,0.5449351561717323,0.6183357886053671,0.286107516330506
llama3-8b-inst,alphaedit,6,tau,100,0.9352428466349548,0.9076996862802549,0.8401478844135946,1.0317144133121539,1.1148511408133452,1.3500005038178058,0.6671970806095734
llama3-8b-inst,alphaedit,6,gap_norm_over_R1,100,0.30949256486305815,0.3082281219959476,0.2623738215599358,0.34607430399912786,0.3859584349344465,0.49679508190657296,0.20670032416667927
llama3-8b-inst,alphaedit,7,rho,100,0.7179428575777308,0.7209520544252108,0.6813655586569798,0.7694676203342364,0.8014133214348035,1.0289435550550636,0.47097810597757633
llama3-8b-inst,alphaedit,7,under_realization_coefficient,100,0.2820571424222692,0.2790479455747891,0.23053237966576354,0.3186344413430202,0.3644776331717779,0.5290218940224236,-0.02894355505506363
llama3-8b-inst,alphaedit,7,tau,100,0.6876978092807302,0.6382874546640077,0.5525461264405844,0.7757884896477902,0.9464888210299639,1.452686890454385,0.4010155031950563
llama3-8b-inst,alphaedit,7,gap_norm_over_R1,100,0.294346183373901,0.2734218165212551,0.22709178708983385,0.33127704899243926,0.4230525115709701,0.7170815909361616,0.15708219633374373
llama3-8b-inst,alphaedit,8,rho,100,0.9438365031797936,0.9409644049213457,0.9351580570904058,0.9512557023398999,0.9625173305465177,0.9887923543382563,0.9033914881818973
llama3-8b-inst,alphaedit,8,under_realization_coefficient,100,0.056163496820206465,0.059035595078654246,0.048744297660100105,0.06484194290959422,0.07168318769347698,0.0966085118181027,0.011207645661743704
llama3-8b-inst,alphaedit,8,tau,100,0.014465329336766124,0.013196691816955104,0.009803156031935718,0.017789266314252202,0.023309575894789273,0.05178348320505432,0.004457805293749999
llama3-8b-inst,alphaedit,8,gap_norm_over_R1,100,0.03343102237112994,0.032780789763661625,0.027561685130089095,0.038460354319187456,0.04607606627798104,0.05930041498161331,0.008127730927988262
qwen2.5-7b-inst,memit,4,rho,100,0.40924622288708756,0.4265961890796163,0.29483841803942595,0.5174295083265225,0.5560435656278409,0.7284821639854105,0.1563657635698734
qwen2.5-7b-inst,memit,4,under_realization_coefficient,100,0.5907537771129124,0.5734038109203836,0.48257049167347754,0.7051615819605741,0.7832105192265028,0.8436342364301266,0.27151783601458945
qwen2.5-7b-inst,memit,4,tau,100,1.0140623211241544,1.0193555066693833,0.7712492229645456,1.2652292538008756,1.3946373721816554,1.8140599376963138,0.29381946340943643
qwen2.5-7b-inst,memit,4,gap_norm_over_R1,100,0.24080648580991845,0.23761836251535529,0.20473555353737152,0.27173476084441334,0.2919074235661523,0.37497636501875337,0.16796538342986336
qwen2.5-7b-inst,memit,5,rho,100,0.4468287148380894,0.4548848054407967,0.3131203525385946,0.5480335449347009,0.6428444094885997,0.9280187733803983,0.11615695050878662
qwen2.5-7b-inst,memit,5,under_realization_coefficient,100,0.5531712851619106,0.5451151945592033,0.45196645506529903,0.6868796474614054,0.7931025713676795,0.8838430494912134,0.07198122661960171
qwen2.5-7b-inst,memit,5,tau,100,0.8785081886235423,0.8744003033242997,0.7123680876784351,1.0193721224587335,1.1528786915987423,1.5779291833830065,0.31025828577354364
qwen2.5-7b-inst,memit,5,gap_norm_over_R1,100,0.25164672463742177,0.24271040406872665,0.22476891374658758,0.2691518754920384,0.29995067533540043,0.389849235707419,0.17120969979820594
qwen2.5-7b-inst,memit,6,rho,100,0.6897091005977282,0.6903182618720065,0.6323176126150797,0.7551690864727783,0.8139718869908902,1.000482316324547,0.386708039927247
