model,method,batch_index,request_denominator,q_pre_L4_median,q_pre_L5_median,q_pre_L6_median,q_pre_L7_median,q_pre_L8_median,q_post_L8_median,q_pre_L8_gt_0_2_numerator,q_pre_L8_gt_0_2_denominator,d_parallel_median,d_perp_median,recurrence_closure_max,target_new_nll_median,target_true_nll_median
llama3-8b-inst,memit,1,10,1.0,0.934576186008812,0.8694836758364514,0.7786525622871531,0.6448742574305011,0.2558875831310081,10,10,0.28833461989865516,0.3801199074994791,5.101110312888425e-18,0.0027484616730362177,11.648803234100342
llama3-8b-inst,memit,2,10,1.0,0.9623614036365644,0.9094786089527862,0.8194699424543073,0.6508948184786973,0.2914219653499103,10,10,0.3073461858006292,0.39841128383663854,5.2693385119779306e-18,0.005548408487811685,13.473074436187744
llama3-8b-inst,memit,3,10,1.0,0.9581273625314236,0.9203555564342739,0.8348303578854952,0.6708616775429359,0.3027921104742337,10,10,0.3162373770518029,0.41094973759629216,6.3136040954363e-18,0.0035198357654735446,12.894696235656738
llama3-8b-inst,memit,4,10,1.0,0.9414217498302375,0.8734814585143702,0.7816968282580664,0.6164677742731494,0.27081638636124106,10,10,0.29109460219734984,0.3787606222334672,5.119675290641378e-18,0.004224369884468615,9.957240581512451
llama3-8b-inst,memit,5,10,1.0,0.9530997896088342,0.9032208255853775,0.8063516773585494,0.6484484115720405,0.267708764365534,10,10,0.28534352630502635,0.3895132749772363,6.133246795115721e-18,0.0035911441082134843,10.36568832397461
llama3-8b-inst,memit,6,10,1.0,0.9565846127021086,0.9182835863263086,0.841680486583235,0.6697405395438072,0.3038888925830233,10,10,0.31168890864533183,0.4332264596133938,5.770489715978486e-18,0.0021283317473717034,13.01222276687622
llama3-8b-inst,memit,7,10,1.0,0.9562619903530742,0.903627053606151,0.817655654412851,0.655691696085331,0.29740298056180603,10,10,0.32605167701796633,0.3858274500724656,4.86677084952183e-18,0.006324234651401639,10.60517406463623
llama3-8b-inst,memit,8,10,1.0,0.9523579426316724,0.8838815956112778,0.7963366968156096,0.6491734579089962,0.2949964868537857,10,10,0.3080677823710538,0.40176206469004483,5.445661390703545e-18,0.0036550527438521385,9.221385955810547
llama3-8b-inst,memit,9,10,1.0,0.9413964377890504,0.8734706991705803,0.775682278185987,0.6464416242695064,0.26616285030923736,10,10,0.2974465080848992,0.4128176182941584,5.440173821311414e-18,0.0010997545323334634,13.390539169311523
llama3-8b-inst,memit,10,10,1.0,0.9473516609300392,0.8916284556630043,0.8115384260308098,0.6576024860024383,0.3069079147743229,10,10,0.3270880377511122,0.39216502508947204,5.298950234454059e-18,0.008806772995740175,13.506303787231445
