actual,error,expected,path,requirement,sha256,stage,status
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/terminal.json,Middle/native-terminal,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/prepared-receipt.json,Middle/prepared,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/prepared.pt,Middle/prepared-bytes,600927c1ec6c11d8af7b042d00f9787389b30f415b64171b6c27725e05508cb0,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/W0-full.json,Middle/W0-full3900,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/ENTRY-full.json,Middle/ENTRY-full3900,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/N-full.json,Middle/N-full3900,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/W0-train.json,Middle/W0/observed-train-terms,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/ENTRY-train.json,Middle/ENTRY/observed-train-terms,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/N-train.json,Middle/N/observed-train-terms,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-0.25-train.json,Middle/native-scale-0.25/observed-train-terms,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-0.5-train.json,Middle/native-scale-0.5/observed-train-terms,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-0.75-train.json,Middle/native-scale-0.75/observed-train-terms,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-1.25-train.json,Middle/native-scale-1.25/observed-train-terms,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/N-generation.json,Middle/N-generation60,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.25-curve.json,Middle/native-scale-0.25,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.5-curve.json,Middle/native-scale-0.5,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.75-curve.json,Middle/native-scale-0.75,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-1.25-curve.json,Middle/native-scale-1.25,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/terminal.json,Middle/B/0.06/terminal,,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/endpoint.pt,Middle/B/0.06/endpoint-bytes,20ac0ed7f2afa26f708d4abf3fa7c9372eaef6d43b3aa06024ccd67f68dc5128,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/snapshot-000.pt,Middle/B/0.06/snapshot0,6b13183f4a777a7521be812b300901abb04683c715413aaf4c86bccf9c8e07ad,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/snapshot-001.pt,Middle/B/0.06/snapshot1,0694ae2f08b699d33d20b0e1967e950141ffda53f84932174c8e7193ae44c409,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/snapshot-002.pt,Middle/B/0.06/snapshot2,41bfa13fae46177679821600430cdb13f80cac18b75f93f72b4a2557a65d034a,A,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/snapshot-004.pt,Middle/B/0.06/snapshot4,7eb29a29338a65ad38c254b1a5e725694a22fc2226d06661b8c00387cffb7c49,A,PASS
