cell,batch,arm,primary_arm_denominator,hypothetical_sequential_chain,status,state_version,request_n,RS_num,RS_den,RS_rate,PS_num,PS_den,PS_rate,PS_strict_num,PS_strict_den,PS_strict_rate,NS_num,NS_den,NS_rate,rewrite_acc_num,rewrite_acc_den,rewrite_acc_rate,rephrase_acc_num,rephrase_acc_den,rephrase_acc_rate,neighborhood_true_acc_num,neighborhood_true_acc_den,neighborhood_true_acc_rate,PP_num,PP_den,PP_rate,rewrite_target_new_nll_n,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_new_nll_p90,rewrite_target_new_nll_max,rewrite_target_true_nll_n,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75,rewrite_target_true_nll_p90,rewrite_target_true_nll_max,rewrite_margin_true_minus_new_n,rewrite_margin_true_minus_new_mean,rewrite_margin_true_minus_new_median,rewrite_margin_true_minus_new_q25,rewrite_margin_true_minus_new_q75,rewrite_margin_true_minus_new_p90,rewrite_margin_true_minus_new_max,rephrase_target_new_nll_mean_n,rephrase_target_new_nll_mean_mean,rephrase_target_new_nll_mean_median,rephrase_target_new_nll_mean_q25,rephrase_target_new_nll_mean_q75,rephrase_target_new_nll_mean_p90,rephrase_target_new_nll_mean_max,rephrase_target_new_nll_max_n,rephrase_target_new_nll_max_mean,rephrase_target_new_nll_max_median,rephrase_target_new_nll_max_q25,rephrase_target_new_nll_max_q75,rephrase_target_new_nll_max_p90,rephrase_target_new_nll_max_max,rephrase_target_true_nll_mean_n,rephrase_target_true_nll_mean_mean,rephrase_target_true_nll_mean_median,rephrase_target_true_nll_mean_q25,rephrase_target_true_nll_mean_q75,rephrase_target_true_nll_mean_p90,rephrase_target_true_nll_mean_max,rephrase_target_true_nll_max_n,rephrase_target_true_nll_max_mean,rephrase_target_true_nll_max_median,rephrase_target_true_nll_max_q25,rephrase_target_true_nll_max_q75,rephrase_target_true_nll_max_p90,rephrase_target_true_nll_max_max,rephrase_margin_true_minus_new_mean_n,rephrase_margin_true_minus_new_mean_mean,rephrase_margin_true_minus_new_mean_median,rephrase_margin_true_minus_new_mean_q25,rephrase_margin_true_minus_new_mean_q75,rephrase_margin_true_minus_new_mean_p90,rephrase_margin_true_minus_new_mean_max,locality_target_true_nll_mean_n,locality_target_true_nll_mean_mean,locality_target_true_nll_mean_median,locality_target_true_nll_mean_q25,locality_target_true_nll_mean_q75,locality_target_true_nll_mean_p90,locality_target_true_nll_mean_max,locality_target_new_nll_mean_n,locality_target_new_nll_mean_mean,locality_target_new_nll_mean_median,locality_target_new_nll_mean_q25,locality_target_new_nll_mean_q75,locality_target_new_nll_mean_p90,locality_target_new_nll_mean_max,locality_target_true_minus_new_nll_mean_n,locality_target_true_minus_new_nll_mean_mean,locality_target_true_minus_new_nll_mean_median,locality_target_true_minus_new_nll_mean_q25,locality_target_true_minus_new_nll_mean_q75,locality_target_true_minus_new_nll_mean_p90,locality_target_true_minus_new_nll_mean_max
LM,1,ORBHit,0,False,HORIZON_SEMANTIC_MISS,20,100,98,100,0.97999999999999998,162,200,0.81000000000000005,75,100,0.75,885,1000,0.88500000000000001,96,100,0.95999999999999996,97,200,0.48499999999999999,205,1000,0.20499999999999999,940,1010,0.93069306930693074,100,0.36918205564215895,0.0032254834659397602,0.001335026667220518,0.010205961763858795,0.1641882076859483,13.568831443786621,100,11.920993411950768,11.834124565124512,9.0548257827758789,14.4297935962677,17.362827491760257,22.829931259155273,100,11.551811356308608,11.832584561692784,9.0480117226252332,14.428996467686375,17.362072268631891,22.828994831943419,100,3.147355129849311,2.3870858252048492,0.25066461507230997,4.2941017746925354,6.9584784865379339,13.986279964447021,100,4.5160527517087754,3.8061947822570801,0.42429322749376297,6.5936979055404663,11.375741004943849,17.347900390625,100,7.8820355930924419,7.987998366355896,5.4542064666748047,9.981840968132019,12.187569808959962,15.906383514404297,100,9.338924120664597,9.1122384071350098,7.1971646547317505,12.010205507278442,13.944216632843018,18.243921279907227,100,4.7346804632431301,5.4063498515170068,1.8838417530059814,8.0996063509956002,10.537954047520182,15.437164925504476,100,4.7478448460306968,4.4397526398301128,2.8992489229887721,5.6613866329193119,8.6106056499481216,11.72557315826416,100,10.523505688846113,10.358565998077392,8.155082714557647,12.313063216209413,14.872189559936526,18.203236103057861,100,-5.775660842815415,-5.4750237032771114,-8.1858720405027263,-3.0777525007724762,-1.6884172122180447,3.5473795652389528
LM,2,ORBHit,0,False,HORIZON_SEMANTIC_MISS,20,100,100,100,1,170,200,0.84999999999999998,76,100,0.76000000000000001,904,1000,0.90400000000000003,99,100,0.98999999999999999,111,200,0.55500000000000005,206,1000,0.20599999999999999,901,1020,0.8833333333333333,100,0.030582416646066122,0.0019901248160749674,0.00089855334954336286,0.0072842410299926996,0.014031025301665079,1.2285754680633545,100,12.881681580543518,12.081857681274414,9.987851619720459,15.259772539138794,18.099382972717287,25.288070678710938,100,12.851099163897452,12.080294402490836,9.9848412226710934,15.258741096855374,18.095077790960207,25.28773313498823,100,2.6686476041491551,1.8809265438467264,0.12809099722653627,4.1171570287551731,6.169105207920075,19.073622703552246,100,3.9653375767194667,2.7253940105438232,0.22090176120400429,6.750733494758606,9.5169226646423351,19.565347671508789,100,8.7168789746845139,8.7117069959640503,6.1449787020683289,11.298986554145813,13.731182384490969,18.154571533203125,100,10.221954710260034,10.405057430267334,6.8594132661819458,13.343301296234131,15.557493400573735,19.915626525878906,100,6.0482313705353592,6.4559429136279505,2.7841501915827394,8.9950736612081528,12.607965965272161,18.150446260988247,100,4.7331528210333786,4.4783291939646004,3.2364948213100431,6.1223704159259791,7.4088398575782781,12.978787040710449,100,10.313829054355619,10.487301421165466,8.7308879256248471,11.814510726928711,13.389845237731935,16.592369174957277,100,-5.5806762333222446,-5.3231364322826265,-6.9867090784013266,-3.5159823719412087,-2.2868859761953333,2.0996561527252195
LM,3,ORBHit,0,False,HORIZON_SEMANTIC_MISS,20,100,98,100,0.97999999999999998,171,200,0.85499999999999998,76,100,0.76000000000000001,867,1000,0.86699999999999999,95,100,0.94999999999999996,122,200,0.60999999999999999,246,1000,0.246,887,1030,0.86116504854368936,100,0.20146881054344704,0.0022446931106969714,0.00098957293084822595,0.0048021690454334021,0.029715989902615612,5.8281054496765137,100,12.414023209810257,12.447515964508057,9.557234525680542,15.010348320007324,18.641216659545904,22.13994026184082,100,12.212554399266811,12.44549610093236,9.5564510088879615,14.997631365578854,18.63703765228275,22.13947044921224,100,2.3133267085631086,1.3324217891495209,0.1066347174346447,3.2544207088649273,5.8879314318182923,16.01039457321167,100,3.4086654887860641,1.8615305423736572,0.19607160612940788,5.045535683631897,8.7205094337463382,17.371665954589844,100,8.0146552793681618,8.255866527557373,5.7196773886680603,10.037963151931763,11.963140678405761,18.495333671569824,100,9.4116078400611869,9.3671560287475586,6.924997091293335,11.585807085037231,13.765455722808838,20.995101928710938,100,5.7013285708050532,6.1564375991001725,3.5029261708259583,8.4634718355082441,10.896413327724447,18.451778476359323,100,4.335117783655587,3.6989515513181686,2.776154296658933,5.3975407719612125,7.4100755047798197,13.1791166305542,100,9.629992297627032,9.9004616260528557,7.5625693678855894,11.732798838615418,13.700826129913331,16.710705184936522,100,-5.294874513971445,-5.3338883347809318,-7.5140434237197038,-2.7479578716680408,-0.99962947368621724,4.3224509954452515
LM,4,ORBHit,0,False,HORIZON_SEMANTIC_MISS,20,100,100,100,1,185,200,0.92500000000000004,87,100,0.87,825,1000,0.82499999999999996,100,100,1,127,200,0.63500000000000001,234,1000,0.23400000000000001,882,1020,0.86470588235294121,100,0.0045279626677802295,0.0025411114329472184,0.00086493600974790752,0.0057949265465140343,0.010123750288039447,0.037657469511032104,100,12.967485656738281,12.788380146026611,9.1699709892272949,15.518763542175293,18.771605300903325,24.790927886962891,100,12.962957694070502,12.787692540223361,9.168907068145927,15.514225520426407,18.771050480866695,24.789721382549033,100,1.6385169121562648,0.93052764050662518,0.15778218660852872,2.4730817079544067,4.1148439884185803,7.1135863065719604,100,2.6237231967400292,1.7077954411506653,0.26677241176366806,3.9538333415985107,6.2921069145202635,13.366451263427734,100,8.5238503471016891,8.2897862792015076,5.92710942029953,11.114985942840576,12.804467391967775,19.468613624572754,100,10.146209459900856,9.9258213043212891,7.4353244304656982,12.780182838439941,14.487584590911871,20.900909423828125,100,6.8853334349454238,6.7853978374623694,3.6654367335140705,9.6065053017809987,12.568037994159386,18.152026893571019,100,4.6364561866264555,4.4315820336341858,2.9555168382823469,6.0161451160907751,7.8582703733444239,10.774554061889649,100,9.8359285483398704,9.8352188587188714,7.1723527312278748,11.936933970451356,14.244966516494754,18.022352409362792,100,-5.1994723617134149,-5.1206984221935272,-7.612828966230154,-2.4815101344138384,0.3048886656761195,4.5676536798477176
LM,5,ORBHit,0,False,FIRST_HIT,20,100,100,100,1,179,200,0.89500000000000002,83,100,0.82999999999999996,827,1000,0.82699999999999996,100,100,1,123,200,0.61499999999999999,240,1000,0.23999999999999999,826,1000,0.82599999999999996,100,0.0059697985673119545,0.0019666869193315506,0.00091460233670659363,0.0048487756866961718,0.014834143407642856,0.066665872931480408,100,12.959765810966491,13.085120677947998,10.290368556976318,15.304862976074219,17.692125511169436,21.799875259399414,100,12.953796012399179,13.081630532746203,10.28559729992412,15.301531495613744,17.691906644125996,21.79936350567732,100,2.0688903292184295,1.0806224718689919,0.10588729195296764,2.9936893811682239,6.298661351203922,9.0560202598571777,100,3.0339434645534493,1.8979706168174744,0.14527419582009315,5.3638263940811157,7.7209830760955809,13.932829856872559,100,8.4145546907931568,8.3500841856002808,5.4518110603094101,11.308380126953125,13.848454380035401,18.871323585510254,100,9.9023008072376246,9.877439022064209,6.9536291360855103,13.029802799224854,15.831218051910403,20.172065734863281,100,6.3456643615747268,6.2467740634456277,2.9095100341364741,9.5361867170722689,12.939382940501675,18.85907614446478,100,4.4058994181139859,4.2339811959769573,2.7187024548649785,5.9190043829381462,7.5799814581871034,10.015010881423951,100,9.5251447384755572,9.4667718887329109,7.4709344446659083,11.534015285968781,13.495219907760623,17.064670658111574,100,-5.1192453203615731,-5.3210141986608503,-7.7524617725983269,-2.2020666778087614,-0.23103769928216858,5.5329645633697506
LM,6,ORBHit,0,False,HORIZON_SEMANTIC_MISS,20,100,99,100,0.98999999999999999,179,200,0.89500000000000002,84,100,0.83999999999999997,697,1000,0.69699999999999995,98,100,0.97999999999999998,121,200,0.60499999999999998,166,1000,0.16600000000000001,769,1000,0.76900000000000002,100,0.10557018988962227,0.0023080274695530534,0.0010562023380771279,0.0050779770826920867,0.013293563481420278,6.6453709602355957,100,13.254926810264587,12.945086002349854,10.218692064285278,15.74324369430542,18.912591361999514,26.535375595092773,100,13.149356620374965,12.943392658664379,10.216421404882567,15.740915137139382,18.911204808566254,26.535143581655575,100,1.975747583006596,1.0132246348075569,0.11093004262511386,2.9903898620977998,4.7549596607685096,11.59751558303833,100,3.0272371627704704,1.6896565556526184,0.193000677973032,4.646815299987793,7.5784656047821066,16.394750595092773,100,9.1048066720366485,8.9514892101287842,7.1643133163452148,11.449921131134033,13.884591150283818,18.795751571655273,100,10.706314407587051,10.6424880027771,8.5161948204040527,13.386903524398804,15.415060424804693,21.760448455810547,100,7.1290590890300516,7.6516995131969452,3.8597704209387302,10.258436213116511,13.434768150644963,18.786407380364835,100,5.2935576031102096,5.0555905580520637,3.6709520731121303,7.0164690136909487,8.787315590381624,11.579498004913329,100,8.4890289725516919,8.3372273206710812,5.9167363286018375,10.933065942488611,13.360404586791992,18.243714809417725,100,-3.1954713694414818,-2.9030376106500624,-6.3777675832156095,0.075523458421230316,2.4804977631708609,7.5279164433479311
LM,7,ORBHit,0,False,HORIZON_SEMANTIC_MISS,20,100,100,100,1,191,200,0.95499999999999996,92,100,0.92000000000000004,761,1000,0.76100000000000001,100,100,1,139,200,0.69499999999999995,175,1000,0.17499999999999999,803,1020,0.78725490196078429,100,0.0046051450852974086,0.0027196344453841448,0.0010922842193394899,0.0065696622477844357,0.0095789570361375816,0.054088138043880463,100,14.719486875534058,14.125434398651123,11.722692251205444,17.47861909866333,20.362797927856452,26.796516418457031,100,14.714881730448759,14.117655998910777,11.720402239414398,17.471698700537672,20.362455843930373,26.796423677929852,100,1.4732832384886569,0.62027072605269495,0.082041897407179931,2.4096101755276322,4.11545377969742,8.6286113262176514,100,2.2414614511863329,1.2092937231063843,0.12520978599786758,3.5264763236045837,5.7621286392211974,11.289971351623535,100,9.7774906608462331,9.6727603673934937,7.4833357334136963,11.782694220542908,14.025259351730348,19.18782901763916,100,11.294895625114441,11.227824687957764,8.4863007068634033,13.673120498657227,16.393984031677249,22.384494781494141,100,8.3042074223575764,8.6388289965689182,5.5594603032805026,11.014435270801187,13.507907247719414,19.116909830830991,100,4.7703766718078411,4.5930858090519902,3.201327833905816,6.2789800554513926,7.3841369533538845,10.558594989776612,100,8.7904687058776627,8.9088531613349922,6.1429268371313812,11.613237833976745,13.688429651260376,16.050214290618896,100,-4.0200920340698216,-4.4481606483459473,-7.405735352635384,-1.0168713986873628,1.5338596080243605,5.20922961444594
LM,8,ORBHit,0,False,FIRST_HIT,14,100,100,100,1,186,200,0.93000000000000005,88,100,0.88,706,1000,0.70599999999999996,100,100,1,132,200,0.66000000000000003,199,1000,0.19900000000000001,782,1000,0.78200000000000003,100,0.014570965126185911,0.0050019484478980303,0.0021980057354085147,0.0097320221830159426,0.018096437864005565,0.3864511251449585,100,12.704050159454345,12.633463859558105,10.309004068374634,15.012545108795166,17.383374404907226,21.386966705322266,100,12.689479194328159,12.620711553725414,10.3043903040234,15.00597993192423,17.381571700389031,21.383235272485763,100,1.5512993549759995,0.82392174890264869,0.14128311816602945,2.2910076384432614,4.4151991009712237,8.8683716952800751,100,2.5315100106503814,1.4326630830764771,0.20196475833654404,3.5042409300804138,6.7777948856353776,17.176843643188477,100,9.3082849891600201,9.1657005548477173,6.5741116404533386,11.565892219543457,14.282806205749514,15.915162086486816,100,10.756259169578552,10.827866554260254,8.2544212341308594,13.465987682342529,16.001511192321779,20.451271057128906,100,7.7569856341840202,7.9561598673462868,5.0432742707780562,10.988133187784115,13.826992902474013,15.907931066816673,100,4.8666570635194661,4.5907834410667423,2.9154340006411075,6.0763345688581465,8.2045646548271183,12.171556568145752,100,7.720786409436025,7.514443943789229,5.4374080687761301,10.08490022420883,11.385430212020877,15.594847965240479,100,-2.8541293459165598,-3.063755366206169,-5.4666651009116318,-0.26982850432395938,2.9600724541954722,7.0642810438759627
LM,9,ORBHit,0,False,HORIZON_SEMANTIC_MISS,12,100,17,100,0.17000000000000001,39,200,0.19500000000000001,12,100,0.12,794,1000,0.79400000000000004,6,100,0.059999999999999998,10,200,0.050000000000000003,214,1000,0.214,1000,1000,1,100,8.4510377712547786,8.4190559387207031,5.9020833969116211,10.743471384048462,14.183780097961426,20.220573425292969,100,4.5559920498915014,4.077664852142334,1.67787966132164,6.9345089197158813,9.4358889579772995,13.208647727966309,100,-3.8950457213632763,-3.9871659278869629,-7.1247675642371178,-1.3716387748718262,2.3580729007720973,12.590457499027252,100,7.9860169694191425,8.0640114545822144,5.7378708720207214,10.244394481182098,11.915306949615482,17.33076286315918,100,9.2096370595693582,8.9154081344604492,6.7807831764221191,11.671737909317017,13.899390220642093,18.474843978881836,100,4.5818770699668674,4.3045509457588196,2.3740717545151711,6.575248122215271,8.6565450668335,11.043350696563721,100,5.8418605309724807,5.8650598526000977,3.1649617552757263,8.17698073387146,10.082884120941163,17.304325103759766,100,-3.4041398994522751,-3.4910625219345093,-5.7024296224117279,-0.77949440479278564,2.1118890285491951,7.4531607627868652,100,4.4869408553451064,4.3554156601428984,2.9131335318088531,5.7296394512057303,7.4564346790313731,10.532993149757385,100,8.5236458775233483,8.6362219095230106,6.4171181872487066,10.748015749454499,12.279441909790039,15.68924617767334,100,-4.0367050221782419,-3.6922295331954955,-6.7271528348326681,-1.9111883044242859,0.35087279081344702,4.774528709985316
LM,10,ORBHit,0,False,HORIZON_SEMANTIC_MISS,20,100,100,100,1,186,200,0.93000000000000005,88,100,0.88,759,1000,0.75900000000000001,100,100,1,140,200,0.69999999999999996,175,1000,0.17499999999999999,708,1000,0.70799999999999996,100,0.0063216265835580997,0.0031678501982241869,0.0014581159048248082,0.0054145526373758912,0.011708149127662184,0.16718395054340363,100,13.600227460861205,12.982362270355225,10.849985122680664,15.997873783111572,20.071430397033694,22.646820068359375,100,13.593905834277647,12.979942779871635,10.844334494235227,15.994715634151362,20.070996808112252,22.644254877930507,100,1.4945176980849646,0.22043018136173487,0.028824539622291923,2.2664375128224492,5.119253818690777,11.322381973266602,100,2.2367172731482423,0.41457913815975189,0.039810480549931526,3.2249648571014404,6.7052434921264741,13.477434158325195,100,9.4645553773641584,9.0141017436981201,7.1239866018295288,11.521074652671814,14.584125089645392,17.646897315979004,100,11.116443388462066,10.759057998657227,8.4673564434051514,13.540929555892944,15.992741298675538,20.344192504882812,100,7.9700376792791943,7.9070906477572862,5.3363148206844926,11.117092388711171,14.258166840847117,17.610549224540591,100,4.9489317241925752,4.6206616598181425,3.2888143337797371,6.2305568560957907,7.7306805896759041,12.829579830169678,100,8.3801749602403124,8.3008854269981391,6.2322311699390411,10.499952256679535,12.294150352478033,14.803744792938232,100,-3.431243236047739,-3.1662908583879474,-5.5239823244512074,-0.88765992950648065,1.2756968641281135,5.0427546486258503
