cell,arm,group,requests,initial_success,initial_failure,loss,recovery,final_RS,conditional_loss_den,primary_exclusions
LM,O,ALL,1000,995,5,46,1,950,995,0
LM,O,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
LM,O,NO_OVERWRITE_METADATA,999,994,5,45,1,950,994,0
LM,QCL,ALL,1000,986,14,11,11,986,986,0
LM,QCL,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
LM,QCL,NO_OVERWRITE_METADATA,999,985,14,10,11,986,985,0
LM,NQFIX,ALL,1000,1000,0,244,0,756,1000,0
LM,NQFIX,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
LM,NQFIX,NO_OVERWRITE_METADATA,999,999,0,244,0,755,999,0
LM,ORBFH,ALL,1000,912,88,22,8,898,912,0
LM,ORBFH,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
LM,ORBFH,NO_OVERWRITE_METADATA,999,911,88,21,8,898,911,0
LM,JAC,ALL,1000,913,87,17,17,913,913,0
LM,JAC,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
LM,JAC,NO_OVERWRITE_METADATA,999,912,87,17,17,912,912,0
LA,O,ALL,1000,1000,0,2,0,998,1000,0
LA,O,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
LA,O,NO_OVERWRITE_METADATA,999,999,0,1,0,998,999,0
LA,QCL,ALL,1000,1000,0,3,0,997,1000,0
LA,QCL,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
LA,QCL,NO_OVERWRITE_METADATA,999,999,0,3,0,996,999,0
LA,NQFIX,ALL,1000,1000,0,9,0,991,1000,0
LA,NQFIX,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
LA,NQFIX,NO_OVERWRITE_METADATA,999,999,0,8,0,991,999,0
LA,ORBFH,ALL,1000,1000,0,4,0,996,1000,0
LA,ORBFH,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
LA,ORBFH,NO_OVERWRITE_METADATA,999,999,0,3,0,996,999,0
LA,JAC,ALL,1000,918,82,1,1,918,918,0
LA,JAC,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
LA,JAC,NO_OVERWRITE_METADATA,999,917,82,1,1,917,917,0
QM,O,ALL,1000,1000,0,25,0,975,1000,0
QM,O,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
QM,O,NO_OVERWRITE_METADATA,999,999,0,24,0,975,999,0
QM,QCL,ALL,1000,1000,0,5,0,995,1000,0
QM,QCL,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
QM,QCL,NO_OVERWRITE_METADATA,999,999,0,5,0,994,999,0
QM,NQFIX,ALL,1000,993,7,145,0,848,993,0
QM,NQFIX,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
QM,NQFIX,NO_OVERWRITE_METADATA,999,992,7,145,0,847,992,0
QM,ORBFH,ALL,1000,1000,0,10,0,990,1000,0
QM,ORBFH,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
QM,ORBFH,NO_OVERWRITE_METADATA,999,999,0,10,0,989,999,0
QM,JAC,ALL,1000,999,1,3,0,996,999,0
QM,JAC,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
QM,JAC,NO_OVERWRITE_METADATA,999,998,1,3,0,995,998,0
QA,O,ALL,1000,992,8,170,0,822,992,0
QA,O,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
QA,O,NO_OVERWRITE_METADATA,999,991,8,169,0,822,991,0
QA,QCL,ALL,1000,974,26,204,5,775,974,0
QA,QCL,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
QA,QCL,NO_OVERWRITE_METADATA,999,973,26,204,5,774,973,0
QA,NQFIX,ALL,1000,718,282,251,111,578,718,0
QA,NQFIX,OVERWRITE_METADATA,1,1,0,1,0,0,1,0
QA,NQFIX,NO_OVERWRITE_METADATA,999,717,282,250,111,578,717,0
QA,ORBFH,ALL,1000,992,8,54,3,941,992,0
QA,ORBFH,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
QA,ORBFH,NO_OVERWRITE_METADATA,999,991,8,54,3,940,991,0
QA,JAC,ALL,1000,918,82,0,4,922,918,0
QA,JAC,OVERWRITE_METADATA,1,1,0,0,0,1,1,0
QA,JAC,NO_OVERWRITE_METADATA,999,917,82,0,4,921,917,0
