cell,arm,mechanism,metric,checkpoint_n,spearman,status
LM,O,q_after_mean,RS_rate,10,-0.45592915776004844,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,q_after_mean,PS_rate,10,0.83890965027848907,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,q_after_mean,NS_rate,10,-0.98787878787878791,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,distance_from_own_immediate_activation_mean,RS_rate,10,-0.45592915776004844,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,distance_from_own_immediate_activation_mean,PS_rate,10,0.83890965027848907,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,distance_from_own_immediate_activation_mean,NS_rate,10,-0.98787878787878791,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,batch_net_actual_frobenius,RS_rate,10,-0.45592915776004844,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,batch_net_actual_frobenius,PS_rate,10,0.83890965027848907,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,batch_net_actual_frobenius,NS_rate,10,-0.98787878787878791,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,W0_net_actual_frobenius,RS_rate,10,-0.45592915776004844,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,W0_net_actual_frobenius,PS_rate,10,0.83890965027848907,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,W0_net_actual_frobenius,NS_rate,10,-0.98787878787878791,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,batch_squared_share,RS_rate,10,0.45592915776004844,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
LM,O,batch_squared_share,PS_rate,10,-0.83890965027848907,DESCRIPTIVE_REPEATED_CHECKPOINT_NO_CAUSAL_CLAIM
